#proc cat nGausRV nGausWV
InsideAcceptance_genAbsDeltaPhiGgJet0Eta2p5_0p0_2p6 recoAbsDeltaPhiGgJet0Eta2p5_0p0_2p6_SigmaMpTTag_0 2 -1
InsideAcceptance_genAbsDeltaPhiGgJet0Eta2p5_0p0_2p6 recoAbsDeltaPhiGgJet0Eta2p5_0p0_2p6_SigmaMpTTag_1 2 -1
InsideAcceptance_genAbsDeltaPhiGgJet0Eta2p5_0p0_2p6 recoAbsDeltaPhiGgJet0Eta2p5_0p0_2p6_SigmaMpTTag_2 2 4
InsideAcceptance_genAbsDeltaPhiGgJet0Eta2p5_0p0_2p6 recoAbsDeltaPhiGgJet0Eta2p5_2p6_2p9_SigmaMpTTag_0 1 -1
InsideAcceptance_genAbsDeltaPhiGgJet0Eta2p5_0p0_2p6 recoAbsDeltaPhiGgJet0Eta2p5_2p6_2p9_SigmaMpTTag_1 1 -1
InsideAcceptance_genAbsDeltaPhiGgJet0Eta2p5_0p0_2p6 recoAbsDeltaPhiGgJet0Eta2p5_2p6_2p9_SigmaMpTTag_2 1 -1
InsideAcceptance_genAbsDeltaPhiGgJet0Eta2p5_0p0_2p6 recoAbsDeltaPhiGgJet0Eta2p5_2p9_3p03_SigmaMpTTag_0 -1 -1
InsideAcceptance_genAbsDeltaPhiGgJet0Eta2p5_0p0_2p6 recoAbsDeltaPhiGgJet0Eta2p5_2p9_3p03_SigmaMpTTag_1 1 -1
InsideAcceptance_genAbsDeltaPhiGgJet0Eta2p5_0p0_2p6 recoAbsDeltaPhiGgJet0Eta2p5_2p9_3p03_SigmaMpTTag_2 1 -1
InsideAcceptance_genAbsDeltaPhiGgJet0Eta2p5_0p0_2p6 recoAbsDeltaPhiGgJet0Eta2p5_3p03_3p15_SigmaMpTTag_0 -1 -1
InsideAcceptance_genAbsDeltaPhiGgJet0Eta2p5_0p0_2p6 recoAbsDeltaPhiGgJet0Eta2p5_3p03_3p15_SigmaMpTTag_1 -1 -1
InsideAcceptance_genAbsDeltaPhiGgJet0Eta2p5_0p0_2p6 recoAbsDeltaPhiGgJet0Eta2p5_3p03_3p15_SigmaMpTTag_2 1 -1
InsideAcceptance_genAbsDeltaPhiGgJet0Eta2p5_0p0_2p6 recoAbsDeltaPhiGgJet0Eta2p5_m1000p0_0p0_SigmaMpTTag_0 1 -1
InsideAcceptance_genAbsDeltaPhiGgJet0Eta2p5_0p0_2p6 recoAbsDeltaPhiGgJet0Eta2p5_m1000p0_0p0_SigmaMpTTag_1 1 1
InsideAcceptance_genAbsDeltaPhiGgJet0Eta2p5_0p0_2p6 recoAbsDeltaPhiGgJet0Eta2p5_m1000p0_0p0_SigmaMpTTag_2 1 4
InsideAcceptance_genAbsDeltaPhiGgJet0Eta2p5_2p6_2p9 recoAbsDeltaPhiGgJet0Eta2p5_0p0_2p6_SigmaMpTTag_0 1 -1
InsideAcceptance_genAbsDeltaPhiGgJet0Eta2p5_2p6_2p9 recoAbsDeltaPhiGgJet0Eta2p5_0p0_2p6_SigmaMpTTag_1 1 -1
InsideAcceptance_genAbsDeltaPhiGgJet0Eta2p5_2p6_2p9 recoAbsDeltaPhiGgJet0Eta2p5_0p0_2p6_SigmaMpTTag_2 2 -1
InsideAcceptance_genAbsDeltaPhiGgJet0Eta2p5_2p6_2p9 recoAbsDeltaPhiGgJet0Eta2p5_2p6_2p9_SigmaMpTTag_0 2 -1
InsideAcceptance_genAbsDeltaPhiGgJet0Eta2p5_2p6_2p9 recoAbsDeltaPhiGgJet0Eta2p5_2p6_2p9_SigmaMpTTag_1 3 -1
InsideAcceptance_genAbsDeltaPhiGgJet0Eta2p5_2p6_2p9 recoAbsDeltaPhiGgJet0Eta2p5_2p6_2p9_SigmaMpTTag_2 3 -1
InsideAcceptance_genAbsDeltaPhiGgJet0Eta2p5_2p6_2p9 recoAbsDeltaPhiGgJet0Eta2p5_2p9_3p03_SigmaMpTTag_0 2 -1
InsideAcceptance_genAbsDeltaPhiGgJet0Eta2p5_2p6_2p9 recoAbsDeltaPhiGgJet0Eta2p5_2p9_3p03_SigmaMpTTag_1 2 -1
InsideAcceptance_genAbsDeltaPhiGgJet0Eta2p5_2p6_2p9 recoAbsDeltaPhiGgJet0Eta2p5_2p9_3p03_SigmaMpTTag_2 2 -1
InsideAcceptance_genAbsDeltaPhiGgJet0Eta2p5_2p6_2p9 recoAbsDeltaPhiGgJet0Eta2p5_3p03_3p15_SigmaMpTTag_0 -1 -1
InsideAcceptance_genAbsDeltaPhiGgJet0Eta2p5_2p6_2p9 recoAbsDeltaPhiGgJet0Eta2p5_3p03_3p15_SigmaMpTTag_1 -1 -1
InsideAcceptance_genAbsDeltaPhiGgJet0Eta2p5_2p6_2p9 recoAbsDeltaPhiGgJet0Eta2p5_3p03_3p15_SigmaMpTTag_2 -1 -1
InsideAcceptance_genAbsDeltaPhiGgJet0Eta2p5_2p6_2p9 recoAbsDeltaPhiGgJet0Eta2p5_m1000p0_0p0_SigmaMpTTag_0 1 -1
InsideAcceptance_genAbsDeltaPhiGgJet0Eta2p5_2p6_2p9 recoAbsDeltaPhiGgJet0Eta2p5_m1000p0_0p0_SigmaMpTTag_1 3 -1
InsideAcceptance_genAbsDeltaPhiGgJet0Eta2p5_2p6_2p9 recoAbsDeltaPhiGgJet0Eta2p5_m1000p0_0p0_SigmaMpTTag_2 1 -1
InsideAcceptance_genAbsDeltaPhiGgJet0Eta2p5_2p9_3p03 recoAbsDeltaPhiGgJet0Eta2p5_0p0_2p6_SigmaMpTTag_0 1 -1
InsideAcceptance_genAbsDeltaPhiGgJet0Eta2p5_2p9_3p03 recoAbsDeltaPhiGgJet0Eta2p5_0p0_2p6_SigmaMpTTag_1 1 -1
InsideAcceptance_genAbsDeltaPhiGgJet0Eta2p5_2p9_3p03 recoAbsDeltaPhiGgJet0Eta2p5_0p0_2p6_SigmaMpTTag_2 1 -1
InsideAcceptance_genAbsDeltaPhiGgJet0Eta2p5_2p9_3p03 recoAbsDeltaPhiGgJet0Eta2p5_2p6_2p9_SigmaMpTTag_0 1 -1
InsideAcceptance_genAbsDeltaPhiGgJet0Eta2p5_2p9_3p03 recoAbsDeltaPhiGgJet0Eta2p5_2p6_2p9_SigmaMpTTag_1 1 -1
InsideAcceptance_genAbsDeltaPhiGgJet0Eta2p5_2p9_3p03 recoAbsDeltaPhiGgJet0Eta2p5_2p6_2p9_SigmaMpTTag_2 4 -1
