#proc cat nGausRV nGausWV
InsideAcceptance_genAbsDeltaPhiGgJet0Eta2p5_0p0_2p8 recoAbsDeltaPhiGgJet0Eta2p5_0p0_2p8_SigmaMpTTag_0 2 -1
InsideAcceptance_genAbsDeltaPhiGgJet0Eta2p5_0p0_2p8 recoAbsDeltaPhiGgJet0Eta2p5_0p0_2p8_SigmaMpTTag_1 2 -1
InsideAcceptance_genAbsDeltaPhiGgJet0Eta2p5_0p0_2p8 recoAbsDeltaPhiGgJet0Eta2p5_0p0_2p8_SigmaMpTTag_2 2 3
InsideAcceptance_genAbsDeltaPhiGgJet0Eta2p5_0p0_2p8 recoAbsDeltaPhiGgJet0Eta2p5_2p8_3p2_SigmaMpTTag_0 4 -1
InsideAcceptance_genAbsDeltaPhiGgJet0Eta2p5_0p0_2p8 recoAbsDeltaPhiGgJet0Eta2p5_2p8_3p2_SigmaMpTTag_1 2 -1
InsideAcceptance_genAbsDeltaPhiGgJet0Eta2p5_0p0_2p8 recoAbsDeltaPhiGgJet0Eta2p5_2p8_3p2_SigmaMpTTag_2 1 -1
InsideAcceptance_genAbsDeltaPhiGgJet0Eta2p5_0p0_2p8 recoAbsDeltaPhiGgJet0Eta2p5_3p2_3p6_SigmaMpTTag_0 4 -1
InsideAcceptance_genAbsDeltaPhiGgJet0Eta2p5_0p0_2p8 recoAbsDeltaPhiGgJet0Eta2p5_3p2_3p6_SigmaMpTTag_1 1 -1
InsideAcceptance_genAbsDeltaPhiGgJet0Eta2p5_0p0_2p8 recoAbsDeltaPhiGgJet0Eta2p5_3p2_3p6_SigmaMpTTag_2 2 -1
InsideAcceptance_genAbsDeltaPhiGgJet0Eta2p5_0p0_2p8 recoAbsDeltaPhiGgJet0Eta2p5_3p6_100p0_SigmaMpTTag_0 1 -1
InsideAcceptance_genAbsDeltaPhiGgJet0Eta2p5_0p0_2p8 recoAbsDeltaPhiGgJet0Eta2p5_3p6_100p0_SigmaMpTTag_1 4 -1
InsideAcceptance_genAbsDeltaPhiGgJet0Eta2p5_0p0_2p8 recoAbsDeltaPhiGgJet0Eta2p5_3p6_100p0_SigmaMpTTag_2 1 -1
InsideAcceptance_genAbsDeltaPhiGgJet0Eta2p5_0p0_2p8 recoAbsDeltaPhiGgJet0Eta2p5_m1000p0_0p0_SigmaMpTTag_0 2 -1
InsideAcceptance_genAbsDeltaPhiGgJet0Eta2p5_0p0_2p8 recoAbsDeltaPhiGgJet0Eta2p5_m1000p0_0p0_SigmaMpTTag_1 1 1
InsideAcceptance_genAbsDeltaPhiGgJet0Eta2p5_0p0_2p8 recoAbsDeltaPhiGgJet0Eta2p5_m1000p0_0p0_SigmaMpTTag_2 1 3
InsideAcceptance_genAbsDeltaPhiGgJet0Eta2p5_2p8_3p2 recoAbsDeltaPhiGgJet0Eta2p5_0p0_2p8_SigmaMpTTag_0 3 -1
InsideAcceptance_genAbsDeltaPhiGgJet0Eta2p5_2p8_3p2 recoAbsDeltaPhiGgJet0Eta2p5_0p0_2p8_SigmaMpTTag_1 2 -1
InsideAcceptance_genAbsDeltaPhiGgJet0Eta2p5_2p8_3p2 recoAbsDeltaPhiGgJet0Eta2p5_0p0_2p8_SigmaMpTTag_2 1 -1
