#proc cat nGausRV nGausWV
InsideAcceptance_genAbsDeltaPhiJjEta4p7_0p0_0p9 recoAbsDeltaPhiJjEta4p7_0p0_0p9_SigmaMpTTag_0 1 -1
InsideAcceptance_genAbsDeltaPhiJjEta4p7_0p0_0p9 recoAbsDeltaPhiJjEta4p7_0p0_0p9_SigmaMpTTag_1 1 -1
InsideAcceptance_genAbsDeltaPhiJjEta4p7_0p0_0p9 recoAbsDeltaPhiJjEta4p7_0p0_0p9_SigmaMpTTag_2 1 1
InsideAcceptance_genAbsDeltaPhiJjEta4p7_0p0_0p9 recoAbsDeltaPhiJjEta4p7_0p9_1p8_SigmaMpTTag_0 1 -1
InsideAcceptance_genAbsDeltaPhiJjEta4p7_0p0_0p9 recoAbsDeltaPhiJjEta4p7_0p9_1p8_SigmaMpTTag_1 1 -1
InsideAcceptance_genAbsDeltaPhiJjEta4p7_0p0_0p9 recoAbsDeltaPhiJjEta4p7_0p9_1p8_SigmaMpTTag_2 4 -1
InsideAcceptance_genAbsDeltaPhiJjEta4p7_0p0_0p9 recoAbsDeltaPhiJjEta4p7_1p8_3p15_SigmaMpTTag_0 1 -1
InsideAcceptance_genAbsDeltaPhiJjEta4p7_0p0_0p9 recoAbsDeltaPhiJjEta4p7_1p8_3p15_SigmaMpTTag_1 4 -1
InsideAcceptance_genAbsDeltaPhiJjEta4p7_0p0_0p9 recoAbsDeltaPhiJjEta4p7_1p8_3p15_SigmaMpTTag_2 4 -1
InsideAcceptance_genAbsDeltaPhiJjEta4p7_0p0_0p9 recoAbsDeltaPhiJjEta4p7_m1000p0_0p0_SigmaMpTTag_0 4 -1
InsideAcceptance_genAbsDeltaPhiJjEta4p7_0p0_0p9 recoAbsDeltaPhiJjEta4p7_m1000p0_0p0_SigmaMpTTag_1 1 -1
InsideAcceptance_genAbsDeltaPhiJjEta4p7_0p0_0p9 recoAbsDeltaPhiJjEta4p7_m1000p0_0p0_SigmaMpTTag_2 1 -1
InsideAcceptance_genAbsDeltaPhiJjEta4p7_0p9_1p8 recoAbsDeltaPhiJjEta4p7_0p0_0p9_SigmaMpTTag_0 3 -1
InsideAcceptance_genAbsDeltaPhiJjEta4p7_0p9_1p8 recoAbsDeltaPhiJjEta4p7_0p0_0p9_SigmaMpTTag_1 1 -1
InsideAcceptance_genAbsDeltaPhiJjEta4p7_0p9_1p8 recoAbsDeltaPhiJjEta4p7_0p0_0p9_SigmaMpTTag_2 1 -1
InsideAcceptance_genAbsDeltaPhiJjEta4p7_0p9_1p8 recoAbsDeltaPhiJjEta4p7_0p9_1p8_SigmaMpTTag_0 2 -1
InsideAcceptance_genAbsDeltaPhiJjEta4p7_0p9_1p8 recoAbsDeltaPhiJjEta4p7_0p9_1p8_SigmaMpTTag_1 2 -1
InsideAcceptance_genAbsDeltaPhiJjEta4p7_0p9_1p8 recoAbsDeltaPhiJjEta4p7_0p9_1p8_SigmaMpTTag_2 2 1
