#proc cat nGausRV nGausWV
InsideAcceptance_genJet2p5AbsRapidity0_0p0_0p5 recoJet2p5AbsRapidity0_0p0_0p5_SigmaMpTTag_0 2 -1
InsideAcceptance_genJet2p5AbsRapidity0_0p0_0p5 recoJet2p5AbsRapidity0_0p0_0p5_SigmaMpTTag_1 4 -1
InsideAcceptance_genJet2p5AbsRapidity0_0p0_0p5 recoJet2p5AbsRapidity0_0p0_0p5_SigmaMpTTag_2 3 -1
InsideAcceptance_genJet2p5AbsRapidity0_0p0_0p5 recoJet2p5AbsRapidity0_0p5_1p2_SigmaMpTTag_0 4 -1
InsideAcceptance_genJet2p5AbsRapidity0_0p0_0p5 recoJet2p5AbsRapidity0_0p5_1p2_SigmaMpTTag_1 1 -1
InsideAcceptance_genJet2p5AbsRapidity0_0p0_0p5 recoJet2p5AbsRapidity0_0p5_1p2_SigmaMpTTag_2 1 -1
InsideAcceptance_genJet2p5AbsRapidity0_0p0_0p5 recoJet2p5AbsRapidity0_1p2_2p0_SigmaMpTTag_0 4 -1
InsideAcceptance_genJet2p5AbsRapidity0_0p0_0p5 recoJet2p5AbsRapidity0_1p2_2p0_SigmaMpTTag_1 1 -1
InsideAcceptance_genJet2p5AbsRapidity0_0p0_0p5 recoJet2p5AbsRapidity0_1p2_2p0_SigmaMpTTag_2 1 -1
InsideAcceptance_genJet2p5AbsRapidity0_0p0_0p5 recoJet2p5AbsRapidity0_2p0_100p0_SigmaMpTTag_0 -1 -1
InsideAcceptance_genJet2p5AbsRapidity0_0p0_0p5 recoJet2p5AbsRapidity0_2p0_100p0_SigmaMpTTag_1 -1 -1
InsideAcceptance_genJet2p5AbsRapidity0_0p0_0p5 recoJet2p5AbsRapidity0_2p0_100p0_SigmaMpTTag_2 1 -1
InsideAcceptance_genJet2p5AbsRapidity0_0p0_0p5 recoJet2p5AbsRapidity0_m1000p0_0p0_SigmaMpTTag_0 1 -1
InsideAcceptance_genJet2p5AbsRapidity0_0p0_0p5 recoJet2p5AbsRapidity0_m1000p0_0p0_SigmaMpTTag_1 1 -1
InsideAcceptance_genJet2p5AbsRapidity0_0p0_0p5 recoJet2p5AbsRapidity0_m1000p0_0p0_SigmaMpTTag_2 1 -1
InsideAcceptance_genJet2p5AbsRapidity0_0p5_1p2 recoJet2p5AbsRapidity0_0p0_0p5_SigmaMpTTag_0 1 -1
InsideAcceptance_genJet2p5AbsRapidity0_0p5_1p2 recoJet2p5AbsRapidity0_0p0_0p5_SigmaMpTTag_1 1 -1
InsideAcceptance_genJet2p5AbsRapidity0_0p5_1p2 recoJet2p5AbsRapidity0_0p0_0p5_SigmaMpTTag_2 3 -1
InsideAcceptance_genJet2p5AbsRapidity0_0p5_1p2 recoJet2p5AbsRapidity0_0p5_1p2_SigmaMpTTag_0 2 -1
InsideAcceptance_genJet2p5AbsRapidity0_0p5_1p2 recoJet2p5AbsRapidity0_0p5_1p2_SigmaMpTTag_1 2 -1
InsideAcceptance_genJet2p5AbsRapidity0_0p5_1p2 recoJet2p5AbsRapidity0_0p5_1p2_SigmaMpTTag_2 2 -1
InsideAcceptance_genJet2p5AbsRapidity0_0p5_1p2 recoJet2p5AbsRapidity0_1p2_2p0_SigmaMpTTag_0 1 -1
InsideAcceptance_genJet2p5AbsRapidity0_0p5_1p2 recoJet2p5AbsRapidity0_1p2_2p0_SigmaMpTTag_1 1 -1
InsideAcceptance_genJet2p5AbsRapidity0_0p5_1p2 recoJet2p5AbsRapidity0_1p2_2p0_SigmaMpTTag_2 1 -1
InsideAcceptance_genJet2p5AbsRapidity0_0p5_1p2 recoJet2p5AbsRapidity0_2p0_100p0_SigmaMpTTag_0 -1 -1
InsideAcceptance_genJet2p5AbsRapidity0_0p5_1p2 recoJet2p5AbsRapidity0_2p0_100p0_SigmaMpTTag_1 2 -1
InsideAcceptance_genJet2p5AbsRapidity0_0p5_1p2 recoJet2p5AbsRapidity0_2p0_100p0_SigmaMpTTag_2 2 -1
InsideAcceptance_genJet2p5AbsRapidity0_0p5_1p2 recoJet2p5AbsRapidity0_m1000p0_0p0_SigmaMpTTag_0 1 -1
InsideAcceptance_genJet2p5AbsRapidity0_0p5_1p2 recoJet2p5AbsRapidity0_m1000p0_0p0_SigmaMpTTag_1 1 -1
InsideAcceptance_genJet2p5AbsRapidity0_0p5_1p2 recoJet2p5AbsRapidity0_m1000p0_0p0_SigmaMpTTag_2 2 -1
InsideAcceptance_genJet2p5AbsRapidity0_1p2_2p0 recoJet2p5AbsRapidity0_0p0_0p5_SigmaMpTTag_0 1 -1
InsideAcceptance_genJet2p5AbsRapidity0_1p2_2p0 recoJet2p5AbsRapidity0_0p0_0p5_SigmaMpTTag_1 1 -1
InsideAcceptance_genJet2p5AbsRapidity0_1p2_2p0 recoJet2p5AbsRapidity0_0p0_0p5_SigmaMpTTag_2 2 -1
InsideAcceptance_genJet2p5AbsRapidity0_1p2_2p0 recoJet2p5AbsRapidity0_0p5_1p2_SigmaMpTTag_0 1 -1
InsideAcceptance_genJet2p5AbsRapidity0_1p2_2p0 recoJet2p5AbsRapidity0_0p5_1p2_SigmaMpTTag_1 3 -1
InsideAcceptance_genJet2p5AbsRapidity0_1p2_2p0 recoJet2p5AbsRapidity0_0p5_1p2_SigmaMpTTag_2 3 -1
InsideAcceptance_genJet2p5AbsRapidity0_1p2_2p0 recoJet2p5AbsRapidity0_1p2_2p0_SigmaMpTTag_0 2 -1
InsideAcceptance_genJet2p5AbsRapidity0_1p2_2p0 recoJet2p5AbsRapidity0_1p2_2p0_SigmaMpTTag_1 3 -1
InsideAcceptance_genJet2p5AbsRapidity0_1p2_2p0 recoJet2p5AbsRapidity0_1p2_2p0_SigmaMpTTag_2 2 2
InsideAcceptance_genJet2p5AbsRapidity0_1p2_2p0 recoJet2p5AbsRapidity0_2p0_100p0_SigmaMpTTag_0 4 -1
InsideAcceptance_genJet2p5AbsRapidity0_1p2_2p0 recoJet2p5AbsRapidity0_2p0_100p0_SigmaMpTTag_1 2 -1
InsideAcceptance_genJet2p5AbsRapidity0_1p2_2p0 recoJet2p5AbsRapidity0_2p0_100p0_SigmaMpTTag_2 1 -1
InsideAcceptance_genJet2p5AbsRapidity0_1p2_2p0 recoJet2p5AbsRapidity0_m1000p0_0p0_SigmaMpTTag_0 4 -1
InsideAcceptance_genJet2p5AbsRapidity0_1p2_2p0 recoJet2p5AbsRapidity0_m1000p0_0p0_SigmaMpTTag_1 1 -1
InsideAcceptance_genJet2p5AbsRapidity0_1p2_2p0 recoJet2p5AbsRapidity0_m1000p0_0p0_SigmaMpTTag_2 1 2
InsideAcceptance_genJet2p5AbsRapidity0_2p0_100p0 recoJet2p5AbsRapidity0_0p0_0p5_SigmaMpTTag_0 1 -1
