#proc cat nGausRV nGausWV
InsideAcceptance_genJet4p7Pt1VBFlike_0p0_45p0 recoJet4p7Pt1VBFlike_0p0_45p0_SigmaMpTTag_0 2 -1
InsideAcceptance_genJet4p7Pt1VBFlike_0p0_45p0 recoJet4p7Pt1VBFlike_0p0_45p0_SigmaMpTTag_1 1 -1
InsideAcceptance_genJet4p7Pt1VBFlike_0p0_45p0 recoJet4p7Pt1VBFlike_0p0_45p0_SigmaMpTTag_2 1 -1
InsideAcceptance_genJet4p7Pt1VBFlike_0p0_45p0 recoJet4p7Pt1VBFlike_45p0_90p0_SigmaMpTTag_0 1 -1
InsideAcceptance_genJet4p7Pt1VBFlike_0p0_45p0 recoJet4p7Pt1VBFlike_45p0_90p0_SigmaMpTTag_1 2 -1
InsideAcceptance_genJet4p7Pt1VBFlike_0p0_45p0 recoJet4p7Pt1VBFlike_45p0_90p0_SigmaMpTTag_2 3 -1
InsideAcceptance_genJet4p7Pt1VBFlike_0p0_45p0 recoJet4p7Pt1VBFlike_90p0_13000p0_SigmaMpTTag_0 -1 -1
InsideAcceptance_genJet4p7Pt1VBFlike_0p0_45p0 recoJet4p7Pt1VBFlike_90p0_13000p0_SigmaMpTTag_1 -1 -1
InsideAcceptance_genJet4p7Pt1VBFlike_0p0_45p0 recoJet4p7Pt1VBFlike_90p0_13000p0_SigmaMpTTag_2 -1 -1
InsideAcceptance_genJet4p7Pt1VBFlike_0p0_45p0 recoJet4p7Pt1VBFlike_m1000p0_0p0_SigmaMpTTag_0 1 1
InsideAcceptance_genJet4p7Pt1VBFlike_0p0_45p0 recoJet4p7Pt1VBFlike_m1000p0_0p0_SigmaMpTTag_1 1 1
InsideAcceptance_genJet4p7Pt1VBFlike_0p0_45p0 recoJet4p7Pt1VBFlike_m1000p0_0p0_SigmaMpTTag_2 1 2
InsideAcceptance_genJet4p7Pt1VBFlike_45p0_90p0 recoJet4p7Pt1VBFlike_0p0_45p0_SigmaMpTTag_0 1 -1
InsideAcceptance_genJet4p7Pt1VBFlike_45p0_90p0 recoJet4p7Pt1VBFlike_0p0_45p0_SigmaMpTTag_1 1 -1
InsideAcceptance_genJet4p7Pt1VBFlike_45p0_90p0 recoJet4p7Pt1VBFlike_0p0_45p0_SigmaMpTTag_2 1 -1
InsideAcceptance_genJet4p7Pt1VBFlike_45p0_90p0 recoJet4p7Pt1VBFlike_45p0_90p0_SigmaMpTTag_0 1 -1
InsideAcceptance_genJet4p7Pt1VBFlike_45p0_90p0 recoJet4p7Pt1VBFlike_45p0_90p0_SigmaMpTTag_1 1 -1
InsideAcceptance_genJet4p7Pt1VBFlike_45p0_90p0 recoJet4p7Pt1VBFlike_45p0_90p0_SigmaMpTTag_2 1 -1
InsideAcceptance_genJet4p7Pt1VBFlike_45p0_90p0 recoJet4p7Pt1VBFlike_90p0_13000p0_SigmaMpTTag_0 3 -1
InsideAcceptance_genJet4p7Pt1VBFlike_45p0_90p0 recoJet4p7Pt1VBFlike_90p0_13000p0_SigmaMpTTag_1 4 -1
InsideAcceptance_genJet4p7Pt1VBFlike_45p0_90p0 recoJet4p7Pt1VBFlike_90p0_13000p0_SigmaMpTTag_2 1 -1
InsideAcceptance_genJet4p7Pt1VBFlike_45p0_90p0 recoJet4p7Pt1VBFlike_m1000p0_0p0_SigmaMpTTag_0 2 -1
InsideAcceptance_genJet4p7Pt1VBFlike_45p0_90p0 recoJet4p7Pt1VBFlike_m1000p0_0p0_SigmaMpTTag_1 1 1
InsideAcceptance_genJet4p7Pt1VBFlike_45p0_90p0 recoJet4p7Pt1VBFlike_m1000p0_0p0_SigmaMpTTag_2 1 1
InsideAcceptance_genJet4p7Pt1VBFlike_90p0_13000p0 recoJet4p7Pt1VBFlike_0p0_45p0_SigmaMpTTag_0 -1 -1
InsideAcceptance_genJet4p7Pt1VBFlike_90p0_13000p0 recoJet4p7Pt1VBFlike_0p0_45p0_SigmaMpTTag_1 -1 -1
InsideAcceptance_genJet4p7Pt1VBFlike_90p0_13000p0 recoJet4p7Pt1VBFlike_0p0_45p0_SigmaMpTTag_2 -1 -1
InsideAcceptance_genJet4p7Pt1VBFlike_90p0_13000p0 recoJet4p7Pt1VBFlike_45p0_90p0_SigmaMpTTag_0 -1 -1
InsideAcceptance_genJet4p7Pt1VBFlike_90p0_13000p0 recoJet4p7Pt1VBFlike_45p0_90p0_SigmaMpTTag_1 -1 -1
InsideAcceptance_genJet4p7Pt1VBFlike_90p0_13000p0 recoJet4p7Pt1VBFlike_45p0_90p0_SigmaMpTTag_2 1 -1
InsideAcceptance_genJet4p7Pt1VBFlike_90p0_13000p0 recoJet4p7Pt1VBFlike_90p0_13000p0_SigmaMpTTag_0 4 -1
InsideAcceptance_genJet4p7Pt1VBFlike_90p0_13000p0 recoJet4p7Pt1VBFlike_90p0_13000p0_SigmaMpTTag_1 2 -1
InsideAcceptance_genJet4p7Pt1VBFlike_90p0_13000p0 recoJet4p7Pt1VBFlike_90p0_13000p0_SigmaMpTTag_2 2 -1
InsideAcceptance_genJet4p7Pt1VBFlike_90p0_13000p0 recoJet4p7Pt1VBFlike_m1000p0_0p0_SigmaMpTTag_0 2 -1
InsideAcceptance_genJet4p7Pt1VBFlike_90p0_13000p0 recoJet4p7Pt1VBFlike_m1000p0_0p0_SigmaMpTTag_1 2 -1
InsideAcceptance_genJet4p7Pt1VBFlike_90p0_13000p0 recoJet4p7Pt1VBFlike_m1000p0_0p0_SigmaMpTTag_2 1 -1
InsideAcceptance_genJet4p7Pt1VBFlike_m1000p0_0p0 recoJet4p7Pt1VBFlike_0p0_45p0_SigmaMpTTag_0 1 -1
InsideAcceptance_genJet4p7Pt1VBFlike_m1000p0_0p0 recoJet4p7Pt1VBFlike_0p0_45p0_SigmaMpTTag_1 4 -1
InsideAcceptance_genJet4p7Pt1VBFlike_m1000p0_0p0 recoJet4p7Pt1VBFlike_0p0_45p0_SigmaMpTTag_2 1 4
InsideAcceptance_genJet4p7Pt1VBFlike_m1000p0_0p0 recoJet4p7Pt1VBFlike_45p0_90p0_SigmaMpTTag_0 1 -1
InsideAcceptance_genJet4p7Pt1VBFlike_m1000p0_0p0 recoJet4p7Pt1VBFlike_45p0_90p0_SigmaMpTTag_1 2 -1
InsideAcceptance_genJet4p7Pt1VBFlike_m1000p0_0p0 recoJet4p7Pt1VBFlike_45p0_90p0_SigmaMpTTag_2 1 -1
InsideAcceptance_genJet4p7Pt1VBFlike_m1000p0_0p0 recoJet4p7Pt1VBFlike_90p0_13000p0_SigmaMpTTag_0 -1 -1
InsideAcceptance_genJet4p7Pt1VBFlike_m1000p0_0p0 recoJet4p7Pt1VBFlike_90p0_13000p0_SigmaMpTTag_1 -1 -1
InsideAcceptance_genJet4p7Pt1VBFlike_m1000p0_0p0 recoJet4p7Pt1VBFlike_90p0_13000p0_SigmaMpTTag_2 -1 -1
InsideAcceptance_genJet4p7Pt1VBFlike_m1000p0_0p0 recoJet4p7Pt1VBFlike_m1000p0_0p0_SigmaMpTTag_0 2 1
InsideAcceptance_genJet4p7Pt1VBFlike_m1000p0_0p0 recoJet4p7Pt1VBFlike_m1000p0_0p0_SigmaMpTTag_1 4 1
InsideAcceptance_genJet4p7Pt1VBFlike_m1000p0_0p0 recoJet4p7Pt1VBFlike_m1000p0_0p0_SigmaMpTTag_2 2 1
OutsideAcceptance recoJet4p7Pt1VBFlike_0p0_45p0_SigmaMpTTag_0 -1 -1
OutsideAcceptance recoJet4p7Pt1VBFlike_0p0_45p0_SigmaMpTTag_1 -1 -1
OutsideAcceptance recoJet4p7Pt1VBFlike_0p0_45p0_SigmaMpTTag_2 -1 -1
OutsideAcceptance recoJet4p7Pt1VBFlike_45p0_90p0_SigmaMpTTag_0 -1 -1
OutsideAcceptance recoJet4p7Pt1VBFlike_45p0_90p0_SigmaMpTTag_1 -1 -1
OutsideAcceptance recoJet4p7Pt1VBFlike_45p0_90p0_SigmaMpTTag_2 -1 -1
OutsideAcceptance recoJet4p7Pt1VBFlike_90p0_13000p0_SigmaMpTTag_0 -1 -1
OutsideAcceptance recoJet4p7Pt1VBFlike_90p0_13000p0_SigmaMpTTag_1 -1 -1
OutsideAcceptance recoJet4p7Pt1VBFlike_90p0_13000p0_SigmaMpTTag_2 -1 -1
OutsideAcceptance recoJet4p7Pt1VBFlike_m1000p0_0p0_SigmaMpTTag_0 4 -1
OutsideAcceptance recoJet4p7Pt1VBFlike_m1000p0_0p0_SigmaMpTTag_1 1 -1
OutsideAcceptance recoJet4p7Pt1VBFlike_m1000p0_0p0_SigmaMpTTag_2 1 -1
