#proc cat nGausRV nGausWV
InsideAcceptance_absGenRapidity_0p0_0p15 absRecoRapidity_0p0_0p15_SigmaMpTTag_0 2 1
InsideAcceptance_absGenRapidity_0p0_0p15 absRecoRapidity_0p0_0p15_SigmaMpTTag_1 3 2
InsideAcceptance_absGenRapidity_0p0_0p15 absRecoRapidity_0p0_0p15_SigmaMpTTag_2 2 2
InsideAcceptance_absGenRapidity_0p0_0p15 absRecoRapidity_0p15_0p3_SigmaMpTTag_0 2 -1
InsideAcceptance_absGenRapidity_0p0_0p15 absRecoRapidity_0p15_0p3_SigmaMpTTag_1 3 -1
InsideAcceptance_absGenRapidity_0p0_0p15 absRecoRapidity_0p15_0p3_SigmaMpTTag_2 -1 -1
InsideAcceptance_absGenRapidity_0p0_0p15 absRecoRapidity_0p3_0p6_SigmaMpTTag_0 -1 -1
InsideAcceptance_absGenRapidity_0p0_0p15 absRecoRapidity_0p3_0p6_SigmaMpTTag_1 -1 -1
InsideAcceptance_absGenRapidity_0p0_0p15 absRecoRapidity_0p3_0p6_SigmaMpTTag_2 -1 -1
InsideAcceptance_absGenRapidity_0p0_0p15 absRecoRapidity_0p6_0p9_SigmaMpTTag_0 -1 -1
InsideAcceptance_absGenRapidity_0p0_0p15 absRecoRapidity_0p6_0p9_SigmaMpTTag_1 -1 -1
InsideAcceptance_absGenRapidity_0p0_0p15 absRecoRapidity_0p6_0p9_SigmaMpTTag_2 -1 -1
InsideAcceptance_absGenRapidity_0p0_0p15 absRecoRapidity_0p9_1p6_SigmaMpTTag_0 -1 -1
InsideAcceptance_absGenRapidity_0p0_0p15 absRecoRapidity_0p9_1p6_SigmaMpTTag_1 -1 -1
InsideAcceptance_absGenRapidity_0p0_0p15 absRecoRapidity_0p9_1p6_SigmaMpTTag_2 -1 -1
InsideAcceptance_absGenRapidity_0p0_0p15 absRecoRapidity_1p6_3p0_SigmaMpTTag_0 -1 -1
InsideAcceptance_absGenRapidity_0p0_0p15 absRecoRapidity_1p6_3p0_SigmaMpTTag_1 -1 -1
InsideAcceptance_absGenRapidity_0p0_0p15 absRecoRapidity_1p6_3p0_SigmaMpTTag_2 -1 -1
InsideAcceptance_absGenRapidity_0p15_0p3 absRecoRapidity_0p0_0p15_SigmaMpTTag_0 3 -1
InsideAcceptance_absGenRapidity_0p15_0p3 absRecoRapidity_0p0_0p15_SigmaMpTTag_1 2 -1
InsideAcceptance_absGenRapidity_0p15_0p3 absRecoRapidity_0p0_0p15_SigmaMpTTag_2 -1 -1
InsideAcceptance_absGenRapidity_0p15_0p3 absRecoRapidity_0p15_0p3_SigmaMpTTag_0 2 1
InsideAcceptance_absGenRapidity_0p15_0p3 absRecoRapidity_0p15_0p3_SigmaMpTTag_1 4 2
InsideAcceptance_absGenRapidity_0p15_0p3 absRecoRapidity_0p15_0p3_SigmaMpTTag_2 4 1
InsideAcceptance_absGenRapidity_0p15_0p3 absRecoRapidity_0p3_0p6_SigmaMpTTag_0 1 -1
InsideAcceptance_absGenRapidity_0p15_0p3 absRecoRapidity_0p3_0p6_SigmaMpTTag_1 2 -1
InsideAcceptance_absGenRapidity_0p15_0p3 absRecoRapidity_0p3_0p6_SigmaMpTTag_2 -1 -1
