#proc cat nGausRV nGausWV
InsideAcceptance_genZeppenfeldEta4p7_0p0_0p5 recoZeppenfeldEta4p7_0p0_0p5_SigmaMpTTag_0 1 -1
InsideAcceptance_genZeppenfeldEta4p7_0p0_0p5 recoZeppenfeldEta4p7_0p0_0p5_SigmaMpTTag_1 2 -1
InsideAcceptance_genZeppenfeldEta4p7_0p0_0p5 recoZeppenfeldEta4p7_0p0_0p5_SigmaMpTTag_2 1 -1
InsideAcceptance_genZeppenfeldEta4p7_0p0_0p5 recoZeppenfeldEta4p7_0p5_1p2_SigmaMpTTag_0 2 -1
InsideAcceptance_genZeppenfeldEta4p7_0p0_0p5 recoZeppenfeldEta4p7_0p5_1p2_SigmaMpTTag_1 2 -1
InsideAcceptance_genZeppenfeldEta4p7_0p0_0p5 recoZeppenfeldEta4p7_0p5_1p2_SigmaMpTTag_2 1 -1
InsideAcceptance_genZeppenfeldEta4p7_0p0_0p5 recoZeppenfeldEta4p7_1p2_1000p0_SigmaMpTTag_0 4 -1
InsideAcceptance_genZeppenfeldEta4p7_0p0_0p5 recoZeppenfeldEta4p7_1p2_1000p0_SigmaMpTTag_1 1 -1
InsideAcceptance_genZeppenfeldEta4p7_0p0_0p5 recoZeppenfeldEta4p7_1p2_1000p0_SigmaMpTTag_2 1 -1
InsideAcceptance_genZeppenfeldEta4p7_0p0_0p5 recoZeppenfeldEta4p7_m1000p0_0p0_SigmaMpTTag_0 1 -1
InsideAcceptance_genZeppenfeldEta4p7_0p0_0p5 recoZeppenfeldEta4p7_m1000p0_0p0_SigmaMpTTag_1 3 -1
InsideAcceptance_genZeppenfeldEta4p7_0p0_0p5 recoZeppenfeldEta4p7_m1000p0_0p0_SigmaMpTTag_2 1 -1
InsideAcceptance_genZeppenfeldEta4p7_0p5_1p2 recoZeppenfeldEta4p7_0p0_0p5_SigmaMpTTag_0 2 -1
InsideAcceptance_genZeppenfeldEta4p7_0p5_1p2 recoZeppenfeldEta4p7_0p0_0p5_SigmaMpTTag_1 3 -1
InsideAcceptance_genZeppenfeldEta4p7_0p5_1p2 recoZeppenfeldEta4p7_0p0_0p5_SigmaMpTTag_2 1 -1
InsideAcceptance_genZeppenfeldEta4p7_0p5_1p2 recoZeppenfeldEta4p7_0p5_1p2_SigmaMpTTag_0 1 -1
InsideAcceptance_genZeppenfeldEta4p7_0p5_1p2 recoZeppenfeldEta4p7_0p5_1p2_SigmaMpTTag_1 2 -1
InsideAcceptance_genZeppenfeldEta4p7_0p5_1p2 recoZeppenfeldEta4p7_0p5_1p2_SigmaMpTTag_2 2 -1
InsideAcceptance_genZeppenfeldEta4p7_0p5_1p2 recoZeppenfeldEta4p7_1p2_1000p0_SigmaMpTTag_0 4 -1
InsideAcceptance_genZeppenfeldEta4p7_0p5_1p2 recoZeppenfeldEta4p7_1p2_1000p0_SigmaMpTTag_1 2 -1
InsideAcceptance_genZeppenfeldEta4p7_0p5_1p2 recoZeppenfeldEta4p7_1p2_1000p0_SigmaMpTTag_2 1 -1
InsideAcceptance_genZeppenfeldEta4p7_0p5_1p2 recoZeppenfeldEta4p7_m1000p0_0p0_SigmaMpTTag_0 2 -1
InsideAcceptance_genZeppenfeldEta4p7_0p5_1p2 recoZeppenfeldEta4p7_m1000p0_0p0_SigmaMpTTag_1 1 1
InsideAcceptance_genZeppenfeldEta4p7_0p5_1p2 recoZeppenfeldEta4p7_m1000p0_0p0_SigmaMpTTag_2 1 4
InsideAcceptance_genZeppenfeldEta4p7_1p2_1000p0 recoZeppenfeldEta4p7_0p0_0p5_SigmaMpTTag_0 1 -1
InsideAcceptance_genZeppenfeldEta4p7_1p2_1000p0 recoZeppenfeldEta4p7_0p0_0p5_SigmaMpTTag_1 1 -1
InsideAcceptance_genZeppenfeldEta4p7_1p2_1000p0 recoZeppenfeldEta4p7_0p0_0p5_SigmaMpTTag_2 4 -1
InsideAcceptance_genZeppenfeldEta4p7_1p2_1000p0 recoZeppenfeldEta4p7_0p5_1p2_SigmaMpTTag_0 1 -1
InsideAcceptance_genZeppenfeldEta4p7_1p2_1000p0 recoZeppenfeldEta4p7_0p5_1p2_SigmaMpTTag_1 1 -1
InsideAcceptance_genZeppenfeldEta4p7_1p2_1000p0 recoZeppenfeldEta4p7_0p5_1p2_SigmaMpTTag_2 1 -1
InsideAcceptance_genZeppenfeldEta4p7_1p2_1000p0 recoZeppenfeldEta4p7_1p2_1000p0_SigmaMpTTag_0 1 -1
InsideAcceptance_genZeppenfeldEta4p7_1p2_1000p0 recoZeppenfeldEta4p7_1p2_1000p0_SigmaMpTTag_1 2 -1
InsideAcceptance_genZeppenfeldEta4p7_1p2_1000p0 recoZeppenfeldEta4p7_1p2_1000p0_SigmaMpTTag_2 2 1
InsideAcceptance_genZeppenfeldEta4p7_1p2_1000p0 recoZeppenfeldEta4p7_m1000p0_0p0_SigmaMpTTag_0 1 -1
InsideAcceptance_genZeppenfeldEta4p7_1p2_1000p0 recoZeppenfeldEta4p7_m1000p0_0p0_SigmaMpTTag_1 1 1
InsideAcceptance_genZeppenfeldEta4p7_1p2_1000p0 recoZeppenfeldEta4p7_m1000p0_0p0_SigmaMpTTag_2 1 4
InsideAcceptance_genZeppenfeldEta4p7_m1000p0_0p0 recoZeppenfeldEta4p7_0p0_0p5_SigmaMpTTag_0 1 -1
InsideAcceptance_genZeppenfeldEta4p7_m1000p0_0p0 recoZeppenfeldEta4p7_0p0_0p5_SigmaMpTTag_1 1 -1
InsideAcceptance_genZeppenfeldEta4p7_m1000p0_0p0 recoZeppenfeldEta4p7_0p0_0p5_SigmaMpTTag_2 1 -1
InsideAcceptance_genZeppenfeldEta4p7_m1000p0_0p0 recoZeppenfeldEta4p7_0p5_1p2_SigmaMpTTag_0 1 -1
InsideAcceptance_genZeppenfeldEta4p7_m1000p0_0p0 recoZeppenfeldEta4p7_0p5_1p2_SigmaMpTTag_1 4 -1
InsideAcceptance_genZeppenfeldEta4p7_m1000p0_0p0 recoZeppenfeldEta4p7_0p5_1p2_SigmaMpTTag_2 1 -1
InsideAcceptance_genZeppenfeldEta4p7_m1000p0_0p0 recoZeppenfeldEta4p7_1p2_1000p0_SigmaMpTTag_0 2 -1
InsideAcceptance_genZeppenfeldEta4p7_m1000p0_0p0 recoZeppenfeldEta4p7_1p2_1000p0_SigmaMpTTag_1 1 -1
InsideAcceptance_genZeppenfeldEta4p7_m1000p0_0p0 recoZeppenfeldEta4p7_1p2_1000p0_SigmaMpTTag_2 1 2
InsideAcceptance_genZeppenfeldEta4p7_m1000p0_0p0 recoZeppenfeldEta4p7_m1000p0_0p0_SigmaMpTTag_0 3 1
InsideAcceptance_genZeppenfeldEta4p7_m1000p0_0p0 recoZeppenfeldEta4p7_m1000p0_0p0_SigmaMpTTag_1 3 1
InsideAcceptance_genZeppenfeldEta4p7_m1000p0_0p0 recoZeppenfeldEta4p7_m1000p0_0p0_SigmaMpTTag_2 3 1
OutsideAcceptance recoZeppenfeldEta4p7_0p0_0p5_SigmaMpTTag_0 1 -1
OutsideAcceptance recoZeppenfeldEta4p7_0p0_0p5_SigmaMpTTag_1 1 -1
OutsideAcceptance recoZeppenfeldEta4p7_0p0_0p5_SigmaMpTTag_2 1 -1
OutsideAcceptance recoZeppenfeldEta4p7_0p5_1p2_SigmaMpTTag_0 1 -1
OutsideAcceptance recoZeppenfeldEta4p7_0p5_1p2_SigmaMpTTag_1 4 -1
OutsideAcceptance recoZeppenfeldEta4p7_0p5_1p2_SigmaMpTTag_2 1 -1
OutsideAcceptance recoZeppenfeldEta4p7_1p2_1000p0_SigmaMpTTag_0 -1 -1
OutsideAcceptance recoZeppenfeldEta4p7_1p2_1000p0_SigmaMpTTag_1 2 -1
OutsideAcceptance recoZeppenfeldEta4p7_1p2_1000p0_SigmaMpTTag_2 4 -1
OutsideAcceptance recoZeppenfeldEta4p7_m1000p0_0p0_SigmaMpTTag_0 -1 -1
OutsideAcceptance recoZeppenfeldEta4p7_m1000p0_0p0_SigmaMpTTag_1 3 -1
OutsideAcceptance recoZeppenfeldEta4p7_m1000p0_0p0_SigmaMpTTag_2 1 -1
