#proc cat nGausRV nGausWV
InsideAcceptance_genJet2p5Pt0_110p0_200p0 recoJet2p5Pt0_110p0_200p0_SigmaMpTTag_0 2 -1
InsideAcceptance_genJet2p5Pt0_110p0_200p0 recoJet2p5Pt0_110p0_200p0_SigmaMpTTag_1 3 -1
InsideAcceptance_genJet2p5Pt0_110p0_200p0 recoJet2p5Pt0_110p0_200p0_SigmaMpTTag_2 3 -1
InsideAcceptance_genJet2p5Pt0_110p0_200p0 recoJet2p5Pt0_200p0_13000p0_SigmaMpTTag_0 2 -1
InsideAcceptance_genJet2p5Pt0_110p0_200p0 recoJet2p5Pt0_200p0_13000p0_SigmaMpTTag_1 1 -1
InsideAcceptance_genJet2p5Pt0_110p0_200p0 recoJet2p5Pt0_200p0_13000p0_SigmaMpTTag_2 -1 -1
InsideAcceptance_genJet2p5Pt0_110p0_200p0 recoJet2p5Pt0_30p0_45p0_SigmaMpTTag_0 -1 -1
InsideAcceptance_genJet2p5Pt0_110p0_200p0 recoJet2p5Pt0_30p0_45p0_SigmaMpTTag_1 -1 -1
InsideAcceptance_genJet2p5Pt0_110p0_200p0 recoJet2p5Pt0_30p0_45p0_SigmaMpTTag_2 -1 -1
InsideAcceptance_genJet2p5Pt0_110p0_200p0 recoJet2p5Pt0_45p0_70p0_SigmaMpTTag_0 2 -1
InsideAcceptance_genJet2p5Pt0_110p0_200p0 recoJet2p5Pt0_45p0_70p0_SigmaMpTTag_1 2 -1
InsideAcceptance_genJet2p5Pt0_110p0_200p0 recoJet2p5Pt0_45p0_70p0_SigmaMpTTag_2 2 -1
InsideAcceptance_genJet2p5Pt0_110p0_200p0 recoJet2p5Pt0_70p0_110p0_SigmaMpTTag_0 1 -1
InsideAcceptance_genJet2p5Pt0_110p0_200p0 recoJet2p5Pt0_70p0_110p0_SigmaMpTTag_1 2 -1
InsideAcceptance_genJet2p5Pt0_110p0_200p0 recoJet2p5Pt0_70p0_110p0_SigmaMpTTag_2 -1 -1
InsideAcceptance_genJet2p5Pt0_110p0_200p0 recoJet2p5Pt0_m1000p0_30p0_SigmaMpTTag_0 -1 -1
InsideAcceptance_genJet2p5Pt0_110p0_200p0 recoJet2p5Pt0_m1000p0_30p0_SigmaMpTTag_1 -1 -1
InsideAcceptance_genJet2p5Pt0_110p0_200p0 recoJet2p5Pt0_m1000p0_30p0_SigmaMpTTag_2 -1 -1
InsideAcceptance_genJet2p5Pt0_200p0_13000p0 recoJet2p5Pt0_110p0_200p0_SigmaMpTTag_0 2 -1
InsideAcceptance_genJet2p5Pt0_200p0_13000p0 recoJet2p5Pt0_110p0_200p0_SigmaMpTTag_1 1 -1
InsideAcceptance_genJet2p5Pt0_200p0_13000p0 recoJet2p5Pt0_110p0_200p0_SigmaMpTTag_2 1 -1
InsideAcceptance_genJet2p5Pt0_200p0_13000p0 recoJet2p5Pt0_200p0_13000p0_SigmaMpTTag_0 2 -1
InsideAcceptance_genJet2p5Pt0_200p0_13000p0 recoJet2p5Pt0_200p0_13000p0_SigmaMpTTag_1 2 -1
InsideAcceptance_genJet2p5Pt0_200p0_13000p0 recoJet2p5Pt0_200p0_13000p0_SigmaMpTTag_2 2 -1
InsideAcceptance_genJet2p5Pt0_200p0_13000p0 recoJet2p5Pt0_30p0_45p0_SigmaMpTTag_0 -1 -1
