# this file has been autogenerated by calcPhotonSystConsts.cpp

photonCatScales=HighR9EB_13TeVscale,HighR9EE_13TeVscale,LowR9EB_13TeVscale,LowR9EE_13TeVscale,Gain6EB_13TeVscale,Gain1EB_13TeVscale
photonCatScalesCorr=MaterialForward_scale
photonCatSmears=HighR9EBPhi_13TeVsmear,HighR9EBRho_13TeVsmear,HighR9EEPhi_13TeVsmear,HighR9EERho_13TeVsmear,LowR9EBPhi_13TeVsmear,LowR9EBRho_13TeVsmear,LowR9EEPhi_13TeVsmear,LowR9EERho_13TeVsmear
globalScales=NonLinearity_13TeVscale,Geant4_13TeVscale,LightYield_13TeVscale,Absolute_13TeVscale

# photonCat                   mean_change    sigma_change    rate_change
diphotonCat=0
proc=InsideAcceptance_genAbsDeltaEtaJJEta4p7_1p6_4p3
HighR9EB_13TeVscale           0.0008209     0.05779     0.01331    
HighR9EE_13TeVscale           2.584e-10     1.718e-08     1.807e-07    
LowR9EB_13TeVscale            4.569e-05     0.02106     0.002949    
LowR9EE_13TeVscale            2.584e-10     1.718e-08     1.807e-07    
Gain6EB_13TeVscale            0.0002887     0.01997     0.0009273    
Gain1EB_13TeVscale            7.058e-05     0.006618     1.594e-07    
HighR9EBPhi_13TeVsmear        0.0003318     0.04923     0.00145    
HighR9EBRho_13TeVsmear        0.001331     0.02527     0.009872    
HighR9EEPhi_13TeVsmear        2.584e-10     1.718e-08     1.807e-07    
HighR9EERho_13TeVsmear        2.584e-10     1.718e-08     1.807e-07    
LowR9EBPhi_13TeVsmear         4.97e-05     0.02586     1.346e-07    
LowR9EBRho_13TeVsmear         0.0001462     0.01711     0.0009101    
LowR9EEPhi_13TeVsmear         2.584e-10     1.718e-08     1.807e-07    
LowR9EERho_13TeVsmear         2.584e-10     1.718e-08     1.807e-07    
MaterialForward_scale         2.584e-10     1.718e-08     1.807e-07    

diphotonCat=0
proc=InsideAcceptance_genAbsDeltaEtaJJEta4p7_4p3_100p0
HighR9EB_13TeVscale           0.00111     0.0125     0.002214    
HighR9EE_13TeVscale           3.065e-10     5.853e-07     1.427e-06    
LowR9EB_13TeVscale            9.215e-05     0.005269     0.0007524    
LowR9EE_13TeVscale            3.065e-10     5.853e-07     1.427e-06    
Gain6EB_13TeVscale            1.562e-05     0.001909     0.0008743    
Gain1EB_13TeVscale            1.983e-05     0.0007814     1.428e-06    
HighR9EBPhi_13TeVsmear        6.57e-05     0.1115     0.0001845    
HighR9EBRho_13TeVsmear        9.155e-06     0.03631     0.003172    
HighR9EEPhi_13TeVsmear        3.065e-10     5.853e-07     1.427e-06    
HighR9EERho_13TeVsmear        3.065e-10     5.853e-07     1.427e-06    
LowR9EBPhi_13TeVsmear         7e-05     0.0118     0.004632    
LowR9EBRho_13TeVsmear         7.4e-05     0.00351     0.001861    
LowR9EEPhi_13TeVsmear         3.065e-10     5.853e-07     1.427e-06    
LowR9EERho_13TeVsmear         3.065e-10     5.853e-07     1.427e-06    
MaterialForward_scale         3.065e-10     5.853e-07     1.427e-06    

diphotonCat=0
proc=InsideAcceptance_genAbsDeltaEtaJJEta4p7_m1000p0_0p0
HighR9EB_13TeVscale           0.001138     0.02811     0.005459    
HighR9EE_13TeVscale           3.1e-10     1.254e-07     5.414e-08    
LowR9EB_13TeVscale            0.0001104     0.003976     0.0005842    
LowR9EE_13TeVscale            3.1e-10     1.254e-07     5.414e-08    
Gain6EB_13TeVscale            2.405e-05     0.0006987     3.393e-08    
Gain1EB_13TeVscale            2.737e-06     0.0002298     4.711e-08    
HighR9EBPhi_13TeVsmear        0.0001589     0.01981     0.003648    
HighR9EBRho_13TeVsmear        4.556e-05     0.03688     0.001984    
HighR9EEPhi_13TeVsmear        3.1e-10     1.254e-07     5.414e-08    
HighR9EERho_13TeVsmear        3.1e-10     1.254e-07     5.414e-08    
LowR9EBPhi_13TeVsmear         7.072e-05     0.015     0.0005697    
LowR9EBRho_13TeVsmear         3.652e-05     0.01171     0.0002073    
LowR9EEPhi_13TeVsmear         3.1e-10     1.254e-07     5.414e-08    
LowR9EERho_13TeVsmear         3.1e-10     1.254e-07     5.414e-08    
MaterialForward_scale         3.1e-10     1.254e-07     5.414e-08    

diphotonCat=0
proc=InsideAcceptance_genAbsDeltaEtaJJEta4p7_0p0_1p6
HighR9EB_13TeVscale           0.00147     0.09003     2.006e-07    
HighR9EE_13TeVscale           1.92e-10     5.606e-08     2.205e-07    
LowR9EB_13TeVscale            0.00041     0.02821     0.001164    
LowR9EE_13TeVscale            1.92e-10     5.606e-08     2.205e-07    
Gain6EB_13TeVscale            2.459e-05     0.003579     1.927e-07    
Gain1EB_13TeVscale            2.562e-10     5.575e-08     2.149e-07    
HighR9EBPhi_13TeVsmear        0.001292     0.05941     0.003972    
HighR9EBRho_13TeVsmear        0.0008358     0.03276     1.961e-07    
HighR9EEPhi_13TeVsmear        1.92e-10     5.606e-08     2.205e-07    
HighR9EERho_13TeVsmear        1.92e-10     5.606e-08     2.205e-07    
LowR9EBPhi_13TeVsmear         0.0001217     0.03897     0.004255    
LowR9EBRho_13TeVsmear         0.0002923     0.0107     1.972e-07    
LowR9EEPhi_13TeVsmear         1.92e-10     5.606e-08     2.205e-07    
LowR9EERho_13TeVsmear         1.92e-10     5.606e-08     2.205e-07    
MaterialForward_scale         1.92e-10     5.606e-08     2.205e-07    

diphotonCat=0
proc=OutsideAcceptance
HighR9EB_13TeVscale           0.002795     0.1222     0.3377    
HighR9EE_13TeVscale           8.205e-11     6.562e-09     3.747e-08    
LowR9EB_13TeVscale            0.0007596     0.1823     0.1413    
LowR9EE_13TeVscale            8.205e-11     6.562e-09     3.747e-08    
Gain6EB_13TeVscale            0.0001022     5.25e-09     2.998e-08    
Gain1EB_13TeVscale            8.205e-11     6.562e-09     3.747e-08    
HighR9EBPhi_13TeVsmear        0.001202     0.3597     0.01514    
HighR9EBRho_13TeVsmear        0.001919     0.05195     0.2058    
HighR9EEPhi_13TeVsmear        8.205e-11     6.562e-09     3.747e-08    
HighR9EERho_13TeVsmear        8.205e-11     6.562e-09     3.747e-08    
LowR9EBPhi_13TeVsmear         0.0008375     0.004725     0.02698    
LowR9EBRho_13TeVsmear         0.0009623     0.1823     0.1413    
LowR9EEPhi_13TeVsmear         8.205e-11     6.562e-09     3.747e-08    
LowR9EERho_13TeVsmear         8.205e-11     6.562e-09     3.747e-08    
MaterialForward_scale         8.205e-11     6.562e-09     3.747e-08    


diphotonCat=1
proc=InsideAcceptance_genAbsDeltaEtaJJEta4p7_1p6_4p3
HighR9EB_13TeVscale           0.0003197     0.03501     0.002202    
HighR9EE_13TeVscale           0.0003927     0.04946     1.3e-08    
LowR9EB_13TeVscale            0.001646     0.08867     0.008378    
LowR9EE_13TeVscale            5.027e-05     0.005228     8.609e-09    
Gain6EB_13TeVscale            1.8e-05     0.00251     1.324e-08    
Gain1EB_13TeVscale            0.0001053     0.002169     5.96e-09    
HighR9EBPhi_13TeVsmear        0.0002298     0.03227     0.004557    
HighR9EBRho_13TeVsmear        0.0004113     0.03014     0.009696    
HighR9EEPhi_13TeVsmear        1.496e-05     0.001519     7.119e-09    
HighR9EERho_13TeVsmear        0.0002322     0.04521     1.026e-08    
LowR9EBPhi_13TeVsmear         0.0002984     0.04524     0.004945    
LowR9EBRho_13TeVsmear         0.000145     0.01537     0.006326    
LowR9EEPhi_13TeVsmear         0.0002038     0.0006115     0.0009271    
LowR9EERho_13TeVsmear         2.396e-05     0.006755     2.45e-08    
MaterialForward_scale         0.0008154     0.08229     1.312e-05    

diphotonCat=1
proc=InsideAcceptance_genAbsDeltaEtaJJEta4p7_4p3_100p0
HighR9EB_13TeVscale           0.0003762     0.005541     0.0009681    
HighR9EE_13TeVscale           0.0002931     0.006908     0.0002578    
LowR9EB_13TeVscale            0.001059     0.01119     0.002098    
LowR9EE_13TeVscale            3.977e-05     0.003697     8.08e-05    
Gain6EB_13TeVscale            2.524e-05     0.0008977     0.0003808    
Gain1EB_13TeVscale            1.088e-05     4.149e-05     4.124e-05    
HighR9EBPhi_13TeVsmear        0.0001394     0.00344     0.003286    
HighR9EBRho_13TeVsmear        5.043e-05     0.009307     0.001469    
HighR9EEPhi_13TeVsmear        7.527e-05     0.02861     0.000169    
HighR9EERho_13TeVsmear        3.61e-05     0.005916     0.0001835    
LowR9EBPhi_13TeVsmear         1.886e-05     0.01296     0.00294    
LowR9EBRho_13TeVsmear         4.98e-05     0.001814     0.0005724    
LowR9EEPhi_13TeVsmear         4.652e-05     0.001873     0.0004259    
LowR9EERho_13TeVsmear         6.255e-05     0.003122     8.313e-05    
MaterialForward_scale         0.0007644     0.01505     8.403e-05    

diphotonCat=1
proc=InsideAcceptance_genAbsDeltaEtaJJEta4p7_m1000p0_0p0
HighR9EB_13TeVscale           0.0003126     0.006158     0.003558    
HighR9EE_13TeVscale           0.0003705     0.01882     0.00012    
LowR9EB_13TeVscale            0.001095     0.02014     0.01044    
LowR9EE_13TeVscale            7.792e-05     0.001415     0.0001178    
Gain6EB_13TeVscale            1.75e-05     0.000241     0.0001812    
Gain1EB_13TeVscale            1.301e-05     0.0003921     0.0001812    
HighR9EBPhi_13TeVsmear        0.0001669     0.003667     0.005242    
HighR9EBRho_13TeVsmear        6.361e-05     0.01735     0.002842    
HighR9EEPhi_13TeVsmear        0.0003046     0.0355     0.0006646    
HighR9EERho_13TeVsmear        0.0001041     0.01447     0.0002075    
LowR9EBPhi_13TeVsmear         5.596e-05     0.04732     0.005827    
LowR9EBRho_13TeVsmear         7.244e-05     0.01215     0.0023    
LowR9EEPhi_13TeVsmear         4.947e-05     0.01977     0.0001577    
LowR9EERho_13TeVsmear         1.707e-05     0.005383     9.363e-05    
MaterialForward_scale         0.0009365     0.01998     0.0001594    

diphotonCat=1
proc=InsideAcceptance_genAbsDeltaEtaJJEta4p7_0p0_1p6
HighR9EB_13TeVscale           0.0004385     0.02843     0.001986    
HighR9EE_13TeVscale           0.0003596     0.07333     0.001312    
LowR9EB_13TeVscale            0.001316     0.0112     0.002649    
LowR9EE_13TeVscale            3.142e-05     0.0008006     7.541e-08    
Gain6EB_13TeVscale            7.304e-07     1.18e-05     0.0008551    
Gain1EB_13TeVscale            5.743e-05     3.585e-05     6.611e-08    
HighR9EBPhi_13TeVsmear        0.0001098     0.0409     0.002099    
HighR9EBRho_13TeVsmear        0.0001908     0.01081     0.0007597    
HighR9EEPhi_13TeVsmear        0.0002242     0.01009     0.003413    
HighR9EERho_13TeVsmear        0.000104     0.0006446     5.389e-08    
LowR9EBPhi_13TeVsmear         0.0001162     0.01794     0.001916    
LowR9EBRho_13TeVsmear         1.919e-05     0.001208     0.001452    
LowR9EEPhi_13TeVsmear         0.0001275     0.00037     0.001198    
LowR9EERho_13TeVsmear         0.000108     0.0005121     6.594e-08    
MaterialForward_scale         0.0005743     0.06406     0.002103    

diphotonCat=1
proc=OutsideAcceptance
HighR9EB_13TeVscale           0.0006181     0.01497     0.04221    
HighR9EE_13TeVscale           0.003148     0.02574     0.06066    
LowR9EB_13TeVscale            0.001353     0.004186     0.1044    
LowR9EE_13TeVscale            0.0002015     0.0001045     5.986e-08    
