# this file has been autogenerated by calcPhotonSystConsts.cpp

photonCatScales=HighR9EB_13TeVscale,HighR9EE_13TeVscale,LowR9EB_13TeVscale,LowR9EE_13TeVscale,Gain6EB_13TeVscale,Gain1EB_13TeVscale
photonCatScalesCorr=MaterialForward_scale
photonCatSmears=HighR9EBPhi_13TeVsmear,HighR9EBRho_13TeVsmear,HighR9EEPhi_13TeVsmear,HighR9EERho_13TeVsmear,LowR9EBPhi_13TeVsmear,LowR9EBRho_13TeVsmear,LowR9EEPhi_13TeVsmear,LowR9EERho_13TeVsmear
globalScales=NonLinearity_13TeVscale,Geant4_13TeVscale,LightYield_13TeVscale,Absolute_13TeVscale

# photonCat                   mean_change    sigma_change    rate_change
diphotonCat=0
proc=InsideAcceptance_genAbsDeltaPhiGgJet0Eta2p5_0p0_2p6
HighR9EB_13TeVscale           0.0007168     0.02895     0.0111    
HighR9EE_13TeVscale           1.763e-10     7.184e-08     4.197e-08    
LowR9EB_13TeVscale            0.0009685     0.01121     0.01098    
LowR9EE_13TeVscale            1.763e-10     7.184e-08     4.197e-08    
Gain6EB_13TeVscale            3.215e-05     3.625e-06     5.54e-06    
Gain1EB_13TeVscale            3.41e-06     0.0003068     4.844e-08    
HighR9EBPhi_13TeVsmear        0.000568     0.03854     0.01624    
HighR9EBRho_13TeVsmear        0.0002776     0.01329     0.0146    
HighR9EEPhi_13TeVsmear        1.763e-10     7.184e-08     4.197e-08    
HighR9EERho_13TeVsmear        1.763e-10     7.184e-08     4.197e-08    
LowR9EBPhi_13TeVsmear         0.0005598     0.02502     0.0142    
LowR9EBRho_13TeVsmear         0.0002736     0.005457     0.01396    
LowR9EEPhi_13TeVsmear         1.763e-10     7.184e-08     4.197e-08    
LowR9EERho_13TeVsmear         1.763e-10     7.184e-08     4.197e-08    
MaterialForward_scale         1.763e-10     7.184e-08     4.197e-08    

diphotonCat=0
proc=InsideAcceptance_genAbsDeltaPhiGgJet0Eta2p5_3p03_3p15
HighR9EB_13TeVscale           0.0006244     0.009532     0.004134    
HighR9EE_13TeVscale           2.354e-10     1.367e-09     9.868e-09    
LowR9EB_13TeVscale            0.001087     0.01884     0.02669    
LowR9EE_13TeVscale            2.354e-10     1.367e-09     9.868e-09    
Gain6EB_13TeVscale            0.0001455     2.234e-09     1.488e-08    
Gain1EB_13TeVscale            0.0002999     0.0007018     7.362e-09    
HighR9EBPhi_13TeVsmear        0.001143     0.0168     0.001416    
HighR9EBRho_13TeVsmear        0.0004685     0.02893     0.003046    
HighR9EEPhi_13TeVsmear        2.354e-10     1.367e-09     9.868e-09    
HighR9EERho_13TeVsmear        2.354e-10     1.367e-09     9.868e-09    
LowR9EBPhi_13TeVsmear         0.0003017     0.05035     0.003841    
LowR9EBRho_13TeVsmear         0.0002888     0.01222     0.002521    
LowR9EEPhi_13TeVsmear         2.354e-10     1.367e-09     9.868e-09    
LowR9EERho_13TeVsmear         2.354e-10     1.367e-09     9.868e-09    
