# this file has been autogenerated by calcPhotonSystConsts.cpp

photonCatScales=HighR9EB_13TeVscale,HighR9EE_13TeVscale,LowR9EB_13TeVscale,LowR9EE_13TeVscale,Gain6EB_13TeVscale,Gain1EB_13TeVscale
photonCatScalesCorr=MaterialForward_scale
photonCatSmears=HighR9EBPhi_13TeVsmear,HighR9EBRho_13TeVsmear,HighR9EEPhi_13TeVsmear,HighR9EERho_13TeVsmear,LowR9EBPhi_13TeVsmear,LowR9EBRho_13TeVsmear,LowR9EEPhi_13TeVsmear,LowR9EERho_13TeVsmear
globalScales=NonLinearity_13TeVscale,Geant4_13TeVscale,LightYield_13TeVscale,Absolute_13TeVscale

# photonCat                   mean_change    sigma_change    rate_change
diphotonCat=0
proc=InsideAcceptance_genAbsDeltaPhiGgJjEta4p7_3p05_3p15
HighR9EB_13TeVscale           0.0009621     0.01092     0.003971    
HighR9EE_13TeVscale           1.15e-09     4.378e-08     1.359e-07    
LowR9EB_13TeVscale            0.0001973     0.006331     0.006535    
LowR9EE_13TeVscale            1.15e-09     4.378e-08     1.359e-07    
Gain6EB_13TeVscale            2.467e-05     0.001982     0.0009209    
Gain1EB_13TeVscale            2.489e-05     0.00947     1.409e-07    
HighR9EBPhi_13TeVsmear        0.0005267     0.2194     0.01001    
HighR9EBRho_13TeVsmear        0.0001764     0.04935     0.001905    
HighR9EEPhi_13TeVsmear        1.15e-09     4.378e-08     1.359e-07    
HighR9EERho_13TeVsmear        1.15e-09     4.378e-08     1.359e-07    
LowR9EBPhi_13TeVsmear         0.0001808     0.01306     0.009495    
LowR9EBRho_13TeVsmear         2.51e-05     0.005046     0.002131    
LowR9EEPhi_13TeVsmear         1.15e-09     4.378e-08     1.359e-07    
LowR9EERho_13TeVsmear         1.15e-09     4.378e-08     1.359e-07    
MaterialForward_scale         1.15e-09     4.378e-08     1.359e-07    

diphotonCat=0
proc=InsideAcceptance_genAbsDeltaPhiGgJjEta4p7_2p9_3p05
HighR9EB_13TeVscale           0.001042     0.01814     0.001586    
HighR9EE_13TeVscale           7.785e-09     7.168e-07     6.303e-07    
LowR9EB_13TeVscale            0.0001598     0.001677     0.002068    
LowR9EE_13TeVscale            7.785e-09     7.168e-07     6.303e-07    
Gain6EB_13TeVscale            2.732e-05     0.002152     0.000444    
Gain1EB_13TeVscale            6.756e-05     0.003339     5.396e-05    
HighR9EBPhi_13TeVsmear        6.559e-06     0.1485     0.00166    
HighR9EBRho_13TeVsmear        0.0001021     0.02929     0.004702    
HighR9EEPhi_13TeVsmear        7.785e-09     7.168e-07     6.303e-07    
HighR9EERho_13TeVsmear        7.785e-09     7.168e-07     6.303e-07    
LowR9EBPhi_13TeVsmear         3.473e-05     0.01562     0.003315    
LowR9EBRho_13TeVsmear         3.404e-05     0.005716     0.001443    
LowR9EEPhi_13TeVsmear         7.785e-09     7.168e-07     6.303e-07    
LowR9EERho_13TeVsmear         7.785e-09     7.168e-07     6.303e-07    
MaterialForward_scale         7.785e-09     7.168e-07     6.303e-07    

diphotonCat=0
proc=InsideAcceptance_genAbsDeltaPhiGgJjEta4p7_0p0_2p9
HighR9EB_13TeVscale           0.0007569     0.04721     0.003838    
HighR9EE_13TeVscale           1.887e-09     1.955e-08     2.109e-07    
LowR9EB_13TeVscale            0.0001629     0.002713     0.004635    
LowR9EE_13TeVscale            1.887e-09     1.955e-08     2.109e-07    
Gain6EB_13TeVscale            4.072e-05     0.003027     0.0004918    
Gain1EB_13TeVscale            2.374e-05     0.00366     0.002098    
HighR9EBPhi_13TeVsmear        0.0001799     0.07839     0.01057    
HighR9EBRho_13TeVsmear        0.0001581     0.02998     0.006962    
HighR9EEPhi_13TeVsmear        1.887e-09     1.955e-08     2.109e-07    
HighR9EERho_13TeVsmear        1.887e-09     1.955e-08     2.109e-07    
LowR9EBPhi_13TeVsmear         6.588e-05     0.00312     0.004498    
LowR9EBRho_13TeVsmear         2.743e-05     0.003916     0.001036    
LowR9EEPhi_13TeVsmear         1.887e-09     1.955e-08     2.109e-07    
LowR9EERho_13TeVsmear         1.887e-09     1.955e-08     2.109e-07    
MaterialForward_scale         1.887e-09     1.955e-08     2.109e-07    

diphotonCat=0
proc=InsideAcceptance_genAbsDeltaPhiGgJjEta4p7_m1000p0_0p0
HighR9EB_13TeVscale           0.001198     0.01735     0.004743    
HighR9EE_13TeVscale           1.506e-09     1.627e-07     2.647e-07    
LowR9EB_13TeVscale            0.0001931     0.002205     0.007874    
LowR9EE_13TeVscale            1.506e-09     1.627e-07     2.647e-07    
Gain6EB_13TeVscale            2.857e-06     0.0001794     2.562e-07    
Gain1EB_13TeVscale            7.228e-06     0.000312     2.817e-07    
HighR9EBPhi_13TeVsmear        3.255e-05     0.09962     0.009748    
HighR9EBRho_13TeVsmear        3.944e-05     0.06723     0.002721    
HighR9EEPhi_13TeVsmear        1.506e-09     1.627e-07     2.647e-07    
HighR9EERho_13TeVsmear        1.506e-09     1.627e-07     2.647e-07    
LowR9EBPhi_13TeVsmear         1.389e-05     0.01716     0.0006864    
LowR9EBRho_13TeVsmear         7.075e-05     0.01     0.0004785    
LowR9EEPhi_13TeVsmear         1.506e-09     1.627e-07     2.647e-07    
