# this file has been autogenerated by calcPhotonSystConsts.cpp

photonCatScales=HighR9EB_13TeVscale,HighR9EE_13TeVscale,LowR9EB_13TeVscale,LowR9EE_13TeVscale,Gain6EB_13TeVscale,Gain1EB_13TeVscale
photonCatScalesCorr=MaterialForward_scale
photonCatSmears=HighR9EBPhi_13TeVsmear,HighR9EBRho_13TeVsmear,HighR9EEPhi_13TeVsmear,HighR9EERho_13TeVsmear,LowR9EBPhi_13TeVsmear,LowR9EBRho_13TeVsmear,LowR9EEPhi_13TeVsmear,LowR9EERho_13TeVsmear
globalScales=NonLinearity_13TeVscale,Geant4_13TeVscale,LightYield_13TeVscale,Absolute_13TeVscale

# photonCat                   mean_change    sigma_change    rate_change
diphotonCat=0
proc=InsideAcceptance_genAbsDeltaPhiGgJjEta4p7VBFlike_3p05_3p15
HighR9EB_13TeVscale           0.001056     0.03017     0.004769    
HighR9EE_13TeVscale           1.638e-09     0.001514     4.709e-08    
LowR9EB_13TeVscale            0.00104     0.01453     0.01749    
LowR9EE_13TeVscale            1.638e-09     0.001514     4.709e-08    
Gain6EB_13TeVscale            5.482e-05     0.00386     6.904e-08    
Gain1EB_13TeVscale            5.508e-06     0.001175     8.001e-08    
HighR9EBPhi_13TeVsmear        0.0003878     0.0204     0.00325    
HighR9EBRho_13TeVsmear        0.0003011     0.04733     0.007341    
HighR9EEPhi_13TeVsmear        1.638e-09     0.001514     4.709e-08    
HighR9EERho_13TeVsmear        1.638e-09     0.001514     4.709e-08    
LowR9EBPhi_13TeVsmear         0.0002886     0.006375     0.01373    
LowR9EBRho_13TeVsmear         8.714e-05     0.008888     0.003032    
LowR9EEPhi_13TeVsmear         1.638e-09     0.001514     4.709e-08    
LowR9EERho_13TeVsmear         1.638e-09     0.001514     4.709e-08    
MaterialForward_scale         1.638e-09     0.001514     4.709e-08    

diphotonCat=0
proc=InsideAcceptance_genAbsDeltaPhiGgJjEta4p7VBFlike_0p0_2p9
HighR9EB_13TeVscale           0.001325     0.07185     0.03731    
HighR9EE_13TeVscale           8.457e-10     7.556e-08     3.953e-08    
LowR9EB_13TeVscale            0.001649     0.0182     0.03503    
LowR9EE_13TeVscale            8.457e-10     7.556e-08     3.953e-08    
Gain6EB_13TeVscale            4.285e-05     0.002618     3.953e-08    
Gain1EB_13TeVscale            8.457e-10     7.556e-08     3.953e-08    
HighR9EBPhi_13TeVsmear        1.08e-05     0.03534     0.03714    
HighR9EBRho_13TeVsmear        0.0006286     0.02294     0.01833    
HighR9EEPhi_13TeVsmear        8.457e-10     7.556e-08     3.953e-08    
HighR9EERho_13TeVsmear        8.457e-10     7.556e-08     3.953e-08    
LowR9EBPhi_13TeVsmear         0.000569     0.07056     0.03232    
LowR9EBRho_13TeVsmear         0.0005996     0.08648     0.01744    
LowR9EEPhi_13TeVsmear         8.457e-10     7.556e-08     3.953e-08    
LowR9EERho_13TeVsmear         8.457e-10     7.556e-08     3.953e-08    
MaterialForward_scale         8.457e-10     7.556e-08     3.953e-08    

diphotonCat=0
proc=InsideAcceptance_genAbsDeltaPhiGgJjEta4p7VBFlike_m1000p0_0p0
HighR9EB_13TeVscale           0.0009964     0.02132     0.003257    
HighR9EE_13TeVscale           2.123e-05     0.0008135     0.0008429    
LowR9EB_13TeVscale            0.000622     0.01632     0.01152    
LowR9EE_13TeVscale            2.123e-05     0.0008135     0.0008429    
Gain6EB_13TeVscale            2.472e-05     0.0003553     0.0008429    
Gain1EB_13TeVscale            0.0001027     0.002126     0.0008429    
HighR9EBPhi_13TeVsmear        0.0004745     0.02506     0.0204    
HighR9EBRho_13TeVsmear        0.0001788     0.02139     0.003263    
HighR9EEPhi_13TeVsmear        2.123e-05     0.0008135     0.0008429    
HighR9EERho_13TeVsmear        2.123e-05     0.0008135     0.0008429    
LowR9EBPhi_13TeVsmear         0.000328     0.01773     0.004893    
LowR9EBRho_13TeVsmear         9.601e-05     0.003153     0.001672    
LowR9EEPhi_13TeVsmear         2.123e-05     0.0008135     0.0008429    
LowR9EERho_13TeVsmear         2.123e-05     0.0008135     0.0008429    
MaterialForward_scale         2.123e-05     0.0008135     0.0008429    

diphotonCat=0
proc=InsideAcceptance_genAbsDeltaPhiGgJjEta4p7VBFlike_2p9_3p05
HighR9EB_13TeVscale           0.0008717     0.02604     0.001274    
HighR9EE_13TeVscale           1.392e-09     2.66e-07     2.624e-07    
LowR9EB_13TeVscale            0.0006175     0.02113     0.007225    
LowR9EE_13TeVscale            1.392e-09     2.66e-07     2.624e-07    
Gain6EB_13TeVscale            0.0002171     0.01209     0.001149    
Gain1EB_13TeVscale            3.675e-05     0.006278     0.0001995    
HighR9EBPhi_13TeVsmear        0.0002238     0.1228     0.02069    
HighR9EBRho_13TeVsmear        0.0003403     0.05618     0.006773    
HighR9EEPhi_13TeVsmear        1.392e-09     2.66e-07     2.624e-07    
HighR9EERho_13TeVsmear        1.392e-09     2.66e-07     2.624e-07    
LowR9EBPhi_13TeVsmear         0.001421     0.01819     0.01366    
LowR9EBRho_13TeVsmear         0.0003724     0.02928     0.00554    
LowR9EEPhi_13TeVsmear         1.392e-09     2.66e-07     2.624e-07    
LowR9EERho_13TeVsmear         1.392e-09     2.66e-07     2.624e-07    
MaterialForward_scale         1.392e-09     2.66e-07     2.624e-07    

diphotonCat=0
proc=OutsideAcceptance
HighR9EB_13TeVscale           0.004943     0.2819     0.1638    
