# this file has been autogenerated by calcPhotonSystConsts.cpp

photonCatScales=HighR9EB_13TeVscale,HighR9EE_13TeVscale,LowR9EB_13TeVscale,LowR9EE_13TeVscale,Gain6EB_13TeVscale,Gain1EB_13TeVscale
photonCatScalesCorr=MaterialForward_scale
photonCatSmears=HighR9EBPhi_13TeVsmear,HighR9EBRho_13TeVsmear,HighR9EEPhi_13TeVsmear,HighR9EERho_13TeVsmear,LowR9EBPhi_13TeVsmear,LowR9EBRho_13TeVsmear,LowR9EEPhi_13TeVsmear,LowR9EERho_13TeVsmear
globalScales=NonLinearity_13TeVscale,Geant4_13TeVscale,LightYield_13TeVscale,Absolute_13TeVscale

# photonCat                   mean_change    sigma_change    rate_change
diphotonCat=0
proc=InsideAcceptance_genAbsDeltaPhiGgJjEta4p7_3p05_3p15
HighR9EB_13TeVscale           0.001074     0.0148     0.004068    
HighR9EE_13TeVscale           2.679e-09     6.238e-08     2.071e-08    
LowR9EB_13TeVscale            0.0001931     0.01119     0.006884    
LowR9EE_13TeVscale            2.679e-09     6.238e-08     2.071e-08    
Gain6EB_13TeVscale            2.942e-05     0.002886     0.0009889    
Gain1EB_13TeVscale            4.158e-05     0.007612     2.877e-09    
HighR9EBPhi_13TeVsmear        0.0005659     0.2057     0.004183    
HighR9EBRho_13TeVsmear        0.0001838     0.06416     0.003503    
HighR9EEPhi_13TeVsmear        2.679e-09     6.238e-08     2.071e-08    
HighR9EERho_13TeVsmear        2.679e-09     6.238e-08     2.071e-08    
LowR9EBPhi_13TeVsmear         0.0001895     0.02389     0.006528    
LowR9EBRho_13TeVsmear         3.79e-05     0.009413     0.004131    
LowR9EEPhi_13TeVsmear         2.679e-09     6.238e-08     2.071e-08    
LowR9EERho_13TeVsmear         2.679e-09     6.238e-08     2.071e-08    
MaterialForward_scale         2.679e-09     6.238e-08     2.071e-08    

diphotonCat=0
proc=InsideAcceptance_genAbsDeltaPhiGgJjEta4p7_2p9_3p05
HighR9EB_13TeVscale           0.001097     0.01553     0.001889    
HighR9EE_13TeVscale           6.377e-09     6.468e-07     3.712e-07    
LowR9EB_13TeVscale            0.0001798     0.0007053     0.002685    
LowR9EE_13TeVscale            6.377e-09     6.468e-07     3.712e-07    
Gain6EB_13TeVscale            2.749e-05     0.002395     0.0004153    
Gain1EB_13TeVscale            7.063e-05     0.003578     5.609e-05    
HighR9EBPhi_13TeVsmear        1.088e-05     0.1475     0.0001095    
HighR9EBRho_13TeVsmear        0.0001004     0.03034     0.004284    
HighR9EEPhi_13TeVsmear        6.377e-09     6.468e-07     3.712e-07    
HighR9EERho_13TeVsmear        6.377e-09     6.468e-07     3.712e-07    
LowR9EBPhi_13TeVsmear         5.799e-05     0.01865     0.002911    
LowR9EBRho_13TeVsmear         1.802e-05     0.008028     0.0009695    
LowR9EEPhi_13TeVsmear         6.377e-09     6.468e-07     3.712e-07    
LowR9EERho_13TeVsmear         6.377e-09     6.468e-07     3.712e-07    
MaterialForward_scale         6.377e-09     6.468e-07     3.712e-07    

diphotonCat=0
proc=InsideAcceptance_genAbsDeltaPhiGgJjEta4p7_0p0_2p9
HighR9EB_13TeVscale           0.0008038     0.05219     0.003769    
HighR9EE_13TeVscale           3.129e-09     1.051e-08     7.368e-08    
LowR9EB_13TeVscale            0.0002124     0.0221     0.005169    
LowR9EE_13TeVscale            3.129e-09     1.051e-08     7.368e-08    
Gain6EB_13TeVscale            4.339e-05     0.006737     0.0005086    
Gain1EB_13TeVscale            2.603e-05     0.004117     0.002169    
HighR9EBPhi_13TeVsmear        0.0001991     0.07339     0.01456    
HighR9EBRho_13TeVsmear        0.0001994     0.04109     0.006214    
HighR9EEPhi_13TeVsmear        3.129e-09     1.051e-08     7.368e-08    
HighR9EERho_13TeVsmear        3.129e-09     1.051e-08     7.368e-08    
LowR9EBPhi_13TeVsmear         8.642e-05     0.0007132     0.008832    
LowR9EBRho_13TeVsmear         3.512e-05     0.008076     0.002948    
LowR9EEPhi_13TeVsmear         3.129e-09     1.051e-08     7.368e-08    
LowR9EERho_13TeVsmear         3.129e-09     1.051e-08     7.368e-08    
MaterialForward_scale         3.129e-09     1.051e-08     7.368e-08    

diphotonCat=0
proc=InsideAcceptance_genAbsDeltaPhiGgJjEta4p7_m1000p0_0p0
HighR9EB_13TeVscale           0.001204     0.03424     0.005774    
HighR9EE_13TeVscale           9.034e-10     3.099e-08     0    
LowR9EB_13TeVscale            0.0001484     0.009793     0.006179    
LowR9EE_13TeVscale            9.034e-10     3.099e-08     0    
Gain6EB_13TeVscale            1.544e-06     1.39e-07     5.939e-09    
Gain1EB_13TeVscale            1.45e-06     0.000186     5.939e-09    
HighR9EBPhi_13TeVsmear        0.0001826     0.09151     0.01598    
HighR9EBRho_13TeVsmear        8.264e-05     0.0713     0.004173    
HighR9EEPhi_13TeVsmear        9.034e-10     3.099e-08     0    
HighR9EERho_13TeVsmear        9.034e-10     3.099e-08     0    
LowR9EBPhi_13TeVsmear         6.433e-05     0.005636     0.0003427    
LowR9EBRho_13TeVsmear         7.454e-05     0.008821     0.0001913    
LowR9EEPhi_13TeVsmear         9.034e-10     3.099e-08     0    
LowR9EERho_13TeVsmear         9.034e-10     3.099e-08     0    
MaterialForward_scale         9.034e-10     3.099e-08     0    

diphotonCat=0
proc=OutsideAcceptance
HighR9EB_13TeVscale           0.0008119     0.2218     0.07243    
HighR9EE_13TeVscale           9.451e-10     4.318e-08     1.454e-07    
LowR9EB_13TeVscale            6.163e-05     0.003551     0.002656    
LowR9EE_13TeVscale            9.451e-10     4.318e-08     1.454e-07    
Gain6EB_13TeVscale            8.49e-05     0.008976     1.259e-07    
Gain1EB_13TeVscale            2.291e-05     0.00522     1.601e-07    
HighR9EBPhi_13TeVsmear        0.0007762     0.4157     0.00985    
HighR9EBRho_13TeVsmear        0.0006061     0.2131     0.1244    
HighR9EEPhi_13TeVsmear        9.451e-10     4.318e-08     1.454e-07    
HighR9EERho_13TeVsmear        9.451e-10     4.318e-08     1.454e-07    
LowR9EBPhi_13TeVsmear         5.46e-05     0.004978     0.005312    
LowR9EBRho_13TeVsmear         2.393e-05     4.941e-08     1.503e-07    
LowR9EEPhi_13TeVsmear         9.451e-10     4.318e-08     1.454e-07    
LowR9EERho_13TeVsmear         9.451e-10     4.318e-08     1.454e-07    
MaterialForward_scale         9.451e-10     4.318e-08     1.454e-07    


diphotonCat=1
proc=InsideAcceptance_genAbsDeltaPhiGgJjEta4p7_3p05_3p15
HighR9EB_13TeVscale           0.001074     0.02531     0.001464    
HighR9EE_13TeVscale           2.181e-09     0.0002896     2.652e-07    
LowR9EB_13TeVscale            0.0008423     0.02963     0.01026    
LowR9EE_13TeVscale            2.181e-09     0.0002896     2.652e-07    
Gain6EB_13TeVscale            4.79e-05     0.003749     0.000974    
Gain1EB_13TeVscale            3.285e-05     0.002151     2.337e-07    
HighR9EBPhi_13TeVsmear        0.0001044     0.05413     0.008404    
HighR9EBRho_13TeVsmear        3.48e-05     0.05137     0.004559    
HighR9EEPhi_13TeVsmear        2.181e-09     0.0002896     2.652e-07    
HighR9EERho_13TeVsmear        2.181e-09     0.0002896     2.652e-07    
LowR9EBPhi_13TeVsmear         0.0001661     0.02736     0.006975    
LowR9EBRho_13TeVsmear         6.171e-05     0.009463     0.003466    
LowR9EEPhi_13TeVsmear         2.181e-09     0.0002896     2.652e-07    
LowR9EERho_13TeVsmear         2.181e-09     0.0002896     2.652e-07    
MaterialForward_scale         2.181e-09     0.0002896     2.652e-07    

diphotonCat=1
proc=InsideAcceptance_genAbsDeltaPhiGgJjEta4p7_2p9_3p05
HighR9EB_13TeVscale           0.0007473     0.009116     0.002353    
