# this file has been autogenerated by calcPhotonSystConsts.cpp

photonCatScales=HighR9EB_13TeVscale,HighR9EE_13TeVscale,LowR9EB_13TeVscale,LowR9EE_13TeVscale,Gain6EB_13TeVscale,Gain1EB_13TeVscale
photonCatScalesCorr=MaterialForward_scale
photonCatSmears=HighR9EBPhi_13TeVsmear,HighR9EBRho_13TeVsmear,HighR9EEPhi_13TeVsmear,HighR9EERho_13TeVsmear,LowR9EBPhi_13TeVsmear,LowR9EBRho_13TeVsmear,LowR9EEPhi_13TeVsmear,LowR9EERho_13TeVsmear
globalScales=NonLinearity_13TeVscale,Geant4_13TeVscale,LightYield_13TeVscale,Absolute_13TeVscale

# photonCat                   mean_change    sigma_change    rate_change
diphotonCat=0
proc=InsideAcceptance_genAbsDeltaPhiJjEta4p7_0p0_0p9
HighR9EB_13TeVscale           0.0007099     0.0225     0.005306    
HighR9EE_13TeVscale           6.573e-10     3.982e-07     4.957e-07    
LowR9EB_13TeVscale            0.0006973     0.03076     0.01595    
LowR9EE_13TeVscale            6.573e-10     3.982e-07     4.957e-07    
Gain6EB_13TeVscale            0.0001558     0.006202     0.003098    
Gain1EB_13TeVscale            8.346e-05     0.01192     0.0001154    
HighR9EBPhi_13TeVsmear        4.99e-05     0.1162     0.003914    
HighR9EBRho_13TeVsmear        0.0001326     0.02551     0.001354    
HighR9EEPhi_13TeVsmear        6.573e-10     3.982e-07     4.957e-07    
HighR9EERho_13TeVsmear        6.573e-10     3.982e-07     4.957e-07    
LowR9EBPhi_13TeVsmear         7.232e-06     0.06571     0.005296    
LowR9EBRho_13TeVsmear         9.938e-05     0.0235     0.002147    
LowR9EEPhi_13TeVsmear         6.573e-10     3.982e-07     4.957e-07    
LowR9EERho_13TeVsmear         6.573e-10     3.982e-07     4.957e-07    
MaterialForward_scale         6.573e-10     3.982e-07     4.957e-07    

diphotonCat=0
proc=InsideAcceptance_genAbsDeltaPhiJjEta4p7_0p9_1p8
HighR9EB_13TeVscale           0.0007264     0.008174     0.006245    
HighR9EE_13TeVscale           5.74e-10     9.183e-08     1.214e-07    
LowR9EB_13TeVscale            0.0007268     0.01974     0.01083    
LowR9EE_13TeVscale            5.74e-10     9.183e-08     1.214e-07    
Gain6EB_13TeVscale            3.438e-05     0.0003898     0.0003295    
Gain1EB_13TeVscale            6.608e-05     0.008304     0.000331    
HighR9EBPhi_13TeVsmear        0.000376     0.02806     0.007783    
HighR9EBRho_13TeVsmear        4.466e-05     0.01443     0.002747    
HighR9EEPhi_13TeVsmear        5.74e-10     9.183e-08     1.214e-07    
HighR9EERho_13TeVsmear        5.74e-10     9.183e-08     1.214e-07    
LowR9EBPhi_13TeVsmear         7.504e-05     0.03323     0.009083    
LowR9EBRho_13TeVsmear         7.651e-05     0.01521     0.0008154    
LowR9EEPhi_13TeVsmear         5.74e-10     9.183e-08     1.214e-07    
LowR9EERho_13TeVsmear         5.74e-10     9.183e-08     1.214e-07    
MaterialForward_scale         5.74e-10     9.183e-08     1.214e-07    

diphotonCat=0
proc=InsideAcceptance_genAbsDeltaPhiJjEta4p7_1p8_3p15
HighR9EB_13TeVscale           0.0006999     0.008647     0.00059    
HighR9EE_13TeVscale           6.64e-07     1.172e-05     7.39e-06    
LowR9EB_13TeVscale            0.000655     0.006553     0.0005859    
LowR9EE_13TeVscale            6.64e-07     1.172e-05     7.39e-06    
Gain6EB_13TeVscale            2.149e-05     0.001402     6.03e-05    
Gain1EB_13TeVscale            1.034e-05     0.0008969     2.314e-05    
HighR9EBPhi_13TeVsmear        8.904e-05     0.03855     0.001943    
HighR9EBRho_13TeVsmear        6.564e-05     0.021     0.001916    
HighR9EEPhi_13TeVsmear        6.64e-07     1.172e-05     7.39e-06    
HighR9EERho_13TeVsmear        6.64e-07     1.172e-05     7.39e-06    
LowR9EBPhi_13TeVsmear         1.757e-05     0.03117     0.0007605    
LowR9EBRho_13TeVsmear         3.122e-05     0.01663     0.0007249    
LowR9EEPhi_13TeVsmear         6.64e-07     1.172e-05     7.39e-06    
LowR9EERho_13TeVsmear         6.64e-07     1.172e-05     7.39e-06    
MaterialForward_scale         6.64e-07     1.172e-05     7.39e-06    

diphotonCat=0
proc=InsideAcceptance_genAbsDeltaPhiJjEta4p7_m1000p0_0p0
HighR9EB_13TeVscale           0.0005813     0.008904     0.001214    
HighR9EE_13TeVscale           5.912e-10     2.069e-08     5.245e-09    
LowR9EB_13TeVscale            0.0004671     0.00621     0.006802    
LowR9EE_13TeVscale            5.912e-10     2.069e-08     5.245e-09    
Gain6EB_13TeVscale            5.888e-06     0.0001034     2.559e-08    
Gain1EB_13TeVscale            5.38e-06     0.0007631     0.001069    
HighR9EBPhi_13TeVsmear        4.366e-05     0.0534     0.0001771    
HighR9EBRho_13TeVsmear        7.14e-05     0.02565     0.002618    
HighR9EEPhi_13TeVsmear        5.912e-10     2.069e-08     5.245e-09    
HighR9EERho_13TeVsmear        5.912e-10     2.069e-08     5.245e-09    
LowR9EBPhi_13TeVsmear         0.0001575     0.04196     0.0009582    
LowR9EBRho_13TeVsmear         2.651e-05     0.01983     0.002154    
LowR9EEPhi_13TeVsmear         5.912e-10     2.069e-08     5.245e-09    
LowR9EERho_13TeVsmear         5.912e-10     2.069e-08     5.245e-09    
MaterialForward_scale         5.912e-10     2.069e-08     5.245e-09    

diphotonCat=0
proc=OutsideAcceptance
HighR9EB_13TeVscale           0.001348     0.03605     0.03379    
HighR9EE_13TeVscale           4.978e-10     6.056e-08     9.794e-08    
LowR9EB_13TeVscale            0.0007048     0.04394     0.008511    
LowR9EE_13TeVscale            4.978e-10     6.056e-08     9.794e-08    
Gain6EB_13TeVscale            0.0001191     0.004456     0.0006208    
Gain1EB_13TeVscale            2.206e-05     0.005103     0.000294    
HighR9EBPhi_13TeVsmear        0.0003252     0.03884     0.01953    
HighR9EBRho_13TeVsmear        0.0009664     0.02839     0.02137    
HighR9EEPhi_13TeVsmear        4.978e-10     6.056e-08     9.794e-08    
HighR9EERho_13TeVsmear        4.978e-10     6.056e-08     9.794e-08    
LowR9EBPhi_13TeVsmear         0.00127     0.02581     0.03089    
LowR9EBRho_13TeVsmear         0.0003222     0.04135     0.0124    
LowR9EEPhi_13TeVsmear         4.978e-10     6.056e-08     9.794e-08    
LowR9EERho_13TeVsmear         4.978e-10     6.056e-08     9.794e-08    
MaterialForward_scale         4.978e-10     6.056e-08     9.794e-08    


diphotonCat=1
proc=InsideAcceptance_genAbsDeltaPhiJjEta4p7_0p0_0p9
HighR9EB_13TeVscale           0.001193     0.01386     0.002489    
HighR9EE_13TeVscale           6.803e-10     2.75e-07     2.283e-07    
LowR9EB_13TeVscale            0.0003177     0.02212     0.0005901    
LowR9EE_13TeVscale            6.803e-10     2.75e-07     2.283e-07    
Gain6EB_13TeVscale            0.0001703     0.03276     0.0003224    
Gain1EB_13TeVscale            5.647e-05     0.007852     2.369e-07    
HighR9EBPhi_13TeVsmear        0.0003934     0.2211     0.004482    
HighR9EBRho_13TeVsmear        0.0001167     0.07406     0.003488    
HighR9EEPhi_13TeVsmear        6.803e-10     2.75e-07     2.283e-07    
HighR9EERho_13TeVsmear        6.803e-10     2.75e-07     2.283e-07    
LowR9EBPhi_13TeVsmear         0.0001126     0.04312     0.002073    
