# this file has been autogenerated by calcPhotonSystConsts.cpp

photonCatScales=HighR9EB_13TeVscale,HighR9EE_13TeVscale,LowR9EB_13TeVscale,LowR9EE_13TeVscale,Gain6EB_13TeVscale,Gain1EB_13TeVscale
photonCatScalesCorr=MaterialForward_scale
photonCatSmears=HighR9EBPhi_13TeVsmear,HighR9EBRho_13TeVsmear,HighR9EEPhi_13TeVsmear,HighR9EERho_13TeVsmear,LowR9EBPhi_13TeVsmear,LowR9EBRho_13TeVsmear,LowR9EEPhi_13TeVsmear,LowR9EERho_13TeVsmear
globalScales=NonLinearity_13TeVscale,Geant4_13TeVscale,LightYield_13TeVscale,Absolute_13TeVscale

# photonCat                   mean_change    sigma_change    rate_change
diphotonCat=0
proc=InsideAcceptance_genAbsDeltaPhiJjEta4p7VBFlike_1p8_3p15
HighR9EB_13TeVscale           0.001297     0.1196     0.003145    
HighR9EE_13TeVscale           2.173e-09     6.649e-08     1.034e-07    
LowR9EB_13TeVscale            0.0005917     0.08512     0.002874    
LowR9EE_13TeVscale            2.173e-09     6.649e-08     1.034e-07    
Gain6EB_13TeVscale            5.522e-05     0.0004447     8.806e-08    
Gain1EB_13TeVscale            2.173e-09     6.649e-08     1.034e-07    
HighR9EBPhi_13TeVsmear        0.0005259     0.03812     9.571e-08    
HighR9EBRho_13TeVsmear        0.000455     0.01139     7.322e-08    
HighR9EEPhi_13TeVsmear        2.173e-09     6.649e-08     1.034e-07    
HighR9EERho_13TeVsmear        2.173e-09     6.649e-08     1.034e-07    
LowR9EBPhi_13TeVsmear         0.00061     0.003154     0.07638    
LowR9EBRho_13TeVsmear         0.0004263     0.003692     0.003145    
LowR9EEPhi_13TeVsmear         2.173e-09     6.649e-08     1.034e-07    
LowR9EERho_13TeVsmear         2.173e-09     6.649e-08     1.034e-07    
MaterialForward_scale         2.173e-09     6.649e-08     1.034e-07    

diphotonCat=0
proc=InsideAcceptance_genAbsDeltaPhiJjEta4p7VBFlike_m1000p0_0p0
HighR9EB_13TeVscale           0.0003915     0.03159     0.01393    
HighR9EE_13TeVscale           1.882e-05     0.001408     0.0007816    
LowR9EB_13TeVscale            0.0009748     0.02225     0.007385    
LowR9EE_13TeVscale            1.882e-05     0.001408     0.0007816    
Gain6EB_13TeVscale            7.626e-05     0.001511     0.0007816    
Gain1EB_13TeVscale            7.099e-05     0.004996     0.0007816    
HighR9EBPhi_13TeVsmear        0.00035     0.02189     0.01014    
HighR9EBRho_13TeVsmear        0.0002957     0.01379     0.008113    
HighR9EEPhi_13TeVsmear        1.882e-05     0.001408     0.0007816    
HighR9EERho_13TeVsmear        1.882e-05     0.001408     0.0007816    
LowR9EBPhi_13TeVsmear         0.0001225     0.04492     0.004039    
LowR9EBRho_13TeVsmear         9.294e-05     0.02891     0.006755    
LowR9EEPhi_13TeVsmear         1.882e-05     0.001408     0.0007816    
LowR9EERho_13TeVsmear         1.882e-05     0.001408     0.0007816    
MaterialForward_scale         1.882e-05     0.001408     0.0007816    

diphotonCat=0
proc=InsideAcceptance_genAbsDeltaPhiJjEta4p7VBFlike_0p0_0p9
HighR9EB_13TeVscale           0.001076     0.0186     0.00587    
