# this file has been autogenerated by calcPhotonSystConsts.cpp

photonCatScales=HighR9EB_13TeVscale,HighR9EE_13TeVscale,LowR9EB_13TeVscale,LowR9EE_13TeVscale,Gain6EB_13TeVscale,Gain1EB_13TeVscale
photonCatScalesCorr=MaterialForward_scale
photonCatSmears=HighR9EBPhi_13TeVsmear,HighR9EBRho_13TeVsmear,HighR9EEPhi_13TeVsmear,HighR9EERho_13TeVsmear,LowR9EBPhi_13TeVsmear,LowR9EBRho_13TeVsmear,LowR9EEPhi_13TeVsmear,LowR9EERho_13TeVsmear
globalScales=NonLinearity_13TeVscale,Geant4_13TeVscale,LightYield_13TeVscale,Absolute_13TeVscale

# photonCat                   mean_change    sigma_change    rate_change
diphotonCat=0
proc=InsideAcceptance_genAbsDeltaPhiJjEta4p7_0p0_0p9
HighR9EB_13TeVscale           0.0008764     0.03543     0.0006878    
HighR9EE_13TeVscale           3.475e-09     2.096e-07     1.64e-07    
LowR9EB_13TeVscale            0.0009466     0.04144     0.02387    
LowR9EE_13TeVscale            3.475e-09     2.096e-07     1.64e-07    
Gain6EB_13TeVscale            0.000225     0.0192     0.00448    
Gain1EB_13TeVscale            0.0001215     0.01641     0.0001788    
HighR9EBPhi_13TeVsmear        0.0002037     0.07336     0.01838    
HighR9EBRho_13TeVsmear        0.0001939     0.04086     0.0003035    
HighR9EEPhi_13TeVsmear        3.475e-09     2.096e-07     1.64e-07    
HighR9EERho_13TeVsmear        3.475e-09     2.096e-07     1.64e-07    
LowR9EBPhi_13TeVsmear         9.548e-05     0.06936     0.01019    
LowR9EBRho_13TeVsmear         0.0001831     0.03052     0.001617    
LowR9EEPhi_13TeVsmear         3.475e-09     2.096e-07     1.64e-07    
LowR9EERho_13TeVsmear         3.475e-09     2.096e-07     1.64e-07    
MaterialForward_scale         3.475e-09     2.096e-07     1.64e-07    

diphotonCat=0
proc=InsideAcceptance_genAbsDeltaPhiJjEta4p7_0p9_1p8
HighR9EB_13TeVscale           0.0007085     0.0298     0.00117    
HighR9EE_13TeVscale           4.85e-10     1.926e-08     6.708e-08    
LowR9EB_13TeVscale            0.0006671     0.03128     0.01641    
LowR9EE_13TeVscale            4.85e-10     1.926e-08     6.708e-08    
Gain6EB_13TeVscale            8.073e-05     0.0006065     0.0004572    
Gain1EB_13TeVscale            9.255e-05     0.02881     0.0004848    
HighR9EBPhi_13TeVsmear        0.0006842     0.02344     0.0001393    
HighR9EBRho_13TeVsmear        0.0001923     0.009777     0.002311    
HighR9EEPhi_13TeVsmear        4.85e-10     1.926e-08     6.708e-08    
HighR9EERho_13TeVsmear        4.85e-10     1.926e-08     6.708e-08    
LowR9EBPhi_13TeVsmear         0.000352     0.05111     0.001829    
LowR9EBRho_13TeVsmear         0.0001285     0.01638     0.002092    
LowR9EEPhi_13TeVsmear         4.85e-10     1.926e-08     6.708e-08    
LowR9EERho_13TeVsmear         4.85e-10     1.926e-08     6.708e-08    
MaterialForward_scale         4.85e-10     1.926e-08     6.708e-08    

diphotonCat=0
proc=InsideAcceptance_genAbsDeltaPhiJjEta4p7_1p8_3p15
HighR9EB_13TeVscale           0.0007189     0.01184     0.0003641    
HighR9EE_13TeVscale           8.942e-10     7.91e-07     3.705e-07    
LowR9EB_13TeVscale            0.0006618     0.006302     0.0007356    
