# this file has been autogenerated by calcPhotonSystConsts.cpp

photonCatScales=HighR9EB_13TeVscale,HighR9EE_13TeVscale,LowR9EB_13TeVscale,LowR9EE_13TeVscale,Gain6EB_13TeVscale,Gain1EB_13TeVscale
photonCatScalesCorr=MaterialForward_scale
photonCatSmears=HighR9EBPhi_13TeVsmear,HighR9EBRho_13TeVsmear,HighR9EEPhi_13TeVsmear,HighR9EERho_13TeVsmear,LowR9EBPhi_13TeVsmear,LowR9EBRho_13TeVsmear,LowR9EEPhi_13TeVsmear,LowR9EERho_13TeVsmear
globalScales=NonLinearity_13TeVscale,Geant4_13TeVscale,LightYield_13TeVscale,Absolute_13TeVscale

# photonCat                   mean_change    sigma_change    rate_change
diphotonCat=0
proc=InsideAcceptance_genAbsDeltaRapidityGgJet0Eta2p5_0p6_1p2
HighR9EB_13TeVscale           0.0007337     0.03339     0.004556    
HighR9EE_13TeVscale           1.921e-11     2.614e-08     1.061e-07    
LowR9EB_13TeVscale            0.0003499     0.0563     0.006015    
LowR9EE_13TeVscale            1.921e-11     2.614e-08     1.061e-07    
Gain6EB_13TeVscale            1.332e-05     2.079e-08     7.643e-08    
Gain1EB_13TeVscale            1.783e-06     0.0004571     1.061e-07    
HighR9EBPhi_13TeVsmear        6.061e-05     0.07249     0.01188    
HighR9EBRho_13TeVsmear        0.0001643     0.04057     0.002978    
HighR9EEPhi_13TeVsmear        1.921e-11     2.614e-08     1.061e-07    
HighR9EERho_13TeVsmear        1.921e-11     2.614e-08     1.061e-07    
LowR9EBPhi_13TeVsmear         0.0002646     0.02009     0.003744    
LowR9EBRho_13TeVsmear         0.0001681     0.009446     0.00471    
LowR9EEPhi_13TeVsmear         1.921e-11     2.614e-08     1.061e-07    
LowR9EERho_13TeVsmear         1.921e-11     2.614e-08     1.061e-07    
MaterialForward_scale         1.921e-11     2.614e-08     1.061e-07    

diphotonCat=0
proc=InsideAcceptance_genAbsDeltaRapidityGgJet0Eta2p5_1p9_100p0
HighR9EB_13TeVscale           0.0006776     0.001306     0.004241    
HighR9EE_13TeVscale           9.521e-10     2.224e-07     6.835e-08    
LowR9EB_13TeVscale            0.0008001     0.03985     0.005746    
LowR9EE_13TeVscale            9.521e-10     2.224e-07     6.835e-08    
Gain6EB_13TeVscale            1.855e-06     0.0002279     5.935e-08    
Gain1EB_13TeVscale            1.052e-06     2.224e-07     6.835e-08    
HighR9EBPhi_13TeVsmear        0.0001005     0.00887     0.001793    
HighR9EBRho_13TeVsmear        0.0001649     0.02652     0.002411    
HighR9EEPhi_13TeVsmear        9.521e-10     2.224e-07     6.835e-08    
HighR9EERho_13TeVsmear        9.521e-10     2.224e-07     6.835e-08    
LowR9EBPhi_13TeVsmear         1.527e-05     0.03853     0.002199    
LowR9EBRho_13TeVsmear         4.335e-05     0.02969     0.001207    
LowR9EEPhi_13TeVsmear         9.521e-10     2.224e-07     6.835e-08    
LowR9EERho_13TeVsmear         9.521e-10     2.224e-07     6.835e-08    
MaterialForward_scale         9.521e-10     2.224e-07     6.835e-08    

diphotonCat=0
proc=InsideAcceptance_genAbsDeltaRapidityGgJet0Eta2p5_m1000p0_0p0
HighR9EB_13TeVscale           0.0007301     0.003923     0.0003119    
HighR9EE_13TeVscale           1.021e-06     0.0002351     9.646e-05    
LowR9EB_13TeVscale            0.0005838     0.00604     0.0007409    
LowR9EE_13TeVscale            1.021e-06     0.0002351     9.646e-05    
Gain6EB_13TeVscale            1.341e-06     0.0002367     7.391e-05    
Gain1EB_13TeVscale            9.545e-07     0.0002402     9.647e-05    
HighR9EBPhi_13TeVsmear        1.249e-06     0.02829     0.0009909    
HighR9EBRho_13TeVsmear        5.481e-06     0.02144     0.0005148    
HighR9EEPhi_13TeVsmear        1.021e-06     0.0002351     9.646e-05    
HighR9EERho_13TeVsmear        1.021e-06     0.0002351     9.646e-05    
LowR9EBPhi_13TeVsmear         4.48e-06     0.01836     0.0002653    
LowR9EBRho_13TeVsmear         3.18e-06     0.01374     0.0002951    
LowR9EEPhi_13TeVsmear         1.021e-06     0.0002351     9.646e-05    
LowR9EERho_13TeVsmear         1.021e-06     0.0002351     9.646e-05    
MaterialForward_scale         1.021e-06     0.0002351     9.646e-05    

diphotonCat=0
proc=InsideAcceptance_genAbsDeltaRapidityGgJet0Eta2p5_0p0_0p6
HighR9EB_13TeVscale           0.0007931     0.02382     0.002012    
HighR9EE_13TeVscale           1.394e-10     4.108e-08     4.589e-08    
LowR9EB_13TeVscale            0.0007332     0.01012     0.00363    
LowR9EE_13TeVscale            1.394e-10     4.108e-08     4.589e-08    
Gain6EB_13TeVscale            1.205e-05     0.003845     2.452e-08    
