# this file has been autogenerated by calcPhotonSystConsts.cpp

photonCatScales=HighR9EB_13TeVscale,HighR9EE_13TeVscale,LowR9EB_13TeVscale,LowR9EE_13TeVscale,Gain6EB_13TeVscale,Gain1EB_13TeVscale
photonCatScalesCorr=MaterialForward_scale
photonCatSmears=HighR9EBPhi_13TeVsmear,HighR9EBRho_13TeVsmear,HighR9EEPhi_13TeVsmear,HighR9EERho_13TeVsmear,LowR9EBPhi_13TeVsmear,LowR9EBRho_13TeVsmear,LowR9EEPhi_13TeVsmear,LowR9EERho_13TeVsmear
globalScales=NonLinearity_13TeVscale,Geant4_13TeVscale,LightYield_13TeVscale,Absolute_13TeVscale

# photonCat                   mean_change    sigma_change    rate_change
diphotonCat=0
proc=InsideAcceptance_genCosThetaStar_0p0_0p1
HighR9EB_13TeVscale           0     0     0    
HighR9EE_13TeVscale           0     0     0    
LowR9EB_13TeVscale            0     0     0    
LowR9EE_13TeVscale            0     0     0    
Gain6EB_13TeVscale            0     0     0    
Gain1EB_13TeVscale            0     0     0    
HighR9EBPhi_13TeVsmear        0     0     0    
HighR9EBRho_13TeVsmear        0     0     0    
HighR9EEPhi_13TeVsmear        0     0     0    
HighR9EERho_13TeVsmear        0     0     0    
LowR9EBPhi_13TeVsmear         0     0     0    
LowR9EBRho_13TeVsmear         0     0     0    
LowR9EEPhi_13TeVsmear         0     0     0    
LowR9EERho_13TeVsmear         0     0     0    
MaterialForward_scale         0     0     0    

diphotonCat=0
proc=InsideAcceptance_genCosThetaStar_0p55_1p0
HighR9EB_13TeVscale           0.0003479     0.001171     0.0003638    
HighR9EE_13TeVscale           0.0002967     0.0009243     0.0001061    
LowR9EB_13TeVscale            0.0006283     0.002106     0.000395    
LowR9EE_13TeVscale            7.872e-05     0.0009579     5.66e-05    
Gain6EB_13TeVscale            2.967e-06     4.077e-05     2.843e-05    
Gain1EB_13TeVscale            4.14e-06     0.0001951     7.618e-06    
HighR9EBPhi_13TeVsmear        2.236e-05     0.002814     0.0002825    
HighR9EBRho_13TeVsmear        9.284e-06     0.002884     0.0001187    
HighR9EEPhi_13TeVsmear        2.569e-05     0.01386     0.0001403    
HighR9EERho_13TeVsmear        5.921e-06     0.006123     0.0001074    
LowR9EBPhi_13TeVsmear         8.951e-06     0.005564     0.0003851    
