# this file has been autogenerated by calcPhotonSystConsts.cpp

photonCatScales=HighR9EB_13TeVscale,HighR9EE_13TeVscale,LowR9EB_13TeVscale,LowR9EE_13TeVscale,Gain6EB_13TeVscale,Gain1EB_13TeVscale
photonCatScalesCorr=MaterialForward_scale
photonCatSmears=HighR9EBPhi_13TeVsmear,HighR9EBRho_13TeVsmear,HighR9EEPhi_13TeVsmear,HighR9EERho_13TeVsmear,LowR9EBPhi_13TeVsmear,LowR9EBRho_13TeVsmear,LowR9EEPhi_13TeVsmear,LowR9EERho_13TeVsmear
globalScales=NonLinearity_13TeVscale,Geant4_13TeVscale,LightYield_13TeVscale,Absolute_13TeVscale

# photonCat                   mean_change    sigma_change    rate_change
diphotonCat=0
proc=InsideAcceptance_genJet2p5AbsRapidity0_2p0_100p0
HighR9EB_13TeVscale           0.002016     0.1201     0.01224    
HighR9EE_13TeVscale           8.786e-10     8.339e-08     3.017e-08    
LowR9EB_13TeVscale            0.0002576     0.03484     0.007576    
LowR9EE_13TeVscale            8.786e-10     8.339e-08     3.017e-08    
Gain6EB_13TeVscale            0.0001134     0.003943     3.556e-08    
Gain1EB_13TeVscale            0.0001276     0.01777     6.034e-08    
HighR9EBPhi_13TeVsmear        0.0001202     0.02322     0.0002832    
HighR9EBRho_13TeVsmear        0.0002585     0.1094     0.003757    
HighR9EEPhi_13TeVsmear        8.786e-10     8.339e-08     3.017e-08    
HighR9EERho_13TeVsmear        8.786e-10     8.339e-08     3.017e-08    
LowR9EBPhi_13TeVsmear         0.0009135     0.06148     0.01626    
LowR9EBRho_13TeVsmear         8.105e-05     0.0293     4.095e-08    
LowR9EEPhi_13TeVsmear         8.786e-10     8.339e-08     3.017e-08    
LowR9EERho_13TeVsmear         8.786e-10     8.339e-08     3.017e-08    
MaterialForward_scale         8.786e-10     8.339e-08     3.017e-08    

diphotonCat=0
proc=InsideAcceptance_genJet2p5AbsRapidity0_0p5_1p2
HighR9EB_13TeVscale           0.000896     0.04573     0.001539    
HighR9EE_13TeVscale           3.824e-10     6.735e-08     1.285e-07    
LowR9EB_13TeVscale            0.0001627     0.02637     0.0007962    
LowR9EE_13TeVscale            3.824e-10     6.735e-08     1.285e-07    
Gain6EB_13TeVscale            0.0001285     0.007898     1.309e-07    
Gain1EB_13TeVscale            3.489e-05     0.008763     9.625e-08    
HighR9EBPhi_13TeVsmear        0.0002438     0.06959     0.009059    
HighR9EBRho_13TeVsmear        0.0001487     0.008401     0.0008976    
HighR9EEPhi_13TeVsmear        3.824e-10     6.735e-08     1.285e-07    
HighR9EERho_13TeVsmear        3.824e-10     6.735e-08     1.285e-07    
LowR9EBPhi_13TeVsmear         9.343e-05     0.002747     0.0008221    
LowR9EBRho_13TeVsmear         1.102e-05     0.01446     0.0003801    
LowR9EEPhi_13TeVsmear         3.824e-10     6.735e-08     1.285e-07    
LowR9EERho_13TeVsmear         3.824e-10     6.735e-08     1.285e-07    
MaterialForward_scale         3.824e-10     6.735e-08     1.285e-07    

diphotonCat=0
proc=InsideAcceptance_genJet2p5AbsRapidity0_0p0_0p5
HighR9EB_13TeVscale           0.001027     0.01188     0.0008636    
HighR9EE_13TeVscale           9.72e-10     7.784e-07     1.74e-06    
LowR9EB_13TeVscale            0.0001538     0.007774     0.001013    
LowR9EE_13TeVscale            9.72e-10     7.784e-07     1.74e-06    
Gain6EB_13TeVscale            2.455e-05     0.0009094     6.039e-05    
Gain1EB_13TeVscale            1.995e-05     0.001471     0.0001409    
HighR9EBPhi_13TeVsmear        0.0002134     0.09559     0.002493    
HighR9EBRho_13TeVsmear        1.914e-05     0.03904     0.0004172    
HighR9EEPhi_13TeVsmear        9.72e-10     7.784e-07     1.74e-06    
HighR9EERho_13TeVsmear        9.72e-10     7.784e-07     1.74e-06    
LowR9EBPhi_13TeVsmear         9.9e-06     0.01996     0.0003916    
LowR9EBRho_13TeVsmear         3.096e-06     0.002971     9.372e-05    
LowR9EEPhi_13TeVsmear         9.72e-10     7.784e-07     1.74e-06    
LowR9EERho_13TeVsmear         9.72e-10     7.784e-07     1.74e-06    
MaterialForward_scale         9.72e-10     7.784e-07     1.74e-06    

diphotonCat=0
proc=InsideAcceptance_genJet2p5AbsRapidity0_m1000p0_0p0
HighR9EB_13TeVscale           0.0009236     0.009146     0.00674    
HighR9EE_13TeVscale           1.896e-10     1.115e-07     7.038e-08    
LowR9EB_13TeVscale            9.508e-05     0.00677     4.91e-05    
LowR9EE_13TeVscale            1.896e-10     1.115e-07     7.038e-08    
Gain6EB_13TeVscale            8.201e-06     0.0002302     6.916e-08    
Gain1EB_13TeVscale            3.106e-06     0.0002367     7.038e-08    
HighR9EBPhi_13TeVsmear        0.0001204     0.01205     0.007128    
HighR9EBRho_13TeVsmear        0.0002109     0.04043     0.002113    
HighR9EEPhi_13TeVsmear        1.896e-10     1.115e-07     7.038e-08    
HighR9EERho_13TeVsmear        1.896e-10     1.115e-07     7.038e-08    
LowR9EBPhi_13TeVsmear         2.502e-05     0.003676     0.003112    
LowR9EBRho_13TeVsmear         1.43e-05     0.00669     0.003198    
LowR9EEPhi_13TeVsmear         1.896e-10     1.115e-07     7.038e-08    
LowR9EERho_13TeVsmear         1.896e-10     1.115e-07     7.038e-08    
MaterialForward_scale         1.896e-10     1.115e-07     7.038e-08    

diphotonCat=0
proc=InsideAcceptance_genJet2p5AbsRapidity0_1p2_2p0
HighR9EB_13TeVscale           0.001246     0.01304     0.007191    
HighR9EE_13TeVscale           4.563e-10     3.622e-07     4.288e-07    
LowR9EB_13TeVscale            0.0002563     0.02146     0.0009965    
LowR9EE_13TeVscale            4.563e-10     3.622e-07     4.288e-07    
Gain6EB_13TeVscale            9.412e-05     0.007744     0.0002297    
Gain1EB_13TeVscale            3.869e-05     0.00344     4.443e-07    
HighR9EBPhi_13TeVsmear        1.74e-06     0.1825     0.002235    
HighR9EBRho_13TeVsmear        0.0002593     0.0536     0.004965    
HighR9EEPhi_13TeVsmear        4.563e-10     3.622e-07     4.288e-07    
HighR9EERho_13TeVsmear        4.563e-10     3.622e-07     4.288e-07    
LowR9EBPhi_13TeVsmear         6.246e-05     0.05352     0.001219    
LowR9EBRho_13TeVsmear         0.0001482     0.01244     0.0006217    
LowR9EEPhi_13TeVsmear         4.563e-10     3.622e-07     4.288e-07    
LowR9EERho_13TeVsmear         4.563e-10     3.622e-07     4.288e-07    
MaterialForward_scale         4.563e-10     3.622e-07     4.288e-07    

diphotonCat=0
proc=OutsideAcceptance
HighR9EB_13TeVscale           0.001847     0.0639     0.04348    
HighR9EE_13TeVscale           8.48e-10     4.472e-08     1.735e-08    
LowR9EB_13TeVscale            9.451e-05     0.01237     0.00515    
LowR9EE_13TeVscale            8.48e-10     4.472e-08     1.735e-08    
Gain6EB_13TeVscale            4.985e-05     0.01658     2.018e-08    
Gain1EB_13TeVscale            5.487e-05     0.00221     8.852e-09    
HighR9EBPhi_13TeVsmear        0.0008165     0.03152     0.0186    
HighR9EBRho_13TeVsmear        0.000395     0.07972     0.04048    
HighR9EEPhi_13TeVsmear        8.48e-10     4.472e-08     1.735e-08    
HighR9EERho_13TeVsmear        8.48e-10     4.472e-08     1.735e-08    
LowR9EBPhi_13TeVsmear         0.0002807     0.03087     2.302e-08    
LowR9EBRho_13TeVsmear         3.704e-05     0.006493     1.452e-08    
LowR9EEPhi_13TeVsmear         8.48e-10     4.472e-08     1.735e-08    
