# this file has been autogenerated by calcPhotonSystConsts.cpp

photonCatScales=HighR9EB_13TeVscale,HighR9EE_13TeVscale,LowR9EB_13TeVscale,LowR9EE_13TeVscale,Gain6EB_13TeVscale,Gain1EB_13TeVscale
photonCatScalesCorr=MaterialForward_scale
photonCatSmears=HighR9EBPhi_13TeVsmear,HighR9EBRho_13TeVsmear,HighR9EEPhi_13TeVsmear,HighR9EERho_13TeVsmear,LowR9EBPhi_13TeVsmear,LowR9EBRho_13TeVsmear,LowR9EEPhi_13TeVsmear,LowR9EERho_13TeVsmear
globalScales=NonLinearity_13TeVscale,Geant4_13TeVscale,LightYield_13TeVscale,Absolute_13TeVscale

# photonCat                   mean_change    sigma_change    rate_change
diphotonCat=0
proc=InsideAcceptance_genJet2p5Pt0_m1000p0_30p0
HighR9EB_13TeVscale           0.0009694     0.02397     0.003699    
HighR9EE_13TeVscale           5.716e-10     1.12e-07     4.507e-08    
LowR9EB_13TeVscale            0.0001433     0.004501     0.0004525    
LowR9EE_13TeVscale            5.716e-10     1.12e-07     4.507e-08    
Gain6EB_13TeVscale            8.696e-06     0.000381     3.196e-08    
Gain1EB_13TeVscale            1.471e-06     0.0004058     4.507e-08    
HighR9EBPhi_13TeVsmear        0.0002112     0.05846     0.002918    
HighR9EBRho_13TeVsmear        0.0001114     0.03255     0.0009848    
HighR9EEPhi_13TeVsmear        5.716e-10     1.12e-07     4.507e-08    
HighR9EERho_13TeVsmear        5.716e-10     1.12e-07     4.507e-08    
LowR9EBPhi_13TeVsmear         5.222e-05     0.007604     0.001572    
LowR9EBRho_13TeVsmear         3.456e-05     0.005906     6.228e-08    
LowR9EEPhi_13TeVsmear         5.716e-10     1.12e-07     4.507e-08    
LowR9EERho_13TeVsmear         5.716e-10     1.12e-07     4.507e-08    
MaterialForward_scale         5.716e-10     1.12e-07     4.507e-08    

diphotonCat=0
proc=InsideAcceptance_genJet2p5Pt0_200p0_13000p0
HighR9EB_13TeVscale           0.001238     0.04274     2.05e-07    
HighR9EE_13TeVscale           7.852e-10     1.532e-07     2.085e-07    
LowR9EB_13TeVscale            0.0001031     0.08878     2.227e-07    
LowR9EE_13TeVscale            7.852e-10     1.532e-07     2.085e-07    
Gain6EB_13TeVscale            0.0003297     0.03952     1.911e-07    
Gain1EB_13TeVscale            0.0002701     0.01605     2.18e-07    
HighR9EBPhi_13TeVsmear        0.0005806     0.03705     2.834e-06    
HighR9EBRho_13TeVsmear        0.0004691     0.1026     2.308e-07    
HighR9EEPhi_13TeVsmear        7.852e-10     1.532e-07     2.085e-07    
HighR9EERho_13TeVsmear        7.852e-10     1.532e-07     2.085e-07    
LowR9EBPhi_13TeVsmear         0.0001263     0.03104     0.002759    
LowR9EBRho_13TeVsmear         0.0002903     0.038     2.164e-07    
LowR9EEPhi_13TeVsmear         7.852e-10     1.532e-07     2.085e-07    
LowR9EERho_13TeVsmear         7.852e-10     1.532e-07     2.085e-07    
MaterialForward_scale         7.852e-10     1.532e-07     2.085e-07    

diphotonCat=0
proc=InsideAcceptance_genJet2p5Pt0_30p0_45p0
HighR9EB_13TeVscale           0.001083     0.03593     0.002626    
HighR9EE_13TeVscale           1.469e-10     2.31e-07     5.274e-07    
LowR9EB_13TeVscale            0.0001067     0.005688     0.0008622    
LowR9EE_13TeVscale            1.469e-10     2.31e-07     5.274e-07    
Gain6EB_13TeVscale            2.764e-06     0.0003281     5.496e-07    
Gain1EB_13TeVscale            1.469e-10     2.31e-07     5.274e-07    
HighR9EBPhi_13TeVsmear        0.0002889     0.04807     0.004673    
HighR9EBRho_13TeVsmear        2.879e-05     0.03861     0.001063    
HighR9EEPhi_13TeVsmear        1.469e-10     2.31e-07     5.274e-07    
HighR9EERho_13TeVsmear        1.469e-10     2.31e-07     5.274e-07    
LowR9EBPhi_13TeVsmear         4.02e-05     0.01767     0.001053    
LowR9EBRho_13TeVsmear         2.43e-05     0.006057     0.0009847    
LowR9EEPhi_13TeVsmear         1.469e-10     2.31e-07     5.274e-07    
LowR9EERho_13TeVsmear         1.469e-10     2.31e-07     5.274e-07    
MaterialForward_scale         1.469e-10     2.31e-07     5.274e-07    

diphotonCat=0
proc=InsideAcceptance_genJet2p5Pt0_70p0_110p0
HighR9EB_13TeVscale           0.0007998     0.01698     0.009564    
HighR9EE_13TeVscale           2.298e-09     7.336e-08     9.332e-08    
LowR9EB_13TeVscale            9.397e-05     0.013     0.003998    
LowR9EE_13TeVscale            2.298e-09     7.336e-08     9.332e-08    
Gain6EB_13TeVscale            1.398e-06     0.0003564     1.267e-07    
Gain1EB_13TeVscale            2.298e-09     7.336e-08     9.332e-08    
HighR9EBPhi_13TeVsmear        4.162e-05     0.1845     0.002874    
HighR9EBRho_13TeVsmear        6.296e-05     0.03797     0.002559    
HighR9EEPhi_13TeVsmear        2.298e-09     7.336e-08     9.332e-08    
HighR9EERho_13TeVsmear        2.298e-09     7.336e-08     9.332e-08    
LowR9EBPhi_13TeVsmear         0.0002046     0.001054     0.0007203    
LowR9EBRho_13TeVsmear         1.601e-05     0.01145     0.0003571    
LowR9EEPhi_13TeVsmear         2.298e-09     7.336e-08     9.332e-08    
LowR9EERho_13TeVsmear         2.298e-09     7.336e-08     9.332e-08    
MaterialForward_scale         2.298e-09     7.336e-08     9.332e-08    

diphotonCat=0
proc=InsideAcceptance_genJet2p5Pt0_45p0_70p0
HighR9EB_13TeVscale           0.00107     0.009199     0.001498    
HighR9EE_13TeVscale           8.043e-09     1.009e-06     5.66e-07    
LowR9EB_13TeVscale            0.0001377     0.002364     0.0005891    
LowR9EE_13TeVscale            8.043e-09     1.009e-06     5.66e-07    
Gain6EB_13TeVscale            5.043e-07     3.189e-05     1.762e-05    
Gain1EB_13TeVscale            2.169e-07     1.009e-06     5.66e-07    
HighR9EBPhi_13TeVsmear        7.17e-05     0.06852     0.0001217    
HighR9EBRho_13TeVsmear        8.714e-05     0.03418     0.0005595    
HighR9EEPhi_13TeVsmear        8.043e-09     1.009e-06     5.66e-07    
HighR9EERho_13TeVsmear        8.043e-09     1.009e-06     5.66e-07    
LowR9EBPhi_13TeVsmear         6.109e-05     0.0184     0.0013    
LowR9EBRho_13TeVsmear         1.691e-05     0.004927     9.116e-05    
LowR9EEPhi_13TeVsmear         8.043e-09     1.009e-06     5.66e-07    
LowR9EERho_13TeVsmear         8.043e-09     1.009e-06     5.66e-07    
MaterialForward_scale         8.043e-09     1.009e-06     5.66e-07    

diphotonCat=0
proc=InsideAcceptance_genJet2p5Pt0_110p0_200p0
HighR9EB_13TeVscale           0.001619     0.148     0.01196    
HighR9EE_13TeVscale           3.79e-10     7.199e-08     1.373e-08    
LowR9EB_13TeVscale            9.258e-05     0.03129     0.002833    
LowR9EE_13TeVscale            3.79e-10     7.199e-08     1.373e-08    
Gain6EB_13TeVscale            0.0001009     0.01744     0.0003418    
Gain1EB_13TeVscale            3.803e-06     0.001113     1.373e-08    
HighR9EBPhi_13TeVsmear        0.0006214     0.1408     0.002878    
HighR9EBRho_13TeVsmear        0.0002121     0.1187     0.003543    
HighR9EEPhi_13TeVsmear        3.79e-10     7.199e-08     1.373e-08    
HighR9EERho_13TeVsmear        3.79e-10     7.199e-08     1.373e-08    
LowR9EBPhi_13TeVsmear         0.0002488     0.002135     0.0004955    
LowR9EBRho_13TeVsmear         7.552e-05     0.01359     0.0008353    
LowR9EEPhi_13TeVsmear         3.79e-10     7.199e-08     1.373e-08    
LowR9EERho_13TeVsmear         3.79e-10     7.199e-08     1.373e-08    
MaterialForward_scale         3.79e-10     7.199e-08     1.373e-08    

diphotonCat=0
proc=OutsideAcceptance
HighR9EB_13TeVscale           0.00134     0.03044     0.002249    
HighR9EE_13TeVscale           4.77e-10     1.564e-08     1.236e-07    
LowR9EB_13TeVscale            0.0005742     0.01373     0.02471    
LowR9EE_13TeVscale            4.77e-10     1.564e-08     1.236e-07    
Gain6EB_13TeVscale            4.091e-10     2.473e-08     1.021e-07    
Gain1EB_13TeVscale            4.77e-10     1.564e-08     1.236e-07    
HighR9EBPhi_13TeVsmear        0.001113     0.1793     0.05276    
HighR9EBRho_13TeVsmear        0.0002129     0.028     0.005541    
HighR9EEPhi_13TeVsmear        4.77e-10     1.564e-08     1.236e-07    
HighR9EERho_13TeVsmear        4.77e-10     1.564e-08     1.236e-07    
LowR9EBPhi_13TeVsmear         0.0005378     0.0005419     0.04575    
LowR9EBRho_13TeVsmear         0.000369     0.02563     7.523e-08    
LowR9EEPhi_13TeVsmear         4.77e-10     1.564e-08     1.236e-07    
LowR9EERho_13TeVsmear         4.77e-10     1.564e-08     1.236e-07    
MaterialForward_scale         4.77e-10     1.564e-08     1.236e-07    


diphotonCat=1
proc=InsideAcceptance_genJet2p5Pt0_m1000p0_30p0
HighR9EB_13TeVscale           0.0009058     0.01571     0.003981    
HighR9EE_13TeVscale           1.16e-09     8.197e-08     2.905e-07    
LowR9EB_13TeVscale            0.0006894     0.01881     0.003341    
