# this file has been autogenerated by calcPhotonSystConsts.cpp

photonCatScales=HighR9EB_13TeVscale,HighR9EE_13TeVscale,LowR9EB_13TeVscale,LowR9EE_13TeVscale,Gain6EB_13TeVscale,Gain1EB_13TeVscale
photonCatScalesCorr=MaterialForward_scale
photonCatSmears=HighR9EBPhi_13TeVsmear,HighR9EBRho_13TeVsmear,HighR9EEPhi_13TeVsmear,HighR9EERho_13TeVsmear,LowR9EBPhi_13TeVsmear,LowR9EBRho_13TeVsmear,LowR9EEPhi_13TeVsmear,LowR9EERho_13TeVsmear
globalScales=NonLinearity_13TeVscale,Geant4_13TeVscale,LightYield_13TeVscale,Absolute_13TeVscale

# photonCat                   mean_change    sigma_change    rate_change
diphotonCat=0
proc=InsideAcceptance_genJet4p7AbsRapidity1_2p5_100p0
HighR9EB_13TeVscale           0.0006215     0.03027     0.00696    
HighR9EE_13TeVscale           1.762e-05     0.0006644     0.0002264    
LowR9EB_13TeVscale            0.0005723     0.04879     0.00139    
LowR9EE_13TeVscale            1.762e-05     0.0006644     0.0002264    
Gain6EB_13TeVscale            0.0001179     0.001411     0.0002264    
Gain1EB_13TeVscale            7.874e-05     0.0006264     0.0002264    
HighR9EBPhi_13TeVsmear        0.0004959     0.07517     0.02216    
HighR9EBRho_13TeVsmear        0.0002904     0.03264     0.001566    
HighR9EEPhi_13TeVsmear        1.762e-05     0.0006644     0.0002264    
HighR9EERho_13TeVsmear        1.762e-05     0.0006644     0.0002264    
LowR9EBPhi_13TeVsmear         0.0004649     0.01909     0.01776    
LowR9EBRho_13TeVsmear         0.0001595     0.01388     0.0001319    
LowR9EEPhi_13TeVsmear         1.762e-05     0.0006644     0.0002264    
LowR9EERho_13TeVsmear         1.762e-05     0.0006644     0.0002264    
MaterialForward_scale         1.762e-05     0.0006644     0.0002264    

diphotonCat=0
proc=InsideAcceptance_genJet4p7AbsRapidity1_0p0_1p2
HighR9EB_13TeVscale           0.0007204     0.008203     0.0002996    
HighR9EE_13TeVscale           3.203e-09     2.554e-07     7.193e-07    
LowR9EB_13TeVscale            0.0007443     0.006163     0.005125    
LowR9EE_13TeVscale            3.203e-09     2.554e-07     7.193e-07    
Gain6EB_13TeVscale            2.385e-05     0.002685     0.0005077    
Gain1EB_13TeVscale            4.461e-05     0.004446     0.0005659    
HighR9EBPhi_13TeVsmear        9.684e-06     0.06148     0.001087    
HighR9EBRho_13TeVsmear        6.865e-06     0.03226     0.001465    
HighR9EEPhi_13TeVsmear        3.203e-09     2.554e-07     7.193e-07    
HighR9EERho_13TeVsmear        3.203e-09     2.554e-07     7.193e-07    
LowR9EBPhi_13TeVsmear         6.02e-06     0.04664     0.001767    
LowR9EBRho_13TeVsmear         2.321e-05     0.01176     0.001264    
LowR9EEPhi_13TeVsmear         3.203e-09     2.554e-07     7.193e-07    
LowR9EERho_13TeVsmear         3.203e-09     2.554e-07     7.193e-07    
MaterialForward_scale         3.203e-09     2.554e-07     7.193e-07    

diphotonCat=0
proc=InsideAcceptance_genJet4p7AbsRapidity1_m1000p0_0p0
HighR9EB_13TeVscale           0.0006371     0.01414     0.001751    
HighR9EE_13TeVscale           1.204e-09     9.383e-08     9.438e-08    
LowR9EB_13TeVscale            0.0006169     0.01636     0.006309    
LowR9EE_13TeVscale            1.204e-09     9.383e-08     9.438e-08    
Gain6EB_13TeVscale            1.509e-05     0.001203     1.149e-07    
Gain1EB_13TeVscale            1.021e-05     0.003223     0.002755    
HighR9EBPhi_13TeVsmear        6.932e-05     0.08977     0.003124    
HighR9EBRho_13TeVsmear        4.042e-05     0.02342     0.002015    
HighR9EEPhi_13TeVsmear        1.204e-09     9.383e-08     9.438e-08    
HighR9EERho_13TeVsmear        1.204e-09     9.383e-08     9.438e-08    
LowR9EBPhi_13TeVsmear         0.0001192     0.042     0.004216    
LowR9EBRho_13TeVsmear         6.994e-05     0.009248     0.001437    
LowR9EEPhi_13TeVsmear         1.204e-09     9.383e-08     9.438e-08    
LowR9EERho_13TeVsmear         1.204e-09     9.383e-08     9.438e-08    
MaterialForward_scale         1.204e-09     9.383e-08     9.438e-08    

diphotonCat=0
proc=InsideAcceptance_genJet4p7AbsRapidity1_1p2_2p5
