# this file has been autogenerated by calcPhotonSystConsts.cpp

photonCatScales=HighR9EB_13TeVscale,HighR9EE_13TeVscale,LowR9EB_13TeVscale,LowR9EE_13TeVscale,Gain6EB_13TeVscale,Gain1EB_13TeVscale
photonCatScalesCorr=MaterialForward_scale
photonCatSmears=HighR9EBPhi_13TeVsmear,HighR9EBRho_13TeVsmear,HighR9EEPhi_13TeVsmear,HighR9EERho_13TeVsmear,LowR9EBPhi_13TeVsmear,LowR9EBRho_13TeVsmear,LowR9EEPhi_13TeVsmear,LowR9EERho_13TeVsmear
globalScales=NonLinearity_13TeVscale,Geant4_13TeVscale,LightYield_13TeVscale,Absolute_13TeVscale

# photonCat                   mean_change    sigma_change    rate_change
diphotonCat=0
proc=InsideAcceptance_genJet4p7Pt1VBFlike_m1000p0_0p0
HighR9EB_13TeVscale           0.0008563     0.02237     0.01384    
HighR9EE_13TeVscale           3.578e-10     3.762e-08     6.699e-08    
LowR9EB_13TeVscale            0.0005029     0.0484     0.006045    
LowR9EE_13TeVscale            3.578e-10     3.762e-08     6.699e-08    
Gain6EB_13TeVscale            4.404e-05     0.003229     0.0008754    
Gain1EB_13TeVscale            4.661e-05     0.002857     5.5e-08    
HighR9EBPhi_13TeVsmear        4.496e-05     0.02137     0.0148    
HighR9EBRho_13TeVsmear        0.0009219     0.02578     0.01577    
HighR9EEPhi_13TeVsmear        3.578e-10     3.762e-08     6.699e-08    
HighR9EERho_13TeVsmear        3.578e-10     3.762e-08     6.699e-08    
LowR9EBPhi_13TeVsmear         0.0002708     0.01628     0.004397    
LowR9EBRho_13TeVsmear         0.0001685     0.03307     0.0015    
LowR9EEPhi_13TeVsmear         3.578e-10     3.762e-08     6.699e-08    
LowR9EERho_13TeVsmear         3.578e-10     3.762e-08     6.699e-08    
MaterialForward_scale         3.578e-10     3.762e-08     6.699e-08    

diphotonCat=0
proc=InsideAcceptance_genJet4p7Pt1VBFlike_0p0_45p0
HighR9EB_13TeVscale           0.000966     0.07226     0.004051    
HighR9EE_13TeVscale           8.318e-11     7.53e-08     1.385e-07    
LowR9EB_13TeVscale            0.0006756     0.0078     0.008516    
LowR9EE_13TeVscale            8.318e-11     7.53e-08     1.385e-07    
Gain6EB_13TeVscale            3.744e-05     0.0003674     0.0003877    
Gain1EB_13TeVscale            3.36e-05     0.006185     1.485e-07    
HighR9EBPhi_13TeVsmear        0.0005211     0.03354     0.01427    
HighR9EBRho_13TeVsmear        0.0002545     0.04162     0.006988    
HighR9EEPhi_13TeVsmear        8.318e-11     7.53e-08     1.385e-07    
HighR9EERho_13TeVsmear        8.318e-11     7.53e-08     1.385e-07    
LowR9EBPhi_13TeVsmear         0.0003517     0.1006     0.01542    
LowR9EBRho_13TeVsmear         0.0003764     0.03437     0.002333    
LowR9EEPhi_13TeVsmear         8.318e-11     7.53e-08     1.385e-07    
LowR9EERho_13TeVsmear         8.318e-11     7.53e-08     1.385e-07    
MaterialForward_scale         8.318e-11     7.53e-08     1.385e-07    

diphotonCat=0
proc=InsideAcceptance_genJet4p7Pt1VBFlike_90p0_13000p0
HighR9EB_13TeVscale           0.0001736     0.2184     0.009826    
HighR9EE_13TeVscale           2.203e-11     9.158e-08     1.201e-07    
LowR9EB_13TeVscale            0.0006955     0.1709     0.02488    
LowR9EE_13TeVscale            2.203e-11     9.158e-08     1.201e-07    
Gain6EB_13TeVscale            0.0002151     0.01898     0.009894    
Gain1EB_13TeVscale            9.722e-06     0.004803     1.072e-07    
HighR9EBPhi_13TeVsmear        0.001297     0.3647     0.02768    
HighR9EBRho_13TeVsmear        0.0005627     0.1256     0.006489    
HighR9EEPhi_13TeVsmear        2.203e-11     9.158e-08     1.201e-07    
HighR9EERho_13TeVsmear        2.203e-11     9.158e-08     1.201e-07    
