# this file has been autogenerated by calcPhotonSystConsts.cpp

photonCatScales=HighR9EB_13TeVscale,HighR9EE_13TeVscale,LowR9EB_13TeVscale,LowR9EE_13TeVscale,Gain6EB_13TeVscale,Gain1EB_13TeVscale
photonCatScalesCorr=MaterialForward_scale
photonCatSmears=HighR9EBPhi_13TeVsmear,HighR9EBRho_13TeVsmear,HighR9EEPhi_13TeVsmear,HighR9EERho_13TeVsmear,LowR9EBPhi_13TeVsmear,LowR9EBRho_13TeVsmear,LowR9EEPhi_13TeVsmear,LowR9EERho_13TeVsmear
globalScales=NonLinearity_13TeVscale,Geant4_13TeVscale,LightYield_13TeVscale,Absolute_13TeVscale

# photonCat                   mean_change    sigma_change    rate_change
diphotonCat=0
proc=InsideAcceptance_genJet4p7Pt1_m1000p0_0p0
HighR9EB_13TeVscale           0.0007191     0.0005456     0.0002166    
HighR9EE_13TeVscale           8.224e-07     0.0001669     6.829e-05    
LowR9EB_13TeVscale            0.0005805     0.005387     0.001008    
LowR9EE_13TeVscale            8.224e-07     0.0001669     6.829e-05    
Gain6EB_13TeVscale            1.411e-06     0.0001719     5.454e-05    
Gain1EB_13TeVscale            1.399e-06     0.0002118     5.447e-05    
HighR9EBPhi_13TeVsmear        4.341e-06     0.03057     0.0007529    
HighR9EBRho_13TeVsmear        4.941e-06     0.02385     0.000465    
HighR9EEPhi_13TeVsmear        8.224e-07     0.0001669     6.829e-05    
HighR9EERho_13TeVsmear        8.224e-07     0.0001669     6.829e-05    
LowR9EBPhi_13TeVsmear         2.578e-07     0.02114     0.0006229    
LowR9EBRho_13TeVsmear         4.685e-06     0.01516     0.0002709    
LowR9EEPhi_13TeVsmear         8.224e-07     0.0001669     6.829e-05    
LowR9EERho_13TeVsmear         8.224e-07     0.0001669     6.829e-05    
MaterialForward_scale         8.224e-07     0.0001669     6.829e-05    

diphotonCat=0
proc=InsideAcceptance_genJet4p7Pt1_45p0_90p0
HighR9EB_13TeVscale           0.0006283     0.01243     0.001365    
HighR9EE_13TeVscale           7.726e-10     1.257e-07     1.415e-07    
LowR9EB_13TeVscale            0.0008003     0.03907     0.001437    
LowR9EE_13TeVscale            7.726e-10     1.257e-07     1.415e-07    
Gain6EB_13TeVscale            2.54e-05     0.002941     0.0004613    
Gain1EB_13TeVscale            1.392e-05     0.00231     0.003448    
HighR9EBPhi_13TeVsmear        0.000173     0.03413     0.002414    
HighR9EBRho_13TeVsmear        5.079e-05     0.01903     0.00115    
HighR9EEPhi_13TeVsmear        7.726e-10     1.257e-07     1.415e-07    
HighR9EERho_13TeVsmear        7.726e-10     1.257e-07     1.415e-07    
LowR9EBPhi_13TeVsmear         0.0001234     0.1026     0.01232    
LowR9EBRho_13TeVsmear         7.379e-05     0.02087     0.004279    
LowR9EEPhi_13TeVsmear         7.726e-10     1.257e-07     1.415e-07    
LowR9EERho_13TeVsmear         7.726e-10     1.257e-07     1.415e-07    
MaterialForward_scale         7.726e-10     1.257e-07     1.415e-07    

diphotonCat=0
proc=InsideAcceptance_genJet4p7Pt1_90p0_13000p0
HighR9EB_13TeVscale           0.000478     0.05227     0.005933    
HighR9EE_13TeVscale           3.596e-10     5.513e-08     1.623e-07    
LowR9EB_13TeVscale            0.0008058     0.02898     0.009229    
LowR9EE_13TeVscale            3.596e-10     5.513e-08     1.623e-07    
Gain6EB_13TeVscale            9.954e-05     0.01319     1.306e-07    
Gain1EB_13TeVscale            7.47e-05     0.01397     1.437e-07    
HighR9EBPhi_13TeVsmear        0.0004376     0.005239     0.02285    
HighR9EBRho_13TeVsmear        0.0002441     0.03618     0.001246    
HighR9EEPhi_13TeVsmear        3.596e-10     5.513e-08     1.623e-07    
HighR9EERho_13TeVsmear        3.596e-10     5.513e-08     1.623e-07    
LowR9EBPhi_13TeVsmear         0.0005689     0.05457     0.004872    
LowR9EBRho_13TeVsmear         0.0002219     0.03327     0.003201    
LowR9EEPhi_13TeVsmear         3.596e-10     5.513e-08     1.623e-07    
LowR9EERho_13TeVsmear         3.596e-10     5.513e-08     1.623e-07    
MaterialForward_scale         3.596e-10     5.513e-08     1.623e-07    

diphotonCat=0
proc=InsideAcceptance_genJet4p7Pt1_0p0_45p0
HighR9EB_13TeVscale           0.000676     0.02033     0.0009406    
HighR9EE_13TeVscale           2.098e-09     4.555e-07     2.598e-07    
LowR9EB_13TeVscale            0.0006002     0.00379     0.003679    
LowR9EE_13TeVscale            2.098e-09     4.555e-07     2.598e-07    
Gain6EB_13TeVscale            2.714e-05     0.002103     1.21e-06    
Gain1EB_13TeVscale            2.236e-05     0.00216     2.861e-07    
HighR9EBPhi_13TeVsmear        0.0003983     0.09164     0.008797    
HighR9EBRho_13TeVsmear        2.038e-05     0.03425     0.001663    
HighR9EEPhi_13TeVsmear        2.098e-09     4.555e-07     2.598e-07    
HighR9EERho_13TeVsmear        2.098e-09     4.555e-07     2.598e-07    
LowR9EBPhi_13TeVsmear         8.653e-05     0.02015     0.001117    
LowR9EBRho_13TeVsmear         2.34e-05     0.01848     0.0009035    
LowR9EEPhi_13TeVsmear         2.098e-09     4.555e-07     2.598e-07    
LowR9EERho_13TeVsmear         2.098e-09     4.555e-07     2.598e-07    
MaterialForward_scale         2.098e-09     4.555e-07     2.598e-07    

diphotonCat=0
proc=OutsideAcceptance
HighR9EB_13TeVscale           0.0005636     0.02025     0.006603    
HighR9EE_13TeVscale           1.923e-09     3.117e-07     2.541e-07    
LowR9EB_13TeVscale            0.001002     0.03017     0.01264    
LowR9EE_13TeVscale            1.923e-09     3.117e-07     2.541e-07    
Gain6EB_13TeVscale            4.15e-05     0.01422     2.542e-07    
Gain1EB_13TeVscale            3.818e-06     0.000464     0.0003874    
HighR9EBPhi_13TeVsmear        0.0003534     0.005828     0.04231    
HighR9EBRho_13TeVsmear        0.0002088     0.03889     0.0108    
HighR9EEPhi_13TeVsmear        1.923e-09     3.117e-07     2.541e-07    
HighR9EERho_13TeVsmear        1.923e-09     3.117e-07     2.541e-07    
LowR9EBPhi_13TeVsmear         0.0004482     0.03638     0.01883    
LowR9EBRho_13TeVsmear         0.0002109     0.02865     0.001157    
LowR9EEPhi_13TeVsmear         1.923e-09     3.117e-07     2.541e-07    
LowR9EERho_13TeVsmear         1.923e-09     3.117e-07     2.541e-07    
MaterialForward_scale         1.923e-09     3.117e-07     2.541e-07    


diphotonCat=1
proc=InsideAcceptance_genJet4p7Pt1_m1000p0_0p0
HighR9EB_13TeVscale           0.001047     0.01641     0.0006347    
HighR9EE_13TeVscale           2.037e-06     0.0001315     9.719e-05    
LowR9EB_13TeVscale            0.00012     0.001999     0.000594    
LowR9EE_13TeVscale            2.037e-06     0.0001315     9.719e-05    
Gain6EB_13TeVscale            3.525e-06     6.075e-05     9.717e-05    
Gain1EB_13TeVscale            1.762e-06     8.738e-05     0.0001141    
HighR9EBPhi_13TeVsmear        1.86e-05     0.04811     0.000383    
HighR9EBRho_13TeVsmear        2.699e-05     0.02546     0.0003572    
HighR9EEPhi_13TeVsmear        2.037e-06     0.0001315     9.719e-05    
HighR9EERho_13TeVsmear        2.037e-06     0.0001315     9.719e-05    
LowR9EBPhi_13TeVsmear         1.062e-05     0.003982     8.382e-05    
LowR9EBRho_13TeVsmear         1.423e-05     0.002695     0.0001261    
LowR9EEPhi_13TeVsmear         2.037e-06     0.0001315     9.719e-05    
LowR9EERho_13TeVsmear         2.037e-06     0.0001315     9.719e-05    
MaterialForward_scale         2.037e-06     0.0001315     9.719e-05    

diphotonCat=1
proc=InsideAcceptance_genJet4p7Pt1_45p0_90p0
HighR9EB_13TeVscale           0.0008982     0.007087     0.003692    
HighR9EE_13TeVscale           1.11e-09     1.646e-07     5.234e-08    
LowR9EB_13TeVscale            0.000242     0.005628     0.006128    
LowR9EE_13TeVscale            1.11e-09     1.646e-07     5.234e-08    
Gain6EB_13TeVscale            3.59e-05     0.008562     3.296e-08    
Gain1EB_13TeVscale            6.418e-05     0.003371     0.005283    
HighR9EBPhi_13TeVsmear        0.0004552     0.1083     0.003246    
HighR9EBRho_13TeVsmear        0.0001825     0.01797     0.001751    
HighR9EEPhi_13TeVsmear        1.11e-09     1.646e-07     5.234e-08    
HighR9EERho_13TeVsmear        1.11e-09     1.646e-07     5.234e-08    
LowR9EBPhi_13TeVsmear         0.0002551     0.02953     0.008972    
LowR9EBRho_13TeVsmear         0.0001129     0.01601     0.002315    
LowR9EEPhi_13TeVsmear         1.11e-09     1.646e-07     5.234e-08    
LowR9EERho_13TeVsmear         1.11e-09     1.646e-07     5.234e-08    
MaterialForward_scale         1.11e-09     1.646e-07     5.234e-08    

diphotonCat=1
proc=InsideAcceptance_genJet4p7Pt1_90p0_13000p0
HighR9EB_13TeVscale           0.0007399     0.04766     0.002983    
HighR9EE_13TeVscale           4.429e-10     1.55e-08     9.266e-08    
LowR9EB_13TeVscale            0.0002692     0.0246     0.00574    
LowR9EE_13TeVscale            4.429e-10     1.55e-08     9.266e-08    
Gain6EB_13TeVscale            0.0001338     0.02632     1.216e-07    
Gain1EB_13TeVscale            0.0001085     0.008358     1.266e-07    
HighR9EBPhi_13TeVsmear        0.0006293     0.1434     0.02816    
HighR9EBRho_13TeVsmear        0.0002528     0.002625     0.002408    
HighR9EEPhi_13TeVsmear        4.429e-10     1.55e-08     9.266e-08    
HighR9EERho_13TeVsmear        4.429e-10     1.55e-08     9.266e-08    
LowR9EBPhi_13TeVsmear         0.0001186     0.03018     0.004471    
LowR9EBRho_13TeVsmear         0.0002453     0.02444     0.002109    
LowR9EEPhi_13TeVsmear         4.429e-10     1.55e-08     9.266e-08    
LowR9EERho_13TeVsmear         4.429e-10     1.55e-08     9.266e-08    
MaterialForward_scale         4.429e-10     1.55e-08     9.266e-08    

diphotonCat=1
proc=InsideAcceptance_genJet4p7Pt1_0p0_45p0
HighR9EB_13TeVscale           0.0012     0.04091     0.0008704    
HighR9EE_13TeVscale           1.07e-09     0.0001896     3.627e-08    
LowR9EB_13TeVscale            0.0001744     0.0146     0.00252    
LowR9EE_13TeVscale            1.07e-09     0.0001896     3.627e-08    
Gain6EB_13TeVscale            1.796e-05     0.002483     4.792e-08    
Gain1EB_13TeVscale            1.145e-05     0.003637     4.092e-08    
HighR9EBPhi_13TeVsmear        7.93e-05     0.09315     0.003846    
HighR9EBRho_13TeVsmear        6.072e-05     0.03768     0.002481    
HighR9EEPhi_13TeVsmear        1.07e-09     0.0001896     3.627e-08    
HighR9EERho_13TeVsmear        1.07e-09     0.0001896     3.627e-08    
LowR9EBPhi_13TeVsmear         2.424e-05     0.03207     0.001645    
LowR9EBRho_13TeVsmear         1.856e-05     0.008109     0.000519    
LowR9EEPhi_13TeVsmear         1.07e-09     0.0001896     3.627e-08    
LowR9EERho_13TeVsmear         1.07e-09     0.0001896     3.627e-08    
MaterialForward_scale         1.07e-09     0.0001896     3.627e-08    

diphotonCat=1
proc=OutsideAcceptance
HighR9EB_13TeVscale           0.001032     0.1056     0.009512    
HighR9EE_13TeVscale           3.997e-10     1.333e-07     1.233e-07    
LowR9EB_13TeVscale            0.0004902     0.01782     0.0206    
LowR9EE_13TeVscale            3.997e-10     1.333e-07     1.233e-07    
Gain6EB_13TeVscale            1.412e-05     0.0004522     0.001065    
Gain1EB_13TeVscale            3.997e-10     1.333e-07     1.233e-07    
HighR9EBPhi_13TeVsmear        7.97e-05     0.04828     0.004305    
HighR9EBRho_13TeVsmear        0.0002891     0.0392     0.02422    
HighR9EEPhi_13TeVsmear        3.997e-10     1.333e-07     1.233e-07    
HighR9EERho_13TeVsmear        3.997e-10     1.333e-07     1.233e-07    
LowR9EBPhi_13TeVsmear         0.0001613     0.01521     0.01905    
LowR9EBRho_13TeVsmear         8.922e-05     0.01997     1.402e-07    
LowR9EEPhi_13TeVsmear         3.997e-10     1.333e-07     1.233e-07    
LowR9EERho_13TeVsmear         3.997e-10     1.333e-07     1.233e-07    
MaterialForward_scale         3.997e-10     1.333e-07     1.233e-07    


diphotonCat=2
proc=InsideAcceptance_genJet4p7Pt1_m1000p0_0p0
HighR9EB_13TeVscale           0.0002983     0.002832     0.0002983    
HighR9EE_13TeVscale           0.0003437     0.002139     0.0001138    
LowR9EB_13TeVscale            0.000979     0.007568     0.001027    
LowR9EE_13TeVscale            8.805e-05     0.001515     6.366e-05    
Gain6EB_13TeVscale            1.651e-06     0.0001076     1.328e-05    
Gain1EB_13TeVscale            4.172e-07     6.243e-05     2.34e-05    
HighR9EBPhi_13TeVsmear        4.164e-06     0.005615     0.000128    
