# this file has been autogenerated by calcPhotonSystConsts.cpp

photonCatScales=HighR9EB_13TeVscale,HighR9EE_13TeVscale,LowR9EB_13TeVscale,LowR9EE_13TeVscale,Gain6EB_13TeVscale,Gain1EB_13TeVscale
photonCatScalesCorr=MaterialForward_scale
photonCatSmears=HighR9EBPhi_13TeVsmear,HighR9EBRho_13TeVsmear,HighR9EEPhi_13TeVsmear,HighR9EERho_13TeVsmear,LowR9EBPhi_13TeVsmear,LowR9EBRho_13TeVsmear,LowR9EEPhi_13TeVsmear,LowR9EERho_13TeVsmear
globalScales=NonLinearity_13TeVscale,Geant4_13TeVscale,LightYield_13TeVscale,Absolute_13TeVscale

# photonCat                   mean_change    sigma_change    rate_change
diphotonCat=0
proc=InsideAcceptance_genMjjEta2p5_m1000p0_0p0
HighR9EB_13TeVscale           0.00105     0.01671     0.000828    
HighR9EE_13TeVscale           1.859e-06     0.0001257     9.007e-05    
LowR9EB_13TeVscale            0.0001221     0.002251     0.0007017    
LowR9EE_13TeVscale            1.859e-06     0.0001257     9.007e-05    
Gain6EB_13TeVscale            2.788e-06     0.000124     0.0001126    
Gain1EB_13TeVscale            1.428e-06     9.106e-05     5.112e-05    
HighR9EBPhi_13TeVsmear        1.388e-05     0.05032     0.0003783    
HighR9EBRho_13TeVsmear        2.207e-05     0.02604     0.0003745    
HighR9EEPhi_13TeVsmear        1.859e-06     0.0001257     9.007e-05    
HighR9EERho_13TeVsmear        1.859e-06     0.0001257     9.007e-05    
LowR9EBPhi_13TeVsmear         1.044e-06     0.005423     0.0001033    
LowR9EBRho_13TeVsmear         1.047e-05     0.002858     7.943e-05    
LowR9EEPhi_13TeVsmear         1.859e-06     0.0001257     9.007e-05    
LowR9EERho_13TeVsmear         1.859e-06     0.0001257     9.007e-05    
MaterialForward_scale         1.859e-06     0.0001257     9.007e-05    

diphotonCat=0
proc=InsideAcceptance_genMjjEta2p5_0p0_120p0
HighR9EB_13TeVscale           0.001371     0.03867     0.007289    
HighR9EE_13TeVscale           2.248e-09     2.697e-08     5.663e-08    
LowR9EB_13TeVscale            0.0001389     0.008353     0.005051    
LowR9EE_13TeVscale            2.248e-09     2.697e-08     5.663e-08    
Gain6EB_13TeVscale            7.492e-06     0.002484     6.502e-08    
Gain1EB_13TeVscale            2.001e-06     0.0007617     5.243e-08    
HighR9EBPhi_13TeVsmear        0.000163     0.07513     0.01357    
HighR9EBRho_13TeVsmear        5.233e-05     0.02599     0.003113    
HighR9EEPhi_13TeVsmear        2.248e-09     2.697e-08     5.663e-08    
HighR9EERho_13TeVsmear        2.248e-09     2.697e-08     5.663e-08    
LowR9EBPhi_13TeVsmear         1.67e-06     0.02485     0.0003191    
LowR9EBRho_13TeVsmear         7.308e-05     0.01846     0.0001596    
LowR9EEPhi_13TeVsmear         2.248e-09     2.697e-08     5.663e-08    
LowR9EERho_13TeVsmear         2.248e-09     2.697e-08     5.663e-08    
MaterialForward_scale         2.248e-09     2.697e-08     5.663e-08    

diphotonCat=0
proc=InsideAcceptance_genMjjEta2p5_120p0_450p0
HighR9EB_13TeVscale           0.0007561     0.0543     0.004006    
HighR9EE_13TeVscale           2.525e-09     4.689e-07     3.829e-07    
LowR9EB_13TeVscale            3.659e-05     0.03644     0.0006209    
LowR9EE_13TeVscale            2.525e-09     4.689e-07     3.829e-07    
Gain6EB_13TeVscale            0.0001239     0.01482     4.002e-07    
Gain1EB_13TeVscale            4.966e-05     0.01035     4.076e-07    
HighR9EBPhi_13TeVsmear        0.0005962     0.06615     0.006051    
HighR9EBRho_13TeVsmear        0.0003232     0.03149     0.003288    
HighR9EEPhi_13TeVsmear        2.525e-09     4.689e-07     3.829e-07    
HighR9EERho_13TeVsmear        2.525e-09     4.689e-07     3.829e-07    
LowR9EBPhi_13TeVsmear         4.751e-05     0.04676     0.0004801    
LowR9EBRho_13TeVsmear         7.756e-05     0.009557     0.0002402    
LowR9EEPhi_13TeVsmear         2.525e-09     4.689e-07     3.829e-07    
LowR9EERho_13TeVsmear         2.525e-09     4.689e-07     3.829e-07    
MaterialForward_scale         2.525e-09     4.689e-07     3.829e-07    

diphotonCat=0
proc=InsideAcceptance_genMjjEta2p5_450p0_1000p0
HighR9EB_13TeVscale           0.00136     0.111     0.001639    
HighR9EE_13TeVscale           1.237e-09     6.713e-08     1.085e-07    
LowR9EB_13TeVscale            0.0004001     0.1022     0.002111    
LowR9EE_13TeVscale            1.237e-09     6.713e-08     1.085e-07    
Gain6EB_13TeVscale            5.347e-05     0.001593     1.085e-07    
Gain1EB_13TeVscale            0.0003771     0.03897     1.172e-07    
HighR9EBPhi_13TeVsmear        0.002336     0.1925     0.01141    
HighR9EBRho_13TeVsmear        0.0006801     0.1003     0.002583    
HighR9EEPhi_13TeVsmear        1.237e-09     6.713e-08     1.085e-07    
HighR9EERho_13TeVsmear        1.237e-09     6.713e-08     1.085e-07    
LowR9EBPhi_13TeVsmear         0.0001002     0.1343     0.004172    
LowR9EBRho_13TeVsmear         5.296e-05     0.08998     0.002111    
LowR9EEPhi_13TeVsmear         1.237e-09     6.713e-08     1.085e-07    
LowR9EERho_13TeVsmear         1.237e-09     6.713e-08     1.085e-07    
MaterialForward_scale         1.237e-09     6.713e-08     1.085e-07    

diphotonCat=0
proc=InsideAcceptance_genMjjEta2p5_1000p0_13000p0
HighR9EB_13TeVscale           0.01954     0     0.09524    
HighR9EE_13TeVscale           4.001e-09     0     4.241e-07    
LowR9EB_13TeVscale            0.008699     0     0.2108    
LowR9EE_13TeVscale            4.001e-09     0     4.241e-07    
Gain6EB_13TeVscale            0.005562     0     3.408e-07    
Gain1EB_13TeVscale            2.813e-09     0     2.423e-07    
HighR9EBPhi_13TeVsmear        0.01909     0     1.969e-07    
HighR9EBRho_13TeVsmear        0.005819     0     4.393e-07    
HighR9EEPhi_13TeVsmear        4.001e-09     0     4.241e-07    
HighR9EERho_13TeVsmear        4.001e-09     0     4.241e-07    
LowR9EBPhi_13TeVsmear         0.003453     0     4.241e-07    
LowR9EBRho_13TeVsmear         4.001e-09     0     4.241e-07    
LowR9EEPhi_13TeVsmear         4.001e-09     0     4.241e-07    
LowR9EERho_13TeVsmear         4.001e-09     0     4.241e-07    
MaterialForward_scale         4.001e-09     0     4.241e-07    

diphotonCat=0
proc=OutsideAcceptance
HighR9EB_13TeVscale           0.001004     0.09839     0.01486    
HighR9EE_13TeVscale           3.74e-11     4.845e-08     1.004e-07    
LowR9EB_13TeVscale            0.0004242     0.007474     0.02258    
LowR9EE_13TeVscale            3.74e-11     4.845e-08     1.004e-07    
Gain6EB_13TeVscale            1.248e-05     4.845e-08     1.004e-07    
