# this file has been autogenerated by calcPhotonSystConsts.cpp

photonCatScales=HighR9EB_13TeVscale,HighR9EE_13TeVscale,LowR9EB_13TeVscale,LowR9EE_13TeVscale,Gain6EB_13TeVscale,Gain1EB_13TeVscale
photonCatScalesCorr=MaterialForward_scale
photonCatSmears=HighR9EBPhi_13TeVsmear,HighR9EBRho_13TeVsmear,HighR9EEPhi_13TeVsmear,HighR9EERho_13TeVsmear,LowR9EBPhi_13TeVsmear,LowR9EBRho_13TeVsmear,LowR9EEPhi_13TeVsmear,LowR9EERho_13TeVsmear
globalScales=NonLinearity_13TeVscale,Geant4_13TeVscale,LightYield_13TeVscale,Absolute_13TeVscale

# photonCat                   mean_change    sigma_change    rate_change
diphotonCat=0
proc=InsideAcceptance_genMjjEta4p7_1000p0_13000p0
HighR9EB_13TeVscale           0.0001421     0.05361     0.005095    
HighR9EE_13TeVscale           0.0002749     0.01806     1.26e-08    
LowR9EB_13TeVscale            0.0009538     0.02651     0.003149    
LowR9EE_13TeVscale            0.0001321     0.0002121     0.00222    
Gain6EB_13TeVscale            4.396e-05     7.858e-09     1.169e-08    
Gain1EB_13TeVscale            1.099e-05     4.426e-09     5.113e-09    
HighR9EBPhi_13TeVsmear        1.958e-05     0.05565     0.01019    
HighR9EBRho_13TeVsmear        0.0001942     0.002237     2.155e-08    
HighR9EEPhi_13TeVsmear        0.0006033     0.03173     1.205e-08    
HighR9EERho_13TeVsmear        0.0001896     0.01221     7.669e-09    
LowR9EBPhi_13TeVsmear         0.0003857     0.09102     0.005403    
LowR9EBRho_13TeVsmear         0.0002562     0.03039     0.006925    
LowR9EEPhi_13TeVsmear         0.0003611     0.01588     0.004439    
LowR9EERho_13TeVsmear         0.0001857     0.01074     0.00222    
MaterialForward_scale         0.00126     0.01347     0.00222    

diphotonCat=0
proc=InsideAcceptance_genMjjEta4p7_m1000p0_0p0
HighR9EB_13TeVscale           0.0003079     0.001288     0.0004935    
HighR9EE_13TeVscale           0.0003432     0.004694     0.0001034    
LowR9EB_13TeVscale            0.0009548     0.01754     0.002029    
LowR9EE_13TeVscale            0.0001098     0.003189     0.0006221    
Gain6EB_13TeVscale            7.287e-06     0.0001968     4.589e-05    
Gain1EB_13TeVscale            5.589e-09     1.358e-07     2.771e-07    
HighR9EBPhi_13TeVsmear        0.0002267     0.001134     0.001287    
