# this file has been autogenerated by calcPhotonSystConsts.cpp

photonCatScales=HighR9EB_13TeVscale,HighR9EE_13TeVscale,LowR9EB_13TeVscale,LowR9EE_13TeVscale,Gain6EB_13TeVscale,Gain1EB_13TeVscale
photonCatScalesCorr=MaterialForward_scale
photonCatSmears=HighR9EBPhi_13TeVsmear,HighR9EBRho_13TeVsmear,HighR9EEPhi_13TeVsmear,HighR9EERho_13TeVsmear,LowR9EBPhi_13TeVsmear,LowR9EBRho_13TeVsmear,LowR9EEPhi_13TeVsmear,LowR9EERho_13TeVsmear
globalScales=NonLinearity_13TeVscale,Geant4_13TeVscale,LightYield_13TeVscale,Absolute_13TeVscale

# photonCat                   mean_change    sigma_change    rate_change
diphotonCat=0
proc=InsideAcceptance_genMjjEta4p7_1000p0_13000p0
HighR9EB_13TeVscale           0.0007526     0.1343     0.00445    
HighR9EE_13TeVscale           0.0002187     0.04728     4.583e-08    
LowR9EB_13TeVscale            0.0009565     0.1194     0.0432    
LowR9EE_13TeVscale            7.614e-05     1.006e-08     4.618e-08    
Gain6EB_13TeVscale            2.562e-05     7.242e-09     2.857e-08    
Gain1EB_13TeVscale            0.0003145     0.04241     2.883e-08    
HighR9EBPhi_13TeVsmear        0.001054     0.1976     0.008899    
HighR9EBRho_13TeVsmear        0.0004694     0.1281     3.54e-08    
HighR9EEPhi_13TeVsmear        0.0007349     0.04183     2.471e-08    
HighR9EERho_13TeVsmear        0.0001529     0.2184     5.161e-08    
LowR9EBPhi_13TeVsmear         3.158e-05     0.1295     0.1356    
LowR9EBRho_13TeVsmear         0.00027     0.4267     0.003889    
LowR9EEPhi_13TeVsmear         0.000193     0.02598     4.469e-08    
LowR9EERho_13TeVsmear         1.971e-05     8.181e-09     2.134e-08    
MaterialForward_scale         0.001829     0.04339     0.004    

diphotonCat=0
proc=InsideAcceptance_genMjjEta4p7_m1000p0_0p0
HighR9EB_13TeVscale           0.0003234     0.004495     0.001733    
HighR9EE_13TeVscale           0.0003656     0.003858     9.561e-05    
LowR9EB_13TeVscale            0.000901     0.006494     0.002879    
LowR9EE_13TeVscale            0.0001125     0.003218     8.501e-05    
Gain6EB_13TeVscale            4.935e-06     0.0001763     2.903e-08    
Gain1EB_13TeVscale            6.09e-07     5.186e-08     3.534e-08    
HighR9EBPhi_13TeVsmear        0.0001936     0.0005394     0.0008972    
HighR9EBRho_13TeVsmear        4.483e-05     0.006118     0.0004877    
HighR9EEPhi_13TeVsmear        4.54e-05     0.01742     0.0007426    
HighR9EERho_13TeVsmear        4.105e-05     0.007657     0.0008234    
LowR9EBPhi_13TeVsmear         7.722e-05     0.0057     0.0001787    
LowR9EBRho_13TeVsmear         8.137e-05     0.003233     0.0005209    
LowR9EEPhi_13TeVsmear         5.444e-05     0.01153     5.49e-05    
LowR9EERho_13TeVsmear         7.903e-06     0.006052     0.0004756    
MaterialForward_scale         0.0008857     0.001455     0.0007291    

diphotonCat=0
proc=InsideAcceptance_genMjjEta4p7_150p0_450p0
HighR9EB_13TeVscale           0.000285     0.006329     0.001569    
HighR9EE_13TeVscale           0.0005911     0.008314     0.0001471    
LowR9EB_13TeVscale            0.000943     0.02727     0.005954    
LowR9EE_13TeVscale            6.003e-05     0.001576     6.178e-07    
Gain6EB_13TeVscale            3.395e-05     0.0006935     2.472e-07    
Gain1EB_13TeVscale            6.234e-06     0.001707     2.696e-07    
HighR9EBPhi_13TeVsmear        0.0003012     0.000589     0.0002653    
HighR9EBRho_13TeVsmear        0.0001857     0.004284     0.0004961    
HighR9EEPhi_13TeVsmear        0.0006109     0.01475     0.005975    
HighR9EERho_13TeVsmear        5.233e-05     0.01962     0.0001474    
LowR9EBPhi_13TeVsmear         3.507e-05     0.001085     0.000675    
LowR9EBRho_13TeVsmear         0.0001042     0.006583     0.0006241    
LowR9EEPhi_13TeVsmear         0.0001005     0.00883     2.69e-07    
LowR9EERho_13TeVsmear         1.761e-05     0.001418     6.296e-07    
MaterialForward_scale         0.001046     0.007226     0.0006048    

diphotonCat=0
proc=InsideAcceptance_genMjjEta4p7_100p0_150p0
HighR9EB_13TeVscale           0.0003952     0.014     0.0002736    
HighR9EE_13TeVscale           0.0006759     0.01791     1.757e-07    
LowR9EB_13TeVscale            0.00108     0.04289     0.002801    
LowR9EE_13TeVscale            0.0001069     0.02126     1.703e-07    
Gain6EB_13TeVscale            2.74e-05     0.00195     1.733e-07    
Gain1EB_13TeVscale            4.214e-05     0.009974     1.59e-07    
HighR9EBPhi_13TeVsmear        0.0004194     0.04607     0.008581    
HighR9EBRho_13TeVsmear        6.634e-05     0.02716     0.0001787    
HighR9EEPhi_13TeVsmear        0.0001036     0.03553     0.0001901    
HighR9EERho_13TeVsmear        3.346e-05     0.04065     1.792e-07    
LowR9EBPhi_13TeVsmear         9.791e-05     0.08686     0.0006018    
LowR9EBRho_13TeVsmear         0.0001781     0.003637     0.0002027    
LowR9EEPhi_13TeVsmear         0.0003465     0.04361     1.7e-07    
LowR9EERho_13TeVsmear         3.957e-05     0.01001     1.822e-07    
MaterialForward_scale         0.001065     0.004106     0.0004113    

diphotonCat=0
proc=InsideAcceptance_genMjjEta4p7_0p0_100p0
HighR9EB_13TeVscale           0.0003225     0.0009967     0.00129    
HighR9EE_13TeVscale           0.0003017     0.0004033     0.0001133    
LowR9EB_13TeVscale            0.001021     0.004966     0.002513    
LowR9EE_13TeVscale            6.699e-05     0.001426     5.403e-05    
Gain6EB_13TeVscale            1.332e-05     0.0005124     2.754e-05    
