# this file has been autogenerated by calcPhotonSystConsts.cpp

photonCatScales=HighR9EB_13TeVscale,HighR9EE_13TeVscale,LowR9EB_13TeVscale,LowR9EE_13TeVscale,Gain6EB_13TeVscale,Gain1EB_13TeVscale
photonCatScalesCorr=MaterialForward_scale
photonCatSmears=HighR9EBPhi_13TeVsmear,HighR9EBRho_13TeVsmear,HighR9EEPhi_13TeVsmear,HighR9EERho_13TeVsmear,LowR9EBPhi_13TeVsmear,LowR9EBRho_13TeVsmear,LowR9EEPhi_13TeVsmear,LowR9EERho_13TeVsmear
globalScales=NonLinearity_13TeVscale,Geant4_13TeVscale,LightYield_13TeVscale,Absolute_13TeVscale

# photonCat                   mean_change    sigma_change    rate_change
diphotonCat=0
proc=gghInsideAcceptance_genPt_0p0_15p0
HighR9EB_13TeVscale           0.001136     0.01224     0.001545    
HighR9EE_13TeVscale           7.111e-11     2.637e-07     3.706e-07    
LowR9EB_13TeVscale            9.337e-05     0.001673     0.001765    
LowR9EE_13TeVscale            7.111e-11     2.637e-07     3.706e-07    
Gain6EB_13TeVscale            7.111e-11     2.637e-07     3.706e-07    
Gain1EB_13TeVscale            7.111e-11     2.637e-07     3.706e-07    
HighR9EBPhi_13TeVsmear        7.521e-06     0.04086     0.001889    
HighR9EBRho_13TeVsmear        1.843e-05     0.02414     0.00123    
HighR9EEPhi_13TeVsmear        7.111e-11     2.637e-07     3.706e-07    
HighR9EERho_13TeVsmear        7.111e-11     2.637e-07     3.706e-07    
LowR9EBPhi_13TeVsmear         4.955e-05     0.003326     0.001321    
LowR9EBRho_13TeVsmear         2.842e-05     0.003921     0.0009868    
LowR9EEPhi_13TeVsmear         7.111e-11     2.637e-07     3.706e-07    
LowR9EERho_13TeVsmear         7.111e-11     2.637e-07     3.706e-07    
MaterialForward_scale         7.111e-11     2.637e-07     3.706e-07    

diphotonCat=0
proc=gghInsideAcceptance_genPt_15p0_30p0
HighR9EB_13TeVscale           0.0009138     0.02408     0.03016    
HighR9EE_13TeVscale           0.0002925     0.009652     0.00636    
LowR9EB_13TeVscale            0.0005348     0.008297     0.004097    
LowR9EE_13TeVscale            0.0002925     0.009652     0.00636    
Gain6EB_13TeVscale            0.0002925     0.009652     0.00636    
Gain1EB_13TeVscale            0.0002925     0.009652     0.00636    
HighR9EBPhi_13TeVsmear        1.195e-05     0.01286     0.02265    
HighR9EBRho_13TeVsmear        0.0002387     0.0301     0.01494    
HighR9EEPhi_13TeVsmear        0.0002925     0.009652     0.00636    
HighR9EERho_13TeVsmear        0.0002925     0.009652     0.00636    
LowR9EBPhi_13TeVsmear         0.0002539     0.01272     0.00201    
LowR9EBRho_13TeVsmear         0.0003667     0.01131     0.004185    
LowR9EEPhi_13TeVsmear         0.0002925     0.009652     0.00636    
LowR9EERho_13TeVsmear         0.0002925     0.009652     0.00636    
MaterialForward_scale         0.0002925     0.009652     0.00636    

diphotonCat=0
proc=gghInsideAcceptance_genPt_30p0_45p0
HighR9EB_13TeVscale           0     0     0    
HighR9EE_13TeVscale           0     0     0    
LowR9EB_13TeVscale            0     0     0    
LowR9EE_13TeVscale            0     0     0    
Gain6EB_13TeVscale            0     0     0    
Gain1EB_13TeVscale            0     0     0    
HighR9EBPhi_13TeVsmear        0     0     0    
HighR9EBRho_13TeVsmear        0     0     0    
HighR9EEPhi_13TeVsmear        0     0     0    
HighR9EERho_13TeVsmear        0     0     0    
LowR9EBPhi_13TeVsmear         0     0     0    
LowR9EBRho_13TeVsmear         0     0     0    
LowR9EEPhi_13TeVsmear         0     0     0    
LowR9EERho_13TeVsmear         0     0     0    
MaterialForward_scale         0     0     0    

diphotonCat=0
