# this file has been autogenerated by calcPhotonSystConsts.cpp

photonCatScales=HighR9EB_13TeVscale,HighR9EE_13TeVscale,LowR9EB_13TeVscale,LowR9EE_13TeVscale,Gain6EB_13TeVscale,Gain1EB_13TeVscale
photonCatScalesCorr=MaterialForward_scale
photonCatSmears=HighR9EBPhi_13TeVsmear,HighR9EBRho_13TeVsmear,HighR9EEPhi_13TeVsmear,HighR9EERho_13TeVsmear,LowR9EBPhi_13TeVsmear,LowR9EBRho_13TeVsmear,LowR9EEPhi_13TeVsmear,LowR9EERho_13TeVsmear
globalScales=NonLinearity_13TeVscale,Geant4_13TeVscale,LightYield_13TeVscale,Absolute_13TeVscale

# photonCat                   mean_change    sigma_change    rate_change
diphotonCat=0
proc=InsideAcceptance_absGenRapidity_0p0_0p15
HighR9EB_13TeVscale           0.001046     0.01054     0.0006212    
HighR9EE_13TeVscale           3.656e-09     2.856e-07     5.653e-07    
LowR9EB_13TeVscale            0.0001345     0.001164     0.0002593    
LowR9EE_13TeVscale            3.656e-09     2.856e-07     5.653e-07    
Gain6EB_13TeVscale            8.254e-06     0.0002417     5.689e-07    
Gain1EB_13TeVscale            5.824e-06     0.0004761     7.236e-05    
HighR9EBPhi_13TeVsmear        3.672e-05     0.07211     0.002382    
HighR9EBRho_13TeVsmear        1.855e-05     0.03318     0.001244    
HighR9EEPhi_13TeVsmear        3.656e-09     2.856e-07     5.653e-07    
HighR9EERho_13TeVsmear        3.656e-09     2.856e-07     5.653e-07    
LowR9EBPhi_13TeVsmear         2.678e-05     0.01013     0.0001617    
LowR9EBRho_13TeVsmear         1.003e-05     0.002726     0.0001597    
LowR9EEPhi_13TeVsmear         3.656e-09     2.856e-07     5.653e-07    
LowR9EERho_13TeVsmear         3.656e-09     2.856e-07     5.653e-07    
MaterialForward_scale         3.656e-09     2.856e-07     5.653e-07    

diphotonCat=0
proc=InsideAcceptance_absGenRapidity_0p15_0p3
HighR9EB_13TeVscale           0.001144     0.0008548     0.003394    
HighR9EE_13TeVscale           4.351e-05     0.003105     0.005113    
LowR9EB_13TeVscale            0.0001714     0.01268     0.004302    
LowR9EE_13TeVscale            4.351e-05     0.003105     0.005113    
Gain6EB_13TeVscale            4.351e-05     0.003105     0.005113    
Gain1EB_13TeVscale            4.351e-05     0.003105     0.005113    
HighR9EBPhi_13TeVsmear        3.291e-06     0.01796     0.0003156    
HighR9EBRho_13TeVsmear        0.0001555     0.02836     0.01412    
HighR9EEPhi_13TeVsmear        4.351e-05     0.003105     0.005113    
HighR9EERho_13TeVsmear        4.351e-05     0.003105     0.005113    
LowR9EBPhi_13TeVsmear         9.288e-05     0.004772     0.005628    
LowR9EBRho_13TeVsmear         0.0001476     0.01003     0.005102    
LowR9EEPhi_13TeVsmear         4.351e-05     0.003105     0.005113    
LowR9EERho_13TeVsmear         4.351e-05     0.003105     0.005113    
MaterialForward_scale         4.351e-05     0.003105     0.005113    

diphotonCat=0
proc=InsideAcceptance_absGenRapidity_0p3_0p6
HighR9EB_13TeVscale           0     0     0    
HighR9EE_13TeVscale           0     0     0    
LowR9EB_13TeVscale            0     0     0    
LowR9EE_13TeVscale            0     0     0    
Gain6EB_13TeVscale            0     0     0    
Gain1EB_13TeVscale            0     0     0    
HighR9EBPhi_13TeVsmear        0     0     0    
HighR9EBRho_13TeVsmear        0     0     0    
HighR9EEPhi_13TeVsmear        0     0     0    
HighR9EERho_13TeVsmear        0     0     0    
LowR9EBPhi_13TeVsmear         0     0     0    
LowR9EBRho_13TeVsmear         0     0     0    
LowR9EEPhi_13TeVsmear         0     0     0    
LowR9EERho_13TeVsmear         0     0     0    
MaterialForward_scale         0     0     0    

diphotonCat=0
proc=InsideAcceptance_absGenRapidity_0p6_0p9
HighR9EB_13TeVscale           0     0     0    
HighR9EE_13TeVscale           0     0     0    
LowR9EB_13TeVscale            0     0     0    
LowR9EE_13TeVscale            0     0     0    
Gain6EB_13TeVscale            0     0     0    
Gain1EB_13TeVscale            0     0     0    
HighR9EBPhi_13TeVsmear        0     0     0    
HighR9EBRho_13TeVsmear        0     0     0    
HighR9EEPhi_13TeVsmear        0     0     0    
HighR9EERho_13TeVsmear        0     0     0    
LowR9EBPhi_13TeVsmear         0     0     0    
LowR9EBRho_13TeVsmear         0     0     0    
LowR9EEPhi_13TeVsmear         0     0     0    
LowR9EERho_13TeVsmear         0     0     0    
MaterialForward_scale         0     0     0    

diphotonCat=0
proc=InsideAcceptance_absGenRapidity_0p9_1p6
HighR9EB_13TeVscale           0     0     0    
HighR9EE_13TeVscale           0     0     0    
LowR9EB_13TeVscale            0     0     0    
LowR9EE_13TeVscale            0     0     0    
Gain6EB_13TeVscale            0     0     0    
Gain1EB_13TeVscale            0     0     0    
HighR9EBPhi_13TeVsmear        0     0     0    
HighR9EBRho_13TeVsmear        0     0     0    
HighR9EEPhi_13TeVsmear        0     0     0    
HighR9EERho_13TeVsmear        0     0     0    
LowR9EBPhi_13TeVsmear         0     0     0    
LowR9EBRho_13TeVsmear         0     0     0    
LowR9EEPhi_13TeVsmear         0     0     0    
LowR9EERho_13TeVsmear         0     0     0    
MaterialForward_scale         0     0     0    

diphotonCat=0
proc=InsideAcceptance_absGenRapidity_1p6_3p0
HighR9EB_13TeVscale           0     0     0    
HighR9EE_13TeVscale           0     0     0    
LowR9EB_13TeVscale            0     0     0    
LowR9EE_13TeVscale            0     0     0    
Gain6EB_13TeVscale            0     0     0    
Gain1EB_13TeVscale            0     0     0    
HighR9EBPhi_13TeVsmear        0     0     0    
HighR9EBRho_13TeVsmear        0     0     0    
HighR9EEPhi_13TeVsmear        0     0     0    
HighR9EERho_13TeVsmear        0     0     0    
LowR9EBPhi_13TeVsmear         0     0     0    
LowR9EBRho_13TeVsmear         0     0     0    
LowR9EEPhi_13TeVsmear         0     0     0    
LowR9EERho_13TeVsmear         0     0     0    
MaterialForward_scale         0     0     0    

diphotonCat=0
proc=OutsideAcceptance
HighR9EB_13TeVscale           0.00139     0.08297     0.04398    
HighR9EE_13TeVscale           5.379e-11     2.644e-08     2.155e-08    
LowR9EB_13TeVscale            0.000328     0.000353     0.02083    
LowR9EE_13TeVscale            5.379e-11     2.644e-08     2.155e-08    
Gain6EB_13TeVscale            1.324e-05     0.0003559     1.532e-08    
Gain1EB_13TeVscale            8.501e-07     4.684e-05     2.155e-08    
HighR9EBPhi_13TeVsmear        0.001334     0.00325     0.06175    
HighR9EBRho_13TeVsmear        0.0009138     0.03523     0.02711    
HighR9EEPhi_13TeVsmear        5.379e-11     2.644e-08     2.155e-08    
HighR9EERho_13TeVsmear        5.379e-11     2.644e-08     2.155e-08    
LowR9EBPhi_13TeVsmear         0.0003004     0.007835     0.0353    
LowR9EBRho_13TeVsmear         7.56e-05     0.008248     0.001446    
LowR9EEPhi_13TeVsmear         5.379e-11     2.644e-08     2.155e-08    
LowR9EERho_13TeVsmear         5.379e-11     2.644e-08     2.155e-08    
MaterialForward_scale         5.379e-11     2.644e-08     2.155e-08    


diphotonCat=1
proc=InsideAcceptance_absGenRapidity_0p0_0p15
HighR9EB_13TeVscale           0.001079     0.01074     0.0003814    
HighR9EE_13TeVscale           4.407e-06     0.0003519     0.0003508    
LowR9EB_13TeVscale            3.454e-06     0.01056     0.002934    
LowR9EE_13TeVscale            4.407e-06     0.0003519     0.0003508    
Gain6EB_13TeVscale            4.407e-06     0.0003519     0.0003508    
Gain1EB_13TeVscale            3.657e-05     0.000966     0.002426    
HighR9EBPhi_13TeVsmear        0.000102     0.05992     0.002794    
HighR9EBRho_13TeVsmear        2.231e-05     0.01704     0.004501    
HighR9EEPhi_13TeVsmear        4.407e-06     0.0003519     0.0003508    
HighR9EERho_13TeVsmear        4.407e-06     0.0003519     0.0003508    
LowR9EBPhi_13TeVsmear         1.584e-05     0.003551     0.004599    
LowR9EBRho_13TeVsmear         8.835e-05     0.007251     0.0004517    
LowR9EEPhi_13TeVsmear         4.407e-06     0.0003519     0.0003508    
LowR9EERho_13TeVsmear         4.407e-06     0.0003519     0.0003508    
MaterialForward_scale         4.407e-06     0.0003519     0.0003508    

diphotonCat=1
proc=InsideAcceptance_absGenRapidity_0p15_0p3
HighR9EB_13TeVscale           0.001063     0.008623     0.0009516    
HighR9EE_13TeVscale           5.545e-09     4.481e-07     1.987e-07    
LowR9EB_13TeVscale            0.0001131     0.003137     0.0002406    
LowR9EE_13TeVscale            5.545e-09     4.481e-07     1.987e-07    
Gain6EB_13TeVscale            1.006e-05     8.042e-05     1.102e-05    
Gain1EB_13TeVscale            4.611e-06     0.0008378     0.0001579    
HighR9EBPhi_13TeVsmear        1.479e-05     0.06821     0.00132    
HighR9EBRho_13TeVsmear        1.949e-05     0.03496     0.0006563    
HighR9EEPhi_13TeVsmear        5.545e-09     4.481e-07     1.987e-07    
HighR9EERho_13TeVsmear        5.545e-09     4.481e-07     1.987e-07    
LowR9EBPhi_13TeVsmear         2.643e-05     0.007293     0.0006036    
LowR9EBRho_13TeVsmear         1.23e-05     0.004133     0.0002441    
LowR9EEPhi_13TeVsmear         5.545e-09     4.481e-07     1.987e-07    
LowR9EERho_13TeVsmear         5.545e-09     4.481e-07     1.987e-07    
MaterialForward_scale         5.545e-09     4.481e-07     1.987e-07    

diphotonCat=1
proc=InsideAcceptance_absGenRapidity_0p3_0p6
HighR9EB_13TeVscale           0.0007502     0.01407     0.002955    
HighR9EE_13TeVscale           3.519e-05     0.0003994     0.0006694    
LowR9EB_13TeVscale            0.0002187     0.003254     0.004335    
LowR9EE_13TeVscale            3.519e-05     0.0003994     0.0006694    
Gain6EB_13TeVscale            3.551e-05     0.0004909     0.0005194    
Gain1EB_13TeVscale            3.519e-05     0.0003994     0.0006694    
HighR9EBPhi_13TeVsmear        0.000242     0.03492     0.0275    
HighR9EBRho_13TeVsmear        0.0002059     0.01065     0.01174    
HighR9EEPhi_13TeVsmear        3.519e-05     0.0003994     0.0006694    
HighR9EERho_13TeVsmear        3.519e-05     0.0003994     0.0006694    
LowR9EBPhi_13TeVsmear         5.971e-05     0.008566     0.0045    
LowR9EBRho_13TeVsmear         6.028e-05     0.005669     0.001912    
LowR9EEPhi_13TeVsmear         3.519e-05     0.0003994     0.0006694    
LowR9EERho_13TeVsmear         3.519e-05     0.0003994     0.0006694    
MaterialForward_scale         3.519e-05     0.0003994     0.0006694    

diphotonCat=1
proc=InsideAcceptance_absGenRapidity_0p6_0p9
HighR9EB_13TeVscale           0     0     0    
HighR9EE_13TeVscale           0     0     0    
LowR9EB_13TeVscale            0     0     0    
LowR9EE_13TeVscale            0     0     0    
Gain6EB_13TeVscale            0     0     0    
Gain1EB_13TeVscale            0     0     0    
HighR9EBPhi_13TeVsmear        0     0     0    
HighR9EBRho_13TeVsmear        0     0     0    
HighR9EEPhi_13TeVsmear        0     0     0    
HighR9EERho_13TeVsmear        0     0     0    
LowR9EBPhi_13TeVsmear         0     0     0    
LowR9EBRho_13TeVsmear         0     0     0    
LowR9EEPhi_13TeVsmear         0     0     0    
LowR9EERho_13TeVsmear         0     0     0    
MaterialForward_scale         0     0     0    

diphotonCat=1
proc=InsideAcceptance_absGenRapidity_0p9_1p6
HighR9EB_13TeVscale           0     0     0    
HighR9EE_13TeVscale           0     0     0    
LowR9EB_13TeVscale            0     0     0    
LowR9EE_13TeVscale            0     0     0    
Gain6EB_13TeVscale            0     0     0    
Gain1EB_13TeVscale            0     0     0    
HighR9EBPhi_13TeVsmear        0     0     0    
HighR9EBRho_13TeVsmear        0     0     0    
HighR9EEPhi_13TeVsmear        0     0     0    
HighR9EERho_13TeVsmear        0     0     0    
LowR9EBPhi_13TeVsmear         0     0     0    
LowR9EBRho_13TeVsmear         0     0     0    
LowR9EEPhi_13TeVsmear         0     0     0    
LowR9EERho_13TeVsmear         0     0     0    
MaterialForward_scale         0     0     0    

diphotonCat=1
proc=InsideAcceptance_absGenRapidity_1p6_3p0
HighR9EB_13TeVscale           0     0     0    
HighR9EE_13TeVscale           0     0     0    
LowR9EB_13TeVscale            0     0     0    
LowR9EE_13TeVscale            0     0     0    
Gain6EB_13TeVscale            0     0     0    
Gain1EB_13TeVscale            0     0     0    
HighR9EBPhi_13TeVsmear        0     0     0    
HighR9EBRho_13TeVsmear        0     0     0    
HighR9EEPhi_13TeVsmear        0     0     0    
HighR9EERho_13TeVsmear        0     0     0    
LowR9EBPhi_13TeVsmear         0     0     0    
LowR9EBRho_13TeVsmear         0     0     0    
LowR9EEPhi_13TeVsmear         0     0     0    
LowR9EERho_13TeVsmear         0     0     0    
MaterialForward_scale         0     0     0    

diphotonCat=1
proc=OutsideAcceptance
HighR9EB_13TeVscale           0.0005151     0.102     0.006074    
HighR9EE_13TeVscale           9.765e-11     2.155e-08     3.724e-08    
LowR9EB_13TeVscale            0.001205     0.04603     0.03218    
LowR9EE_13TeVscale            9.765e-11     2.155e-08     3.724e-08    
Gain6EB_13TeVscale            2.551e-05     0.003246     4.925e-08    
