# this file has been autogenerated by calcPhotonSystConsts.cpp

photonCatScales=HighR9EB_13TeVscale,HighR9EE_13TeVscale,LowR9EB_13TeVscale,LowR9EE_13TeVscale,Gain6EB_13TeVscale,Gain1EB_13TeVscale
photonCatScalesCorr=MaterialForward_scale
photonCatSmears=HighR9EBPhi_13TeVsmear,HighR9EBRho_13TeVsmear,HighR9EEPhi_13TeVsmear,HighR9EERho_13TeVsmear,LowR9EBPhi_13TeVsmear,LowR9EBRho_13TeVsmear,LowR9EEPhi_13TeVsmear,LowR9EERho_13TeVsmear
globalScales=NonLinearity_13TeVscale,Geant4_13TeVscale,LightYield_13TeVscale,Absolute_13TeVscale

# photonCat                   mean_change    sigma_change    rate_change
diphotonCat=0
proc=InsideAcceptance_genZeppenfeldEta4p7_1p2_1000p0
HighR9EB_13TeVscale           0.000202     0.02814     0.005013    
HighR9EE_13TeVscale           0.0003186     0.05755     0.0009811    
LowR9EB_13TeVscale            0.0007101     0.03342     0.0121    
LowR9EE_13TeVscale            9.959e-05     0.0198     0.0004161    
Gain6EB_13TeVscale            6.895e-05     0.0005463     1.794e-07    
Gain1EB_13TeVscale            7.859e-06     0.002053     0.0003396    
HighR9EBPhi_13TeVsmear        0.0001315     0.01989     0.000504    
HighR9EBRho_13TeVsmear        0.0002043     0.0104     0.0007659    
HighR9EEPhi_13TeVsmear        0.0001724     0.008954     0.007861    
HighR9EERho_13TeVsmear        0.0001975     0.01742     0.0004377    
LowR9EBPhi_13TeVsmear         0.0001624     0.01987     0.008577    
LowR9EBRho_13TeVsmear         5.784e-05     0.01983     0.0007441    
LowR9EEPhi_13TeVsmear         2.57e-05     0.09937     0.0009758    
LowR9EERho_13TeVsmear         0.000112     0.01731     1.939e-07    
MaterialForward_scale         0.0007089     0.06432     0.005336    

diphotonCat=0
proc=InsideAcceptance_genZeppenfeldEta4p7_m1000p0_0p0
HighR9EB_13TeVscale           0.0004121     0.008653     0.001787    
HighR9EE_13TeVscale           0.0003597     0.003807     0.0005103    
LowR9EB_13TeVscale            0.001075     0.01561     0.005696    
LowR9EE_13TeVscale            4.528e-05     0.003435     0.001406    
Gain6EB_13TeVscale            1.51e-05     0.00193     9.603e-05    
Gain1EB_13TeVscale            1.398e-05     0.0001413     3.553e-08    
HighR9EBPhi_13TeVsmear        5.347e-05     0.00897     0.0005491    
HighR9EBRho_13TeVsmear        5.153e-05     0.005322     0.001558    
HighR9EEPhi_13TeVsmear        0.0001694     0.000294     0.0007631    
HighR9EERho_13TeVsmear        8.829e-05     0.004504     0.0005479    
LowR9EBPhi_13TeVsmear         5.849e-05     0.01168     0.003192    
LowR9EBRho_13TeVsmear         5.875e-05     0.006863     0.0003383    
LowR9EEPhi_13TeVsmear         1.908e-05     0.01924     0.0004701    
LowR9EERho_13TeVsmear         5.316e-05     0.003385     0.001143    
MaterialForward_scale         0.0007093     0.01248     0.001364    

diphotonCat=0
proc=InsideAcceptance_genZeppenfeldEta4p7_0p5_1p2
HighR9EB_13TeVscale           0.0006277     0.01028     0.006292    
HighR9EE_13TeVscale           0.000578     0.005648     0.001056    
LowR9EB_13TeVscale            0.001299     0.0457     0.01482    
LowR9EE_13TeVscale            0.0001428     0.006905     0.0002126    
Gain6EB_13TeVscale            5.216e-05     0.004022     8.935e-08    
Gain1EB_13TeVscale            0.0001011     0.008604     0.001179    
HighR9EBPhi_13TeVsmear        0.0004257     0.03857     0.006564    
HighR9EBRho_13TeVsmear        6.982e-05     0.006411     0.003087    
HighR9EEPhi_13TeVsmear        0.0002806     0.08717     0.007171    
HighR9EERho_13TeVsmear        2.413e-05     0.03112     0.0007222    
LowR9EBPhi_13TeVsmear         0.0003725     0.01536     0.009889    
LowR9EBRho_13TeVsmear         6.706e-05     0.008882     0.00753    
LowR9EEPhi_13TeVsmear         0.0001543     0.02204     0.001646    
LowR9EERho_13TeVsmear         5.333e-05     0.00418     0.0005959    
MaterialForward_scale         0.001023     0.01896     0.006726    

diphotonCat=0
