# this file has been autogenerated by calcPhotonSystConsts.cpp

photonCatScales=HighR9EB_13TeVscale,HighR9EE_13TeVscale,LowR9EB_13TeVscale,LowR9EE_13TeVscale,Gain6EB_13TeVscale,Gain1EB_13TeVscale
photonCatScalesCorr=MaterialForward_scale
photonCatSmears=HighR9EBPhi_13TeVsmear,HighR9EBRho_13TeVsmear,HighR9EEPhi_13TeVsmear,HighR9EERho_13TeVsmear,LowR9EBPhi_13TeVsmear,LowR9EBRho_13TeVsmear,LowR9EEPhi_13TeVsmear,LowR9EERho_13TeVsmear
globalScales=NonLinearity_13TeVscale,Geant4_13TeVscale,LightYield_13TeVscale,Absolute_13TeVscale

# photonCat                   mean_change    sigma_change    rate_change
diphotonCat=0
proc=InsideAcceptance_genZeppenfeldEta4p7_1p2_1000p0
HighR9EB_13TeVscale           0.0003502     0.01969     0.005768    
HighR9EE_13TeVscale           0.0001366     0.02124     0.001031    
LowR9EB_13TeVscale            0.0007495     0.05252     0.003557    
LowR9EE_13TeVscale            0.00014     0.02124     9.176e-08    
Gain6EB_13TeVscale            2.88e-05     0.005287     7.038e-08    
Gain1EB_13TeVscale            4.024e-05     0.001517     8.247e-08    
HighR9EBPhi_13TeVsmear        0.000282     0.0484     0.0004655    
HighR9EBRho_13TeVsmear        0.0003607     0.03491     0.0008858    
HighR9EEPhi_13TeVsmear        0.0001254     0.02419     0.002002    
HighR9EERho_13TeVsmear        0.0001823     0.007254     0.0005099    
LowR9EBPhi_13TeVsmear         0.0001633     0.01332     0.001474    
LowR9EBRho_13TeVsmear         0.0001395     0.03778     0.0002764    
LowR9EEPhi_13TeVsmear         0.0002281     0.07521     7.319e-08    
LowR9EERho_13TeVsmear         0.0001561     0.02066     7.38e-08    
MaterialForward_scale         0.0004513     0.04771     0.001251    

diphotonCat=0
proc=InsideAcceptance_genZeppenfeldEta4p7_m1000p0_0p0
HighR9EB_13TeVscale           0.0004015     0.01122     0.002017    
HighR9EE_13TeVscale           0.0003373     0.005759     6.648e-05    
LowR9EB_13TeVscale            0.0009653     0.005091     0.01056    
LowR9EE_13TeVscale            6.595e-05     0.005055     0.0001029    
Gain6EB_13TeVscale            3.065e-06     0.0001818     1.054e-07    
Gain1EB_13TeVscale            1.184e-05     0.0002253     1.24e-07    
HighR9EBPhi_13TeVsmear        0.0001125     8.622e-05     0.001034    
HighR9EBRho_13TeVsmear        3.925e-05     0.003781     0.001721    
HighR9EEPhi_13TeVsmear        7.752e-05     0.0001431     0.001838    
HighR9EERho_13TeVsmear        2.956e-05     0.002449     0.0003742    
LowR9EBPhi_13TeVsmear         3.195e-05     0.009289     0.000163    
LowR9EBRho_13TeVsmear         6.162e-05     0.007614     0.0006117    
LowR9EEPhi_13TeVsmear         2.077e-05     0.02146     0.0003879    
LowR9EERho_13TeVsmear         6.433e-05     0.005074     0.0003005    
MaterialForward_scale         0.0006577     0.02194     0.001491    

diphotonCat=0
proc=InsideAcceptance_genZeppenfeldEta4p7_0p5_1p2
HighR9EB_13TeVscale           0.0003821     0.02216     0.002059    
HighR9EE_13TeVscale           0.0004152     0.00817     0.001208    
LowR9EB_13TeVscale            0.001382     0.04663     0.001144    
LowR9EE_13TeVscale            0.0001581     0.006558     0.0004831    
Gain6EB_13TeVscale            1.479e-05     0.001819     1.876e-07    
Gain1EB_13TeVscale            0.000134     0.01424     0.001607    
HighR9EBPhi_13TeVsmear        0.0006666     0.03018     0.006143    
HighR9EBRho_13TeVsmear        0.0002458     0.01171     0.0007452    
HighR9EEPhi_13TeVsmear        0.0001529     0.03865     0.008547    
HighR9EERho_13TeVsmear        0.0001101     0.02136     0.0009837    
LowR9EBPhi_13TeVsmear         0.0003557     0.06813     0.005666    
LowR9EBRho_13TeVsmear         0.0001782     0.01842     0.00206    
LowR9EEPhi_13TeVsmear         0.0001311     0.02899     0.00158    
LowR9EERho_13TeVsmear         0.0001017     0.004965     0.0008119    
MaterialForward_scale         0.0009191     0.01515     0.004958    

diphotonCat=0
proc=InsideAcceptance_genZeppenfeldEta4p7_0p0_0p5
HighR9EB_13TeVscale           0.0003329     0.002734     0.001621    
HighR9EE_13TeVscale           0.0003166     0.006284     8.716e-05    
LowR9EB_13TeVscale            0.001117     0.01965     0.004869    
LowR9EE_13TeVscale            6.225e-05     0.003257     0.0002291    
Gain6EB_13TeVscale            1.685e-05     0.0003063     0.001245    
Gain1EB_13TeVscale            3.973e-05     0.0006218     9.347e-05    
HighR9EBPhi_13TeVsmear        6.113e-05     0.006461     0.001796    
HighR9EBRho_13TeVsmear        3.19e-05     0.01052     0.001019    
HighR9EEPhi_13TeVsmear        0.000127     0.04334     7.405e-05    
HighR9EERho_13TeVsmear        3.76e-05     0.01434     0.0001234    
LowR9EBPhi_13TeVsmear         6.431e-05     0.01718     0.001199    
LowR9EBRho_13TeVsmear         4.147e-05     0.006714     0.0005463    
LowR9EEPhi_13TeVsmear         9.741e-06     0.008237     0.0009023    
LowR9EERho_13TeVsmear         7.52e-06     0.001198     0.0002826    
MaterialForward_scale         0.0006861     0.01077     0.000691    

diphotonCat=0
proc=OutsideAcceptance
HighR9EB_13TeVscale           0.0002414     0.02658     0.008684    
HighR9EE_13TeVscale           0.0003107     0.006596     0.01465    
LowR9EB_13TeVscale            0.0009238     0.06832     0.01998    
LowR9EE_13TeVscale            0.0002418     0.005823     0.0006575    
Gain6EB_13TeVscale            1.762e-05     0.004651     0.0005128    
Gain1EB_13TeVscale            0.0001263     8.333e-08     3.089e-08    
HighR9EBPhi_13TeVsmear        0.0001581     0.04495     0.00412    
HighR9EBRho_13TeVsmear        0.0001596     0.03213     0.003366    
HighR9EEPhi_13TeVsmear        0.001222     0.06218     0.01174    
HighR9EERho_13TeVsmear        0.0001394     0.009103     0.004396    
LowR9EBPhi_13TeVsmear         0.0001165     0.1614     0.02134    
LowR9EBRho_13TeVsmear         9.385e-05     0.04352     0.00216    
LowR9EEPhi_13TeVsmear         0.0002035     0.06056     0.01966    
LowR9EERho_13TeVsmear         1.696e-05     0.003382     0.0006575    
MaterialForward_scale         0.0009901     0.07048     0.01807    


diphotonCat=1
proc=InsideAcceptance_genZeppenfeldEta4p7_1p2_1000p0
HighR9EB_13TeVscale           0.001446     0.03207     0.002399    
HighR9EE_13TeVscale           1.677e-09     3.464e-08     1.074e-08    
LowR9EB_13TeVscale            3.175e-05     0.01685     0.001131    
LowR9EE_13TeVscale            1.677e-09     3.464e-08     1.074e-08    
Gain6EB_13TeVscale            0.0001094     0.009896     9.045e-09    
Gain1EB_13TeVscale            6.495e-05     0.009827     1.526e-08    
HighR9EBPhi_13TeVsmear        0.0005617     0.1842     0.003076    
HighR9EBRho_13TeVsmear        6.382e-05     0.06178     0.002404    
HighR9EEPhi_13TeVsmear        1.677e-09     3.464e-08     1.074e-08    
HighR9EERho_13TeVsmear        1.677e-09     3.464e-08     1.074e-08    
LowR9EBPhi_13TeVsmear         6.513e-05     0.01708     0.0004842    
LowR9EBRho_13TeVsmear         2.168e-05     0.001475     1.88e-08    
LowR9EEPhi_13TeVsmear         1.677e-09     3.464e-08     1.074e-08    
LowR9EERho_13TeVsmear         1.677e-09     3.464e-08     1.074e-08    
MaterialForward_scale         1.677e-09     3.464e-08     1.074e-08    

diphotonCat=1
proc=InsideAcceptance_genZeppenfeldEta4p7_m1000p0_0p0
HighR9EB_13TeVscale           0.0009792     0.01596     0.005527    
HighR9EE_13TeVscale           2.729e-10     1.422e-07     1.048e-07    
LowR9EB_13TeVscale            5.253e-05     0.001608     0.001424    
LowR9EE_13TeVscale            2.729e-10     1.422e-07     1.048e-07    
Gain6EB_13TeVscale            1.463e-05     0.0004841     1.376e-07    
Gain1EB_13TeVscale            2.983e-06     0.0004662     1.509e-07    
HighR9EBPhi_13TeVsmear        0.0007207     0.08918     0.01455    
