# this file has been autogenerated by calcPhotonSystConsts.cpp

photonCatScales=HighR9EB_13TeVscale,HighR9EE_13TeVscale,LowR9EB_13TeVscale,LowR9EE_13TeVscale,Gain6EB_13TeVscale,Gain1EB_13TeVscale
photonCatScalesCorr=MaterialForward_scale
photonCatSmears=HighR9EBPhi_13TeVsmear,HighR9EBRho_13TeVsmear,HighR9EEPhi_13TeVsmear,HighR9EERho_13TeVsmear,LowR9EBPhi_13TeVsmear,LowR9EBRho_13TeVsmear,LowR9EEPhi_13TeVsmear,LowR9EERho_13TeVsmear
globalScales=NonLinearity_13TeVscale,Geant4_13TeVscale,LightYield_13TeVscale,Absolute_13TeVscale

# photonCat                   mean_change    sigma_change    rate_change
diphotonCat=0
proc=InsideAcceptance_genJet2p5Pt0_m1000p0_30p0
HighR9EB_13TeVscale           0.001061     0.0232     0.0005535    
HighR9EE_13TeVscale           2.952e-06     0.0002537     0.0001412    
LowR9EB_13TeVscale            0.0001165     0.003117     0.000771    
LowR9EE_13TeVscale            2.952e-06     0.0002537     0.0001412    
Gain6EB_13TeVscale            3.008e-06     0.0001443     0.0001743    
Gain1EB_13TeVscale            2.946e-06     0.0002627     0.0001412    
HighR9EBPhi_13TeVsmear        2.82e-05     0.04748     0.0002914    
HighR9EBRho_13TeVsmear        1.587e-05     0.03052     0.0004066    
HighR9EEPhi_13TeVsmear        2.952e-06     0.0002537     0.0001412    
HighR9EERho_13TeVsmear        2.952e-06     0.0002537     0.0001412    
LowR9EBPhi_13TeVsmear         2.57e-05     0.004577     0.0003865    
LowR9EBRho_13TeVsmear         1.749e-05     0.0035     0.0001757    
LowR9EEPhi_13TeVsmear         2.952e-06     0.0002537     0.0001412    
LowR9EERho_13TeVsmear         2.952e-06     0.0002537     0.0001412    
MaterialForward_scale         2.952e-06     0.0002537     0.0001412    

diphotonCat=0
proc=InsideAcceptance_genJet2p5Pt0_30p0_45p0
HighR9EB_13TeVscale           0.0009935     0.01812     0.001486    
HighR9EE_13TeVscale           2.052e-09     0.0001582     3.506e-08    
LowR9EB_13TeVscale            0.0001761     0.005483     0.001799    
LowR9EE_13TeVscale            2.052e-09     0.0001582     3.506e-08    
Gain6EB_13TeVscale            5.036e-07     0.0001582     4.762e-08    
Gain1EB_13TeVscale            6.818e-07     0.0001582     3.506e-08    
HighR9EBPhi_13TeVsmear        3.819e-05     0.01317     0.002986    
HighR9EBRho_13TeVsmear        5.233e-05     0.02036     0.001874    
HighR9EEPhi_13TeVsmear        2.052e-09     0.0001582     3.506e-08    
HighR9EERho_13TeVsmear        2.052e-09     0.0001582     3.506e-08    
LowR9EBPhi_13TeVsmear         2.235e-05     0.01795     0.0002672    
LowR9EBRho_13TeVsmear         4.888e-05     0.009745     0.001056    
LowR9EEPhi_13TeVsmear         2.052e-09     0.0001582     3.506e-08    
LowR9EERho_13TeVsmear         2.052e-09     0.0001582     3.506e-08    
MaterialForward_scale         2.052e-09     0.0001582     3.506e-08    

diphotonCat=0
proc=InsideAcceptance_genJet2p5Pt0_45p0_70p0
HighR9EB_13TeVscale           0.000941     0.01842     0.006133    
HighR9EE_13TeVscale           4.592e-10     5.337e-09     8.178e-08    
LowR9EB_13TeVscale            6.658e-05     0.0126     0.0005051    
