# this file has been autogenerated by calcPhotonSystConsts.cpp

photonCatScales=HighR9EB_13TeVscale,HighR9EE_13TeVscale,LowR9EB_13TeVscale,LowR9EE_13TeVscale,Gain6EB_13TeVscale,Gain1EB_13TeVscale
photonCatScalesCorr=MaterialForward_scale
photonCatSmears=HighR9EBPhi_13TeVsmear,HighR9EBRho_13TeVsmear,HighR9EEPhi_13TeVsmear,HighR9EERho_13TeVsmear,LowR9EBPhi_13TeVsmear,LowR9EBRho_13TeVsmear,LowR9EEPhi_13TeVsmear,LowR9EERho_13TeVsmear
globalScales=NonLinearity_13TeVscale,Geant4_13TeVscale,LightYield_13TeVscale,Absolute_13TeVscale

# photonCat                   mean_change    sigma_change    rate_change
diphotonCat=0
proc=InsideAcceptance_genPt_0p0_15p0
HighR9EB_13TeVscale           0.001139     0.01256     0.0016    
HighR9EE_13TeVscale           2.642e-07     2.726e-05     1.545e-05    
LowR9EB_13TeVscale            9.431e-05     0.001729     0.001713    
LowR9EE_13TeVscale            2.642e-07     2.726e-05     1.545e-05    
Gain6EB_13TeVscale            2.642e-07     2.726e-05     1.545e-05    
Gain1EB_13TeVscale            2.642e-07     2.726e-05     1.545e-05    
HighR9EBPhi_13TeVsmear        5.628e-06     0.04137     0.00189    
HighR9EBRho_13TeVsmear        2.03e-05     0.02426     0.001243    
HighR9EEPhi_13TeVsmear        2.642e-07     2.726e-05     1.545e-05    
HighR9EERho_13TeVsmear        2.642e-07     2.726e-05     1.545e-05    
LowR9EBPhi_13TeVsmear         4.958e-05     0.003335     0.001296    
LowR9EBRho_13TeVsmear         2.791e-05     0.003935     0.0009998    
LowR9EEPhi_13TeVsmear         2.642e-07     2.726e-05     1.545e-05    
LowR9EERho_13TeVsmear         2.642e-07     2.726e-05     1.545e-05    
MaterialForward_scale         2.642e-07     2.726e-05     1.545e-05    

diphotonCat=0
proc=InsideAcceptance_genPt_15p0_30p0
HighR9EB_13TeVscale           0.0009029     0.02426     0.031    
HighR9EE_13TeVscale           0.0002878     0.009365     0.006254    
LowR9EB_13TeVscale            0.0005286     0.007772     0.004695    
LowR9EE_13TeVscale            0.0002878     0.009365     0.006254    
Gain6EB_13TeVscale            0.0002878     0.009365     0.006254    
Gain1EB_13TeVscale            0.0002878     0.009365     0.006254    
HighR9EBPhi_13TeVsmear        2.685e-05     0.01308     0.02107    
HighR9EBRho_13TeVsmear        0.0002604     0.02524     0.01545    
HighR9EEPhi_13TeVsmear        0.0002878     0.009365     0.006254    
HighR9EERho_13TeVsmear        0.0002878     0.009365     0.006254    
LowR9EBPhi_13TeVsmear         0.0002463     0.01273     0.001381    
LowR9EBRho_13TeVsmear         0.0003683     0.01044     0.004129    
LowR9EEPhi_13TeVsmear         0.0002878     0.009365     0.006254    
LowR9EERho_13TeVsmear         0.0002878     0.009365     0.006254    
MaterialForward_scale         0.0002878     0.009365     0.006254    

diphotonCat=0
proc=InsideAcceptance_genPt_30p0_45p0
HighR9EB_13TeVscale           0     0     0    
HighR9EE_13TeVscale           0     0     0    
LowR9EB_13TeVscale            0     0     0    
LowR9EE_13TeVscale            0     0     0    
Gain6EB_13TeVscale            0     0     0    
Gain1EB_13TeVscale            0     0     0    
HighR9EBPhi_13TeVsmear        0     0     0    
HighR9EBRho_13TeVsmear        0     0     0    
HighR9EEPhi_13TeVsmear        0     0     0    
HighR9EERho_13TeVsmear        0     0     0    
LowR9EBPhi_13TeVsmear         0     0     0    
LowR9EBRho_13TeVsmear         0     0     0    
LowR9EEPhi_13TeVsmear         0     0     0    
LowR9EERho_13TeVsmear         0     0     0    
MaterialForward_scale         0     0     0    

diphotonCat=0
proc=InsideAcceptance_genPt_45p0_85p0
HighR9EB_13TeVscale           0     0     0    
HighR9EE_13TeVscale           0     0     0    
LowR9EB_13TeVscale            0     0     0    
LowR9EE_13TeVscale            0     0     0    
Gain6EB_13TeVscale            0     0     0    
Gain1EB_13TeVscale            0     0     0    
HighR9EBPhi_13TeVsmear        0     0     0    
HighR9EBRho_13TeVsmear        0     0     0    
HighR9EEPhi_13TeVsmear        0     0     0    
HighR9EERho_13TeVsmear        0     0     0    
LowR9EBPhi_13TeVsmear         0     0     0    
LowR9EBRho_13TeVsmear         0     0     0    
LowR9EEPhi_13TeVsmear         0     0     0    
LowR9EERho_13TeVsmear         0     0     0    
MaterialForward_scale         0     0     0    

diphotonCat=0
proc=InsideAcceptance_genPt_85p0_125p0
HighR9EB_13TeVscale           0     0     0    
HighR9EE_13TeVscale           0     0     0    
LowR9EB_13TeVscale            0     0     0    
LowR9EE_13TeVscale            0     0     0    
Gain6EB_13TeVscale            0     0     0    
Gain1EB_13TeVscale            0     0     0    
HighR9EBPhi_13TeVsmear        0     0     0    
HighR9EBRho_13TeVsmear        0     0     0    
HighR9EEPhi_13TeVsmear        0     0     0    
HighR9EERho_13TeVsmear        0     0     0    
LowR9EBPhi_13TeVsmear         0     0     0    
LowR9EBRho_13TeVsmear         0     0     0    
LowR9EEPhi_13TeVsmear         0     0     0    
LowR9EERho_13TeVsmear         0     0     0    
MaterialForward_scale         0     0     0    

diphotonCat=0
proc=InsideAcceptance_genPt_125p0_200p0
HighR9EB_13TeVscale           0     0     0    
HighR9EE_13TeVscale           0     0     0    
LowR9EB_13TeVscale            0     0     0    
LowR9EE_13TeVscale            0     0     0    
Gain6EB_13TeVscale            0     0     0    
Gain1EB_13TeVscale            0     0     0    
HighR9EBPhi_13TeVsmear        0     0     0    
HighR9EBRho_13TeVsmear        0     0     0    
HighR9EEPhi_13TeVsmear        0     0     0    
HighR9EERho_13TeVsmear        0     0     0    
LowR9EBPhi_13TeVsmear         0     0     0    
LowR9EBRho_13TeVsmear         0     0     0    
LowR9EEPhi_13TeVsmear         0     0     0    
LowR9EERho_13TeVsmear         0     0     0    
MaterialForward_scale         0     0     0    

diphotonCat=0
