# this file has been autogenerated by calcPhotonSystConsts.cpp

photonCatScales=HighR9EB_13TeVscale,HighR9EE_13TeVscale,LowR9EB_13TeVscale,LowR9EE_13TeVscale,Gain6EB_13TeVscale,Gain1EB_13TeVscale
photonCatScalesCorr=MaterialForward_scale
photonCatSmears=HighR9EBPhi_13TeVsmear,HighR9EBRho_13TeVsmear,HighR9EEPhi_13TeVsmear,HighR9EERho_13TeVsmear,LowR9EBPhi_13TeVsmear,LowR9EBRho_13TeVsmear,LowR9EEPhi_13TeVsmear,LowR9EERho_13TeVsmear
globalScales=NonLinearity_13TeVscale,Geant4_13TeVscale,LightYield_13TeVscale,Absolute_13TeVscale

# photonCat                   mean_change    sigma_change    rate_change
diphotonCat=0
proc=InsideAcceptance_genPt_0p0_15p0
HighR9EB_13TeVscale           0.001139     0.01256     0.9968    
HighR9EE_13TeVscale           1.418e-09     1.176e-07     1    
LowR9EB_13TeVscale            9.431e-05     0.001756     1    
LowR9EE_13TeVscale            1.418e-09     1.176e-07     1    
Gain6EB_13TeVscale            1.418e-09     1.176e-07     1    
Gain1EB_13TeVscale            1.418e-09     1.176e-07     1    
HighR9EBPhi_13TeVsmear        5.893e-06     0.04134     1.004    
HighR9EBRho_13TeVsmear        2.03e-05     0.02426     1    
HighR9EEPhi_13TeVsmear        1.418e-09     1.176e-07     1    
HighR9EERho_13TeVsmear        1.418e-09     1.176e-07     1    
LowR9EBPhi_13TeVsmear         4.931e-05     0.003308     1.003    
LowR9EBRho_13TeVsmear         2.791e-05     0.003935     0.9999    
LowR9EEPhi_13TeVsmear         1.418e-09     1.176e-07     1    
LowR9EERho_13TeVsmear         1.418e-09     1.176e-07     1    
MaterialForward_scale         1.418e-09     1.176e-07     1    

diphotonCat=0
proc=InsideAcceptance_genPt_15p0_30p0
HighR9EB_13TeVscale           0.0009032     0.03331     0.9517    
HighR9EE_13TeVscale           1.532e-11     4.282e-08     1    
LowR9EB_13TeVscale            0.0002586     0.008408     0.9969    
LowR9EE_13TeVscale            1.532e-11     4.282e-08     1    
Gain6EB_13TeVscale            1.532e-11     4.282e-08     1    
Gain1EB_13TeVscale            1.532e-11     4.282e-08     1    
HighR9EBPhi_13TeVsmear        0.0002611     0.003683     0.9457    
HighR9EBRho_13TeVsmear        0.0002321     0.025     0.971    
HighR9EEPhi_13TeVsmear        1.532e-11     4.282e-08     1    
HighR9EERho_13TeVsmear        1.532e-11     4.282e-08     1    
LowR9EBPhi_13TeVsmear         4.16e-05     0.003332     0.9903    
LowR9EBRho_13TeVsmear         0.0001221     0.002268     0.9958    
LowR9EEPhi_13TeVsmear         1.532e-11     4.282e-08     1    
LowR9EERho_13TeVsmear         1.532e-11     4.282e-08     1    
MaterialForward_scale         1.532e-11     4.282e-08     1    

diphotonCat=0
proc=InsideAcceptance_genPt_30p0_45p0
HighR9EB_13TeVscale           0     0     0    
HighR9EE_13TeVscale           0     0     0    
LowR9EB_13TeVscale            0     0     0    
LowR9EE_13TeVscale            0     0     0    
Gain6EB_13TeVscale            0     0     0    
Gain1EB_13TeVscale            0     0     0    
HighR9EBPhi_13TeVsmear        0     0     0    
HighR9EBRho_13TeVsmear        0     0     0    
HighR9EEPhi_13TeVsmear        0     0     0    
HighR9EERho_13TeVsmear        0     0     0    
LowR9EBPhi_13TeVsmear         0     0     0    
LowR9EBRho_13TeVsmear         0     0     0    
LowR9EEPhi_13TeVsmear         0     0     0    
LowR9EERho_13TeVsmear         0     0     0    
MaterialForward_scale         0     0     0    

diphotonCat=0
proc=InsideAcceptance_genPt_45p0_85p0
HighR9EB_13TeVscale           0     0     0    
HighR9EE_13TeVscale           0     0     0    
LowR9EB_13TeVscale            0     0     0    
LowR9EE_13TeVscale            0     0     0    
Gain6EB_13TeVscale            0     0     0    
Gain1EB_13TeVscale            0     0     0    
HighR9EBPhi_13TeVsmear        0     0     0    
HighR9EBRho_13TeVsmear        0     0     0    
HighR9EEPhi_13TeVsmear        0     0     0    
HighR9EERho_13TeVsmear        0     0     0    
LowR9EBPhi_13TeVsmear         0     0     0    
LowR9EBRho_13TeVsmear         0     0     0    
LowR9EEPhi_13TeVsmear         0     0     0    
LowR9EERho_13TeVsmear         0     0     0    
MaterialForward_scale         0     0     0    

diphotonCat=0
proc=InsideAcceptance_genPt_85p0_125p0
HighR9EB_13TeVscale           0     0     0    
HighR9EE_13TeVscale           0     0     0    
LowR9EB_13TeVscale            0     0     0    
LowR9EE_13TeVscale            0     0     0    
Gain6EB_13TeVscale            0     0     0    
Gain1EB_13TeVscale            0     0     0    
HighR9EBPhi_13TeVsmear        0     0     0    
HighR9EBRho_13TeVsmear        0     0     0    
HighR9EEPhi_13TeVsmear        0     0     0    
HighR9EERho_13TeVsmear        0     0     0    
LowR9EBPhi_13TeVsmear         0     0     0    
LowR9EBRho_13TeVsmear         0     0     0    
LowR9EEPhi_13TeVsmear         0     0     0    
LowR9EERho_13TeVsmear         0     0     0    
MaterialForward_scale         0     0     0    

diphotonCat=0
proc=InsideAcceptance_genPt_125p0_200p0
HighR9EB_13TeVscale           0     0     0    
HighR9EE_13TeVscale           0     0     0    
LowR9EB_13TeVscale            0     0     0    
LowR9EE_13TeVscale            0     0     0    
Gain6EB_13TeVscale            0     0     0    
Gain1EB_13TeVscale            0     0     0    
HighR9EBPhi_13TeVsmear        0     0     0    
HighR9EBRho_13TeVsmear        0     0     0    
HighR9EEPhi_13TeVsmear        0     0     0    
HighR9EERho_13TeVsmear        0     0     0    
LowR9EBPhi_13TeVsmear         0     0     0    
LowR9EBRho_13TeVsmear         0     0     0    
LowR9EEPhi_13TeVsmear         0     0     0    
LowR9EERho_13TeVsmear         0     0     0    
MaterialForward_scale         0     0     0    

diphotonCat=0
proc=InsideAcceptance_genPt_200p0_350p0
HighR9EB_13TeVscale           0     0     0    
HighR9EE_13TeVscale           0     0     0    
LowR9EB_13TeVscale            0     0     0    
LowR9EE_13TeVscale            0     0     0    
Gain6EB_13TeVscale            0     0     0    
Gain1EB_13TeVscale            0     0     0    
HighR9EBPhi_13TeVsmear        0     0     0    
HighR9EBRho_13TeVsmear        0     0     0    
HighR9EEPhi_13TeVsmear        0     0     0    
HighR9EERho_13TeVsmear        0     0     0    
LowR9EBPhi_13TeVsmear         0     0     0    
LowR9EBRho_13TeVsmear         0     0     0    
LowR9EEPhi_13TeVsmear         0     0     0    
LowR9EERho_13TeVsmear         0     0     0    
MaterialForward_scale         0     0     0    

diphotonCat=0
proc=InsideAcceptance_genPt_350p0_10000p0
HighR9EB_13TeVscale           0     0     0    
HighR9EE_13TeVscale           0     0     0    
LowR9EB_13TeVscale            0     0     0    
LowR9EE_13TeVscale            0     0     0    
