# this file has been autogenerated by calcPhotonSystConsts.cpp

photonCatScales=HighR9EB_13TeVscale,HighR9EE_13TeVscale,LowR9EB_13TeVscale,LowR9EE_13TeVscale,Gain6EB_13TeVscale,Gain1EB_13TeVscale
photonCatScalesCorr=MaterialCentral_scale,MaterialForward_scale
photonCatSmears=HighR9EBPhi_13TeVsmear,HighR9EBRho_13TeVsmear,HighR9EEPhi_13TeVsmear,HighR9EERho_13TeVsmear,LowR9EBPhi_13TeVsmear,LowR9EBRho_13TeVsmear,LowR9EEPhi_13TeVsmear,LowR9EERho_13TeVsmear
globalScales=NonLinearity_13TeVscale,Geant4_13TeVscale,LightYield_13TeVscale,Absolute_13TeVscale

# photonCat                   mean_change    sigma_change    rate_change
diphotonCat=0
proc=InsideAcceptance_genPt_0p0to15p0
HighR9EB_13TeVscale           0.001134     0.01181     0.001573    
HighR9EE_13TeVscale           3.151e-09     5.913e-08     1.617e-07    
LowR9EB_13TeVscale            9.262e-05     0.002145     0.001605    
LowR9EE_13TeVscale            3.151e-09     5.913e-08     1.617e-07    
Gain6EB_13TeVscale            3.151e-09     5.913e-08     1.617e-07    
Gain1EB_13TeVscale            3.151e-09     5.913e-08     1.617e-07    
HighR9EBPhi_13TeVsmear        1.171e-05     0.04192     0.001694    
HighR9EBRho_13TeVsmear        2.297e-05     0.02435     0.001261    
HighR9EEPhi_13TeVsmear        3.151e-09     5.913e-08     1.617e-07    
HighR9EERho_13TeVsmear        3.151e-09     5.913e-08     1.617e-07    
LowR9EBPhi_13TeVsmear         5.143e-05     0.003256     0.001189    
LowR9EBRho_13TeVsmear         2.886e-05     0.003911     0.0011    
LowR9EEPhi_13TeVsmear         3.151e-09     5.913e-08     1.617e-07    
LowR9EERho_13TeVsmear         3.151e-09     5.913e-08     1.617e-07    
MaterialCentral_scale         0.0003579     0.00637     0.0002849    
MaterialForward_scale         3.151e-09     5.913e-08     1.617e-07    

diphotonCat=0
proc=InsideAcceptance_genPt_15p0to30p0
HighR9EB_13TeVscale           0.0008546     0.03423     0.02521    
HighR9EE_13TeVscale           5.623e-10     1.111e-08     2.281e-08    
LowR9EB_13TeVscale            0.0002674     0.009249     0.002108    
LowR9EE_13TeVscale            5.623e-10     1.111e-08     2.281e-08    
Gain6EB_13TeVscale            5.623e-10     1.111e-08     2.281e-08    
Gain1EB_13TeVscale            5.623e-10     1.111e-08     2.281e-08    
HighR9EBPhi_13TeVsmear        0.0002353     0.0001923     0.02166    
HighR9EBRho_13TeVsmear        0.0003114     0.009898     0.01275    
